,gene,score,p-value
2062,Snap25,0.7830848028540379,8.327754355555133e-69
14236,Vsnl1,0.7414434901716583,4.3298991481528516e-58
16952,Calm2,0.7367333561356187,5.233620119447986e-57
17109,Egr1,0.7175620987498232,7.8445016741299135e-53
3643,Atp1a1,0.7166944833222607,1.1894027315714934e-52
11205,Nrgn,0.7133517194799348,5.827503678573847e-52
5254,Ywhah,0.6974475059548716,8.282359981366825e-49
4655,Hpca,0.6690869575902147,1.1336078369773972e-43
3880,Ppp3ca,0.6573608814669994,1.0374033157357525e-41
1395,1110008P14Rik,0.6556494831469263,1.9720213259916067e-41
15855,Kalrn,0.6485692887217875,2.6912904093003607e-40
838,Atp1b1,0.6468883666684038,4.954654155895146e-40
1393,Dnm1,0.6445472933439541,1.151834495372265e-39
10025,Ndrg4,0.6329155838465674,6.842642405843945e-38
763,Ier5,0.6265669130609106,5.913622088642146e-37
12131,Ppp3r1,0.6249664235440607,1.0105953703167386e-36
9760,Rab3a,0.6222591100348508,2.4841708533523174e-36
11978,Cck,0.6113474515283285,8.539962027805109e-35
3080,Tmsb4x,0.6098796818648228,1.360095131216028e-34
11445,Nptn,0.6068471572060652,3.530426401007004e-34
1622,Chn1,0.6051357460930942,6.0208315076458125e-34
7764,Snrpn,0.6020616096446424,1.558036201632e-33
17022,Osbpl1a,0.6018356879722303,1.6701188178418837e-33
11582,Arpp19,0.6004751398997915,2.5347201506170234e-33
12149,Mdh1,0.5876420635362402,1.1778663831238947e-31
7534,Scn1b,0.5777753457470909,2.0106309477430073e-30
4764,Stmn1,0.5770924957557363,2.4382193610566788e-30
15501,Nr4a1,0.5760780046552126,3.244305619098358e-30
14762,Hsp90aa1,0.572614970205875,8.537635468997056e-30
17605,Gng3,0.5701726430863764,1.6777193743278342e-29
871,Rgs4,0.5699992059341963,1.7597881491126224e-29
14464,Rtn1,0.569871542314836,1.8227186477574995e-29
1817,Scg5,0.5698608752229506,1.828076397161713e-29
8250,Aldoa,0.5651938988011481,6.535414639955817e-29
10812,Stmn4,0.5648425939927609,7.187314171672651e-29
12474,Ubb,0.5610912192439743,1.9699686469102905e-28
2059,Lamp5,0.5591117382463948,3.336475413674716e-28
6872,Atp6v1e1,0.5588172591727534,3.6074395364589443e-28
14900,Basp1,0.5566165180007451,6.450045852576437e-28
12100,Ppia,0.5561659737513366,7.261006573058329e-28
1312,Olfm1,0.5552480614449433,9.237275812699934e-28
16016,App,0.5527375093572912,1.777626807776642e-27
5832,Atp2a2,0.5497866578631724,3.81013659215546e-27
6237,Ndufa4,0.549545873724407,4.053340292567635e-27
10838,Egr3,0.5457619091997818,1.0648286981252255e-26
17855,Got1,0.5426789737911154,2.318059103504732e-26
2664,Rtl8a,0.5389010929570149,5.948460198577817e-26
11217,Hspa8,0.5380594566468934,7.326271139028563e-26
8752,Serinc1,0.5367301142655586,1.0168923132596756e-25
12238,Gabra1,0.5362851839085203,1.1344692969471425e-25
12260,Cyfip2,0.5347315616786009,1.6602199644809156e-25
1416,Stxbp1,0.5329916448248591,2.537206860901522e-25
4955,Clstn1,0.5303583566768122,4.798444656747593e-25
4717,Atpif1,0.5282601303419175,7.941205541236568e-25
14609,Fos,0.5276482001643925,9.191937604048374e-25
4019,Pdp1,0.5263528406569682,1.2515425092145042e-24
11420,Cox5a,0.5255992828403911,1.4967740471515214e-24
15771,Eif4a2,0.5233724726657751,2.533175700368974e-24
2491,Stmn3,0.5214295789764897,3.996390317585061e-24
14671,Calm1,0.520701258660289,4.737666174186967e-24
5601,Ephx4,0.5173945942936894,1.0205517186917847e-23
14785,Klc1,0.5141884024003667,2.1306967882646592e-23
11403,Lingo1,0.5139574666401636,2.2460411404240595e-23
16860,Myl12b,0.5089708962538293,6.943533496867676e-23
6507,Nap1l5,0.5073693980327492,9.938053107923926e-23
12186,Rtn4,0.506534332478581,1.1972182051597883e-22
9206,Syt1,0.5064218763129426,1.2275725390097581e-22
6808,Atp2b2,0.505553348939537,1.4889949808029344e-22
9911,Junb,0.5044432330177145,1.9042042113520868e-22
6052,Prkar1b,0.49729435039301145,9.085490123769965e-22
12295,Sqstm1,0.4956825789226335,1.2857667884142536e-21
2485,Eef1a2,0.4933489717098835,2.1188924503770936e-21
13172,Nsf,0.49297370537526636,2.295309046297975e-21
1873,Itpka,0.48838675397427345,6.052596178918435e-21
15738,Ap2m1,0.4883732912018185,6.069715465108466e-21
12916,Car10,0.4838588565364348,1.5540074245078843e-20
3916,Lmo4,0.4836564654751354,1.6203772384689453e-20
13628,Nrn1,0.4827582919270495,1.9501816135249736e-20
1238,Grin1,0.4826498293990759,1.9942296681177645e-20
2336,Slc12a5,0.4825193602393941,2.048513525213064e-20
8247,Ypel3,0.4821127959019912,2.2271672742852163e-20
4297,Brinp1,0.48140388191626765,2.5760649466270326e-20
16081,Ttc3,0.47772461536225275,5.4530166018336e-20
3365,Gucy1b1,0.4774286837533076,5.789775556834659e-20
17922,Usmg5,0.47512756797412564,9.208060805435144e-20
6450,Cycs,0.47430990039221205,1.084939068018466e-19
9415,Ctxn1,0.4697351879876093,2.6944009304356953e-19
595,R3hdm1,0.4684700487954472,3.456796124023504e-19
4565,Rims3,0.46839193033128473,3.5102722212179214e-19
10000,Cx3cl1,0.46663723691182496,4.950468528448036e-19
2943,Tceal3,0.4630519831261324,9.932418549861466e-19
3884,H2afz,0.46270232208878487,1.0625719374371723e-18
8858,Zwint,0.4607571572475456,1.5444031606446161e-18
2050,Chgb,0.45828588500002154,2.4751337669190824e-18
9658,Gpm6a,0.4580805779150281,2.5736025791667157e-18
7939,Sytl2,0.4580005928398552,2.6129981355953212e-18
13313,Wbp2,0.45671706061422507,3.3325406099560456e-18
6766,Bhlhe40,0.45572872768410944,4.01618531965571e-18
