,gene,score,p-value
2062,Snap25,0.7088132650407687,1.4672270200395985e-85
838,Atp1b1,0.6621745027896281,4.574730103402773e-71
12149,Mdh1,0.6352908009404169,7.740753174964932e-64
7764,Snrpn,0.6230637758810651,8.803577674110618e-61
5624,Cplx1,0.6203322008632383,4.063991535158758e-60
11205,Nrgn,0.5767047962299787,2.449774133558446e-50
10025,Ndrg4,0.5737536332321853,9.964361356830598e-50
17109,Egr1,0.5730540432391036,1.3867210295601239e-49
1393,Dnm1,0.5669371628373633,2.412558280188108e-48
9760,Rab3a,0.5454519651276644,3.4721594138389946e-44
12238,Gabra1,0.5310497556325275,1.4589236151767803e-41
1395,1110008P14Rik,0.5293914046431716,2.8712632164158924e-41
15501,Nr4a1,0.5249004347904614,1.7629724101963544e-40
9335,Atp5b,0.5243781036453982,2.173463165861008e-40
7534,Scn1b,0.516315381183855,5.254644566096571e-39
14236,Vsnl1,0.5146880271250208,9.892294722779418e-39
1622,Chn1,0.513462938945981,1.5891243905968387e-38
13773,Sncb,0.508277744701159,1.1568238187665896e-37
16952,Calm2,0.5063039234914763,2.44101611336406e-37
15855,Kalrn,0.5000269655887293,2.5405346328226492e-36
17855,Got1,0.49208231840575495,4.5991765041437707e-35
17922,Usmg5,0.48797608299658735,1.9949809985252278e-34
11420,Cox5a,0.48677809705480957,3.0495532959413935e-34
9206,Syt1,0.4852263288110696,5.270828716135657e-34
14940,Cox6c,0.4788903465437166,4.782597510278689e-33
8449,Cend1,0.47732946158153705,8.176340356127413e-33
8883,Chchd10,0.474407415243156,2.2148180385324245e-32
6872,Atp6v1e1,0.47401059005582835,2.533903099122848e-32
2491,Stmn3,0.4719076547076271,5.155562032112508e-32
17022,Osbpl1a,0.46802898731335796,1.8865323340292953e-31
14762,Hsp90aa1,0.46478984700058046,5.503807965449632e-31
5832,Atp2a2,0.4637831737770619,7.6589186267590865e-31
17605,Gng3,0.4633893274386544,8.71328003199894e-31
6507,Nap1l5,0.46204656791393806,1.3508491747883041e-30
7968,Pak1,0.46067242033619976,2.1115956666325253e-30
15172,Pvalb,0.46055221188411505,2.195533570291948e-30
6917,Tpi1,0.45303028225330283,2.441208234718527e-29
4764,Stmn1,0.45280365001694867,2.622527918575076e-29
16016,App,0.45213466224346405,3.239158801091804e-29
5254,Ywhah,0.44973507025514514,6.882215795789477e-29
8752,Serinc1,0.44686710102626515,1.6807825222271636e-28
6237,Ndufa4,0.44179737929374074,7.9806857216471105e-28
763,Ier5,0.43793585352244574,2.568941529518089e-27
11445,Nptn,0.43636919569438787,4.1104287539539445e-27
15234,Syngr1,0.43634357705121657,4.142059733782668e-27
10556,Ghitm,0.42397516548914593,1.555185159157306e-25
6450,Cycs,0.42251746942122453,2.361050472661664e-25
15079,Lynx1,0.4204153840399195,4.295662061932152e-25
4955,Clstn1,0.4203576445370254,4.366604322820669e-25
3344,Serpini1,0.4199711329341739,4.872233828907614e-25
12541,Kcnab3,0.41822261884093864,7.984031042501581e-25
10280,Tcf25,0.4171641826291976,1.0751090641641483e-24
2870,Cox7b,0.4157547033165186,1.5952609155368644e-24
17589,Rtn3,0.41564595590201725,1.6444499548123685e-24
15075,Arc,0.41520104117463125,1.8617866873204084e-24
4655,Hpca,0.4147009016841205,2.1401016316974293e-24
17383,Atp5a1,0.41464170174079756,2.175651786951574e-24
1416,Stxbp1,0.4122975619839456,4.166414870518027e-24
1817,Scg5,0.41107865025219104,5.829206279938671e-24
2336,Slc12a5,0.4100201932983552,7.794208380746632e-24
14609,Fos,0.4097311928420226,8.43608879386296e-24
8250,Aldoa,0.409413998160176,9.200780651689897e-24
1560,Scn1a,0.409409830424755,9.211270715471332e-24
9726,Hapln4,0.407768361095936,1.4410662769801778e-23
11372,Elmod1,0.4072787944857213,1.646055864653894e-23
11225,Sorl1,0.4071642169968254,1.698044184220043e-23
13172,Nsf,0.4049251733069933,3.11029110905442e-23
2485,Eef1a2,0.4048753737123741,3.1522789215278334e-23
12692,Pitpna,0.40252105232803204,5.926828105131518e-23
12409,Snap47,0.40152680536498125,7.726133458842324e-23
2664,Rtl8a,0.40110413348574453,8.645549831818262e-23
12131,Ppp3r1,0.4002915604578456,1.0726816360712378e-22
12295,Sqstm1,0.39939743095766705,1.359104815207974e-22
6294,Ccdc136,0.39877514405550585,1.6017768043836685e-22
15281,Ndufa6,0.3978976382250763,2.018167318576153e-22
8661,Tspyl4,0.39627594993825294,3.087684588132252e-22
14785,Klc1,0.3961881458245974,3.159387253568307e-22
6564,Tmsb10,0.3960802740111282,3.2497304903116837e-22
12100,Ppia,0.3938438342521309,5.816911097145855e-22
4717,Atpif1,0.3936795782127943,6.069972842124786e-22
14982,Oxr1,0.39353411304563013,6.303135756068761e-22
6914,Eno2,0.3931960357037054,6.879720050587303e-22
12071,Nefh,0.3926454449441925,7.932067409565243e-22
871,Rgs4,0.39147719665252456,1.071920542232449e-21
12333,Vdac1,0.39140487139362073,1.0920478593803498e-21
6052,Prkar1b,0.39108177974303393,1.1866103988238479e-21
4329,Slc24a2,0.38999207387130735,1.569124636592932e-21
11456,Pkm,0.38955024221133117,1.7568341293522008e-21
11238,Thy1,0.3887357091499389,2.162741833383284e-21
410,Mff,0.38846618314862924,2.316437098998912e-21
3643,Atp1a1,0.3865255808757322,3.79038988420413e-21
3691,Atp5f1,0.3861819927961611,4.134286525511326e-21
12543,Chd3os,0.3840651428126604,7.043571160045481e-21
12260,Cyfip2,0.3839768215726303,7.201296441128437e-21
6808,Atp2b2,0.3834680952736552,8.179970622204894e-21
14464,Rtn1,0.38282064267996985,9.617092061684625e-21
8247,Ypel3,0.3826186226094098,1.0114499652871693e-20
16747,Satb1,0.382592774932072,1.0179944329357252e-20
4126,Ccl27a,0.38056939112976107,1.6835931199390355e-20
5558,Cds1,0.3801782168596731,1.854819337341658e-20
11217,Hspa8,0.3777069780762344,3.4098236489554333e-20
13576,Nrsn1,0.3751418660354934,6.380026498716359e-20
12474,Ubb,0.3732540901457015,1.0081447208273355e-19
2522,Syp,0.3730150269990918,1.0680530885195292e-19
16098,Pcp4,0.3715191074745348,1.531063237568359e-19
3208,Gm11549,0.37132818515302024,1.6028603584072303e-19
3880,Ppp3ca,0.3708061007435628,1.816570990478012e-19
6936,Gapdh,0.3694814858126065,2.4929907561400556e-19
3243,Ndufc1,0.36812656022301876,3.4409457783036477e-19
11583,Myo5a,0.3676148515826569,3.8847446187501754e-19
5601,Ephx4,0.36703555043732433,4.455459625560833e-19
4297,Brinp1,0.36691039941544196,4.589204367478011e-19
11582,Arpp19,0.3648561593976041,7.4433912115107265e-19
15738,Ap2m1,0.3648002456883698,7.541652853661132e-19
17835,Pgam1,0.3633282404305677,1.0641714644934952e-18
12963,Atp5g1,0.3632388890363626,1.0865861592764265e-18
3270,Dclk1,0.3629732688757762,1.1560016279268444e-18
5317,Nsg1,0.36258870524643555,1.264303461512723e-18
17191,Rnf14,0.3618330664271147,1.5070222788994756e-18
15941,Plcxd2,0.36181696520891715,1.5126644378882168e-18
6988,Gabarapl1,0.36167203256693015,1.5643969305814996e-18
2873,Pgk1,0.36076837900732817,1.928576375059e-18
15616,Dexi,0.36037079532340355,2.1141426822985e-18
6377,Ndufb2,0.360109545429424,2.245536946934277e-18
10812,Stmn4,0.35951403116427577,2.575848223182906e-18
12171,Bcl11a,0.35948068446281395,2.5956967727703976e-18
10824,Nefm,0.35724630667814494,4.332438908644182e-18
9630,Slc25a4,0.35702418460741436,4.557779013323104e-18
826,Kifap3,0.35611508613125537,5.606596260906174e-18
13784,Prelid1,0.3552863493794468,6.767712795831779e-18
372,Tuba4a,0.3543019594641077,8.457174589707014e-18
2852,Nap1l2,0.35386645600538397,9.331151151473645e-18
3916,Lmo4,0.3531182036291245,1.1044908804758182e-17
14420,Fkbp3,0.35307496332274013,1.1152900836341751e-17
2933,Bex2,0.3519361084823636,1.4402888945779356e-17
6903,Clstn3,0.35071304113455387,1.893313320754377e-17
5562,Mapk10,0.3494673464443799,2.498391427456037e-17
844,Mpc2,0.3489508388048901,2.8018251251937483e-17
10871,Sucla2,0.348731985185384,2.941075638640476e-17
3710,Slc6a17,0.3485589882540849,3.0559473660457804e-17
2241,Ndrg3,0.3485015366578081,3.0950634748999226e-17
6274,Ndufa5,0.3480203807369329,3.4425934566086675e-17
10397,Nkiras1,0.34687865533279044,4.4282552227360727e-17
3900,Rap1gds1,0.3461246808612444,5.2263445659873525e-17
11272,Tmem25,0.3460769373926614,5.28139318488702e-17
11620,Cox7a2,0.3455213997707041,5.965403025159822e-17
9704,Atp6v1b2,0.34545568113524133,6.051871589134215e-17
10825,Nefl,0.34466246374711773,7.197954501073955e-17
8390,Bnip3,0.34452823401251353,7.411967802772959e-17
9131,Slc25a3,0.3444064508443723,7.611543733093239e-17
14344,Etv1,0.34440036246748224,7.621658774294667e-17
11378,Idh3a,0.34368534085203223,8.906269899165464e-17
17492,Klc2,0.34318918242107305,9.920504218944258e-17
5621,Atp5k,0.34258680335872504,1.1305412242897e-16
1625,Atp5g3,0.3422054745552277,1.2278611018386963e-16
13879,Uqcrb,0.34037568368123267,1.8220047545375284e-16
14781,Ckb,0.3402053839867292,1.8899232474763999e-16
12233,Mat2b,0.33972253947122333,2.0963144734386372e-16
6626,Egr4,0.33948149798617044,2.2074842065038648e-16
6939,Vamp1,0.33915413583448645,2.36779397295992e-16
3703,Kcna2,0.3389953629372003,2.449613474887878e-16
9178,Dusp6,0.338887900527631,2.5065620934526025e-16
672,Syt2,0.33842345361865206,2.7680292033421507e-16
14966,Atp6v1c1,0.33566056010546785,4.97757983363139e-16
1506,Cacnb4,0.335424050168992,5.232567587843485e-16
12339,Uqcrq,0.3351796147091272,5.509584645629234e-16
5270,Nat8l,0.3349118162686217,5.829634218554065e-16
1238,Grin1,0.3343138269969684,6.611698453279574e-16
7939,Sytl2,0.3339259906028893,7.173110994784316e-16
15306,Sult4a1,0.3336570008475324,7.589732937049758e-16
15771,Eif4a2,0.3328632753619425,8.96263404060657e-16
13053,Eif1,0.3325746459524433,9.52010527055165e-16
12531,Vamp2,0.33205013506329395,1.0621694579965828e-15
4098,Dnaja1,0.3319822145925677,1.0773201540338522e-15
9029,Atcay,0.33157703654116294,1.1722128558167334e-15
2562,Atp6ap2,0.33115636865570885,1.2794170358830347e-15
15919,Atp6v1a,0.3307856474160828,1.3818365922177144e-15
14173,Hcn1,0.3307072773911746,1.4044975983411836e-15
11462,Lrrc49,0.3305512124532325,1.4507170462675409e-15
3551,Mllt11,0.33030201724242286,1.5276325806711874e-15
10000,Cx3cl1,0.3299689721854046,1.636712627519905e-15
3565,Ensa,0.32936734962798697,1.8534823691035387e-15
7665,Dkkl1,0.3285297561633499,2.202885639945695e-15
2203,Map1lc3a,0.32838603136994593,2.2690221970775436e-15
3585,Sv2a,0.32830819464682254,2.3056496383029484e-15
13178,Myl4,0.32821281805079205,2.3513231392386462e-15
4521,Atp6v0b,0.32807813483784637,2.417336302735037e-15
11336,Timm8b,0.32676186438112986,3.166226404069698e-15
7347,Atp1a3,0.32640669761802116,3.4046278157173655e-15
6365,Clec2l,0.326356310134119,3.4398469534992748e-15
3884,H2afz,0.3255316503580031,4.069770639559922e-15
11648,Snap91,0.3253677142273937,4.207860819687433e-15
8011,Rab6a,0.3241971504529117,5.3367891265864536e-15
16580,Atp6v1g2,0.3240465941706229,5.502035585910968e-15
13931,Ndufs6,0.3239738820391943,5.583630983259925e-15
11669,Rasgrf1,0.3236584679329361,5.951548196928702e-15
16860,Myl12b,0.3235796932142504,6.047087859631462e-15
15747,Fam131a,0.3234934949412508,6.153356302797783e-15
12634,6330403K07Rik,0.3234330608279261,6.228952721597327e-15
5657,Galnt9,0.32276116673426636,7.133328642848418e-15
16798,Ndufa11,0.3224245103995917,7.633746251007005e-15
12237,Gabrg2,0.3217771716713072,8.694674612315447e-15
3188,Ndufb5,0.3210078495565389,1.0144757677838927e-14
5916,Chchd2,0.32078986978462254,1.0597105371239554e-14
10416,Ppp3cb,0.32073366573236745,1.0716912750045717e-14
8858,Zwint,0.32049122487578163,1.1249126105806036e-14
16696,Klhdc3,0.32018124530160197,1.1967514430669455e-14
16014,Atp5j,0.320171680961321,1.1990381469739066e-14
5602,A830010M20Rik,0.31999324480850855,1.2424945159983937e-14
2943,Tceal3,0.3198164267377122,1.2870801471119139e-14
15889,Ndufb4,0.3197829739955224,1.2956903040141313e-14
13002,Plxdc1,0.31962137499341375,1.3380855181241976e-14
12911,Hlf,0.31905759846779674,1.4969235333782864e-14
17092,Nrep,0.3190391448326205,1.5024237946271068e-14
16358,Arhgdig,0.3188378685503552,1.5637185971159348e-14
11067,Olfm2,0.3186540497116932,1.6218365870163813e-14
17943,Dusp5,0.31790417209868055,1.8816858764741357e-14
4449,Rnf11,0.3178885765373425,1.8875022194134255e-14
14791,2010107E04Rik,0.3178685415918461,1.8950001139342993e-14
12616,Slc25a11,0.31766646711373614,1.972277190861942e-14
2057,Plcb1,0.3173918753837173,2.0822602479811224e-14
6766,Bhlhe40,0.31679305933036117,2.3433908985615056e-14
15680,Pi4ka,0.3166685464911246,2.4015917304441585e-14
10282,Tubb3,0.3166343290467664,2.4178327710941238e-14
4247,Frrs1l,0.31659468380604927,2.4367848290790116e-14
489,Ndufa10,0.31583272884599295,2.8306773588396546e-14
3940,Prkacb,0.31562890067174065,2.9462277101295157e-14
11585,Gnb5,0.3155186789457647,3.0106269062767107e-14
8976,Ndufs7,0.3154861984801382,3.0298662261102605e-14
1200,Gpr158,0.3144210236715789,3.732176635412746e-14
4983,Acot7,0.3141809355673475,3.9112833659828193e-14
16059,Atp5o-1,0.3138436663476954,4.177199759198548e-14
10229,Cox4i1,0.3132923566583622,4.6505222644834326e-14
7230,Napa,0.312936436831729,4.98362460317875e-14
10032,Got2,0.31287490761574815,5.043534264460133e-14
15792,Fgf12,0.3125958094597471,5.324271987685799e-14
17496,Cst6,0.31253213490843007,5.390436073471625e-14
1147,Atp5c1,0.31194431246801607,6.040578294400302e-14
13038,Krt222,0.3118924157315399,6.101539181417335e-14
13628,Nrn1,0.3118331123951931,6.171938916006627e-14
202,Gls,0.31182685310611813,6.179415696563449e-14
3150,Nceh1,0.311519270016821,6.557973240159792e-14
2459,Hrh3,0.3112935671907613,6.850128492476699e-14
5970,Mdh2,0.31056336870360424,7.885470162800938e-14
11137,Dpy19l1,0.30916055224691646,1.0322631714660498e-13
7068,Bcat1,0.3081214432609933,1.259003217479157e-13
15256,Rangap1,0.307639244835434,1.380158550191205e-13
5994,Vgf,0.3076143522902977,1.3867138663191224e-13
8564,Hivep2,0.30738670481686425,1.4480965290187196e-13
4122,Dctn3,0.3073049397701275,1.4707871314994702e-13
16648,Rcan2,0.3068475765522029,1.6042825803280945e-13
5885,Ccdc92,0.30662677714466896,1.6729098996645978e-13
4478,Uqcrh,0.30646858754720524,1.7238376814919518e-13
12065,Uqcr10,0.3059523773410774,1.9008218542522843e-13
13006,Stac2,0.3055487054444839,2.0515150273130444e-13
10375,Fezf2,0.305464546218456,2.0843757929900987e-13
15938,Tagln3,0.3048145327093628,2.356157079174194e-13
15385,Prickle1,0.30443208119747506,2.531981000060526e-13
12920,Nme1,0.30435061741483366,2.5710600584899605e-13
16253,Flywch1,0.3032342582804041,3.1699846486935444e-13
10073,Atp6v0d1,0.3025382426805661,3.6104495017616627e-13
4943,Gm13205,0.30188399063214827,4.0788432441198616e-13
3097,Stmn2,0.30167047096536675,4.244212466211738e-13
13700,Cap2,0.3014561779612131,4.4167767144593687e-13
4990,Kcnab2,0.30138539315585794,4.4752731776516214e-13
16214,Ppp2r1a,0.3012219704045774,4.613238383338469e-13
13988,Mef2c,0.3004872862601863,5.286689484653048e-13
8504,Bc1,-0.6794647309817912,3.9944601533518645e-76
14424,Rps29,-0.6191063122507505,8.034352362841527e-60
