,gene,score,p-value
15351,Nptxr,0.5871819643352794,7.25059505450699e-43
3851,Camk2d,0.5305568365310895,6.8281033477632615e-34
6869,Plxnd1,0.5068028897562332,1.3170212358439252e-30
5251,Slc30a3,0.5028157743800769,4.42740390853418e-30
14595,Dbpht2,0.49468638030299755,4.9949134940882866e-29
4030,Penk,0.4881022885422338,3.3918281796743982e-28
1332,Olfm1,0.47883453055367514,4.6911245991584406e-27
9340,Fam19a2,0.4642895775176472,2.4717647359276548e-25
6771,Fam19a1,0.46002880937897145,7.619805841258282e-25
10779,Cpne6,0.4513994648254809,7.102140209052073e-24
4069,Calb1,0.45049043799716953,8.951866125381803e-24
15124,Nov,0.44721366389336953,2.0501174948570513e-23
10281,Necab2,0.44152873953310584,8.451557211893857e-23
12013,Arpp21,0.43902579328760477,1.563606689289636e-22
703,Igfn1,0.4332226843804619,6.384785632647506e-22
3848,Ndst4,0.4304691453506215,1.2330398992984002e-21
4700,Marcksl1,0.4278126637122261,2.313464098535753e-21
14371,Hpcal1,0.41980754743521015,1.4904130619759533e-20
17863,Rfx3,0.41681594156489865,2.952193699717361e-20
16160,Tiam1,0.4164661871206718,3.196355512644503e-20
7076,Ptpro,0.40941067809805604,1.5568400497316093e-19
1074,Ptpn14,0.40402527040934266,5.083971755557828e-19
15561,Ddn,0.4016513742122423,8.507620183457893e-19
17691,Nrxn2,0.401046396473478,9.694078407912934e-19
13146,A830036E02Rik,0.3982092212599002,1.781813791693615e-18
11728,Filip1,0.3918970602366231,6.760054772524136e-18
1005,Stum,0.38553583930824786,2.5180940765285018e-17
563,Cntnap5a,0.38020843197970655,7.411292153388125e-17
9188,Apaf1,0.37415587635270126,2.4671621762729507e-16
3102,Arhgap6,0.37220338560434557,3.6171670789768814e-16
2080,Btbd3,0.3719807637606341,3.7778431269620293e-16
15790,Mapk1,0.3693325611701973,6.319171655451745e-16
13860,Cplx2,0.36922967666140183,6.446122946890042e-16
14839,D430019H16Rik,0.368958343280663,6.793061702343785e-16
9620,Unc5d,0.3671585132405228,9.605981135774586e-16
8742,Wasf1,0.3611097196747259,3.0295539540451653e-15
4865,Camk2n1,0.35397105958270964,1.1392533662837787e-14
1667,Neurod1,0.3468128056315527,4.159331024985947e-14
4379,Jun,0.34586860265418545,4.922000333882356e-14
13730,Nrn1,0.3445320535977265,6.24052794132293e-14
15624,Grasp,0.3426645713679926,8.678089368795986e-14
6035,Ap1s1,0.3397253888747499,1.4516757851495716e-13
12901,Tmem132e,0.3395574438419857,1.4947412353211994e-13
8612,Phactr2,0.338347280063145,1.8442736408129458e-13
5337,Wfs1,0.3357625088945003,2.880134374090377e-13
14458,Dgkb,0.3349994818528532,3.2825715772261775e-13
5141,Cacna2d1,0.3349256503407415,3.324314068805479e-13
317,Map2,0.3290688210685767,8.961268259308428e-13
13158,Hap1,0.3284342631298451,9.965047660761439e-13
7082,Lmo3,0.3271801488880377,1.2282709533908602e-12
4661,Ncdn,0.3260937803620274,1.471040407679049e-12
2926,Tmem35a,0.325898852239846,1.5193101115242062e-12
13145,Krt12,0.3251433143761504,1.7214714009988306e-12
6990,Ntf3,0.32446436753594987,1.925416721543388e-12
12448,Sowaha,0.323988992117246,2.082082226589515e-12
428,Dner,0.32219752106718225,2.7924954442234204e-12
3004,Htr2c,0.32185393898857084,2.953574923155173e-12
14990,Capsl,0.316906360981011,6.5712064322296755e-12
2305,Pkig,0.31629791076164654,7.242948959599022e-12
15067,Ywhaz,0.31622713292999893,7.32531450984279e-12
13300,Limd2,0.3154557386723878,8.284466820349607e-12
130,2010300C02Rik,0.31532824161997447,8.454386097791904e-12
5252,Trim54,0.314864481069858,9.101639614425683e-12
6305,Fam3c,0.3113890292501474,1.5755987926211793e-11
9215,Plxnc1,0.31092113328838217,1.6954850643445864e-11
18057,Neurl1a,0.3107428305005944,1.743475117506065e-11
5233,Otof,0.3105247496651335,1.8039759551660664e-11
17831,Gda,0.3092821834514731,2.1898295591000797e-11
6133,Slc29a4,0.30924697003497065,2.2018622634000033e-11
5404,Nwd2,0.30908718443216565,2.257277682096683e-11
8204,Syt17,0.30765280363882014,2.8196651527623932e-11
6855,Syn2,0.3068166997617041,3.2082737315322106e-11
3146,Bhlhe22,0.3064568769572762,3.391161434428261e-11
5917,Rilpl1,0.30477542369411303,4.389601064373604e-11
7351,Apoe,0.3018401924378666,6.860533531654696e-11
17409,Camk2a,0.3014681916790455,7.257401902918946e-11
6389,Ptn,0.30125567270121595,7.494078587662382e-11
10258,Vat1l,0.30011833221093104,8.894316816405708e-11
6604,Tmsb10,-0.5631866489290144,7.494066549974597e-39
4685,Hpca,-0.5460061712233018,3.57947987048545e-36
18,3110035E14Rik,-0.524352175931803,5.2189248159441614e-33
4926,Efhd2,-0.508847864540237,7.0278347554995525e-31
8170,Dkk3,-0.45545332803895183,2.5084374427858847e-24
6527,Neurod6,-0.44521100768158783,3.386919249159664e-23
11444,Cryab,-0.4428372545335916,6.114596260922388e-23
1535,Nr4a2,-0.4396008130132199,1.3581252013859603e-22
17536,Mbp,-0.434141173489732,5.119404239160483e-22
3097,Tmsb4x,-0.42747385796069665,2.5057858566080685e-21
6426,Trbc2,-0.427045221688564,2.7718161739814293e-21
13054,Nxph3,-0.40587170726896993,3.396546986451221e-19
2475,Rps21,-0.3988070325662439,1.5680934296314715e-18
14897,Ckb,-0.3976668883873185,2.0003492563618696e-18
12072,Mobp,-0.3895653826519541,1.0983342268249825e-17
7579,Fxyd7,-0.38903977568698067,1.224667878424694e-17
11527,Cplx3,-0.3727397717501238,3.257093952589783e-16
8255,Prkcb,-0.36879601200474643,7.009323983417746e-16
8665,Ctgf,-0.36735038305164863,9.258597886083297e-16
15193,Arc,-0.35926736282616534,4.2778542498661626e-15
2963,Plp1,-0.35896613575618735,4.5251600579706675e-15
10456,Fezf2,-0.35462864070940225,1.009800768486213e-14
13846,Diras2,-0.35076391685975733,2.0434642515127832e-14
17757,Fth1,-0.3463343757407,4.530054965887049e-14
11303,Nrgn,-0.3422467240455623,9.339731283418892e-14
1988,Mal,-0.3408152526494487,1.2003021103113303e-13
4161,Ccl27a,-0.3396257911982435,1.4770663009768402e-13
13364,Rpl38,-0.3377690809661183,2.038389365830516e-13
8066,Plekhb1,-0.3340398716482612,3.8674679816273236e-13
17242,Egr1,-0.3316971011595251,5.757615371919829e-13
4890,Igsf21,-0.32394620318622486,2.096780190495462e-12
1846,Rasgrp1,-0.3232920978502801,2.3345030673172458e-12
16884,Satb1,-0.3229252076270412,2.4791715787013076e-12
16783,Rcan2,-0.32244613805535827,2.6813248158088324e-12
4640,Grik3,-0.32050903769450656,3.676092834038368e-12
5693,Galnt9,-0.3203975349104649,3.743213898008778e-12
2359,Sulf2,-0.3180643042942087,5.456759319199022e-12
14966,Rpl37,-0.3166126305971775,6.887524663507646e-12
7572,Mag,-0.316495095021262,7.018222580256785e-12
11747,Tpbg,-0.31510080326400575,8.765989549894695e-12
12978,Sept4,-0.3122274877731425,1.3811270059162874e-11
13254,Gfap,-0.3012903475036596,7.45495510816498e-11
