,gene,score,p-value
2087,Snap25,0.770724013612408,2.7898137949632854e-71
11321,Nrgn,0.7622493719754082,7.440788180980734e-69
17094,Calm2,0.7309934112935003,1.019732674844695e-60
3688,Atp1a1,0.7179520528198001,1.1858007740841227e-57
14365,Vsnl1,0.7171249572783696,1.8305369088609074e-57
5309,Ywhah,0.6916834782654951,5.634036328209843e-52
4705,Hpca,0.6826417340481957,3.684616491787602e-50
17251,Egr1,0.6714406124293466,5.3260539251455937e-48
3925,Ppp3ca,0.6608516606376208,4.8195200997525336e-46
1334,Olfm1,0.6512813829440622,2.4218819232553895e-44
1416,1110008P14Rik,0.6310167738494937,6.174191810931589e-41
11521,Lingo1,0.6220274929549269,1.667903110285073e-39
12109,Cck,0.6130772739543673,4.000088131286154e-38
2567,Pcsk1n,0.6113075013198822,7.408374600988737e-38
11335,Hspa8,0.6087733273401147,1.778503638586631e-37
10918,Stmn4,0.5985388327143208,5.6466728657912846e-36
7844,Snrpn,0.598221184343337,6.273950352513313e-36
1646,Chn1,0.5946592292217708,2.0280059014905113e-35
1414,Dnm1,0.5900936351752285,8.93221749160062e-35
782,Ier5,0.586894550062916,2.4892681881757034e-34
12319,Rtn4,0.5824811780452176,1.0048283502003767e-33
14594,Rtn1,0.5780169450277342,4.034354059420757e-33
11704,Arpp19,0.5753049782965918,9.289725597081081e-33
15639,Nr4a1,0.5747029033434604,1.1167704368857458e-32
8325,Ypel3,0.5659591261110924,1.5518556870633583e-31
6120,Prkar1b,0.5632092315808724,3.4938465070501885e-31
12960,Dusp14,0.5609042960908952,6.8580664728869335e-31
12264,Ppp3r1,0.5561317091339563,2.7255527292835543e-30
17756,Gng3,0.556015442025282,2.8179478869872563e-30
14804,Calm1,0.5504423766658112,1.3718717762194622e-29
7610,Scn1b,0.5500311054562173,1.540034096374181e-29
9495,Ctxn1,0.5500073940024728,1.550327398764466e-29
1437,Stxbp1,0.5466875897658965,3.919341511089341e-29
15993,Kalrn,0.5459418183792079,4.820379424292723e-29
12426,Sqstm1,0.5443912521425388,7.399666789447018e-29
11564,Nptn,0.5442005988614963,7.79886848334784e-29
4886,Camk2n1,0.5429289550920859,1.1062758083853622e-28
5009,Clstn1,0.5428664518505614,1.1254067772126737e-28
4818,Stmn1,0.5423669939243533,1.2904905135855293e-28
