,gene,score,p-value
863,Myoc,0.4694313160643006,1.5239437649428658e-19
16222,Igfbp6,0.4400079079743452,4.1801478089210103e-17
14362,Ogn,0.4355468241529236,9.347406231637692e-17
5045,Nbl1,0.43067565457718354,2.220667439123393e-16
3634,Rps27,0.4306665081639267,2.2242492805180443e-16
1322,Ptgds,0.42442169869439716,6.60931696969685e-16
10421,Mt1,0.42261433913865415,9.020411350957519e-16
696,Fmod,0.41880300648469054,1.727490066737586e-15
5813,Sparcl1,0.418040522430287,1.9653573391086216e-15
7614,Apoe,0.4104869905328538,6.931696002326498e-15
12095,Aldh1a2,0.4077610849498909,1.0839717918253997e-14
6469,Col1a2,0.4056264214662368,1.5340782382167072e-14
18797,mt-Nd5,0.4052100740230905,1.6411185959322098e-14
12001,Rplp1,0.4015029964546194,2.979600300101458e-14
351,Rpl37a,0.4003686263868989,3.570881698408982e-14
7329,Mgp,0.3991141598644538,4.358806480586012e-14
985,Atp1a2,0.396346197452227,6.747495238158966e-14
11212,Gjb2,0.39125222885678235,1.4920765008069859e-13
2567,Rps21,0.3904539655838941,1.68757813852729e-13
18045,Camk2a,0.3847843998901401,4.007827925066774e-13
4999,Id3,0.38128814452599374,6.775984023235621e-13
15091,Rps29,0.3811013111303765,6.967600816991587e-13
317,Crygc,0.3691951688775887,3.972695893391944e-12
7171,Slc6a13,0.36442241330918607,7.825978819129573e-12
18792,mt-Atp6,0.36397189968332544,8.338390375272707e-12
6613,Slc13a4,0.36271058492309616,9.953316078581011e-12
11214,Gjb6,0.36198179541672354,1.1021456111764704e-11
800,Glul,0.36121183442917515,1.2271266025338819e-11
18794,mt-Nd3,0.36061723085287417,1.3329986837551044e-11
12252,Rbp1,0.3605793499376042,1.3400372820133105e-11
772,Prg4,0.3596054313261421,1.533967721826238e-11
8865,Bc1,0.3585609672968171,1.772336559732795e-11
18796,mt-Nd4,0.35820756246628926,1.8608859847888473e-11
18788,mt-Nd2,0.35752325423639075,2.04477024224133e-11
5557,Fgfbp1,0.357265851401023,2.1184248262303064e-11
18790,mt-Co2,0.3560070548604746,2.5175144229040976e-11
11966,Islr,0.3532119735762401,3.683291502554041e-11
17756,Colec12,0.3494987306250542,6.07144140159333e-11
13523,Col1a1,0.3484117986401462,7.019272538957567e-11
18799,mt-Cytb,0.34339831173085644,1.3607079371090928e-10
6614,Fam180a,0.3412796806095529,1.7935636882139393e-10
17186,Cryaa,0.338852684835251,2.4548132302958694e-10
16527,Apod,0.3388139099266764,2.467098563812653e-10
5035,Camk2n1,0.3358176457546749,3.6208549398307396e-10
18793,mt-Co3,0.334274974106809,4.4045757190614335e-10
14219,Foxc1,0.3331444495668865,5.081173076780309e-10
315,Cryge,0.33302869273801305,5.155896379361401e-10
18789,mt-Co1,0.33227764118820796,5.667301020492247e-10
11293,Clu,0.33022107656111954,7.332859887151747e-10
1839,Slc1a2,0.3288544455217189,8.693051369218938e-10
14719,Foxd1,0.32849956664188834,9.084522025564406e-10
340,Fn1,0.3243991343048564,1.505069258969729e-09
14264,Bmp6,0.32299636543119287,1.7857261084741018e-09
3366,Slc7a11,0.3169812829690329,3.6807898831136327e-09
12741,Efemp1,0.31672140552252404,3.79626522947897e-09
10420,Mt2,0.314829625830793,4.7492779111844e-09
18787,mt-Nd1,0.3123767798466594,6.334853780610331e-09
12646,Aebp1,0.30662077556066547,1.2327508187779495e-08
12578,Slc6a20a,0.3057331341725941,1.364306308292514e-08
3875,Gstm1,0.3031707414528276,1.8247867675886403e-08
8785,Ifitm2,0.30141988618434257,2.2223473767150347e-08
13264,Serpinf1,0.30093051532531856,2.347665275875834e-08
16825,Pcp4,-0.6550480968090986,6.034451975380608e-42
14233,Tubb2a,-0.578230858065605,6.34152645927164e-31
7529,Selenow,-0.528009980046525,3.6961182591031194e-25
15438,Hsp90aa1,-0.5238829528495748,9.995954431311388e-25
8341,Pgm2l1,-0.5155468822062442,7.15760431780036e-24
12660,Ppia,-0.4936820613958168,9.742882426009638e-22
5623,Uchl1,-0.4780654063659197,2.6403061115139278e-20
