,gene,score,p-value
1373,Olfm1,0.8900952330311499,2.06726659800408e-145
17621,Calm2,0.792747101017623,2.4799385354896207e-92
15841,Nptxr,0.7898499581243235,3.2702160069585734e-91
15265,Calm1,0.7868667820982246,4.462945746389273e-90
16294,Mapk1,0.7368005342205234,2.1339469899918116e-73
1950,Itpka,0.7302819121934547,1.6646685035113392e-71
15553,Ywhaz,0.7267686006043352,1.6532693877496725e-70
5402,Slc30a3,0.7096886086670424,7.112310514036158e-66
12396,Arpp21,0.7046312148352819,1.4454884925855955e-64
15052,Rtn1,0.699194525966951,3.431191211156848e-63
16057,Ddn,0.6904311630445953,4.8787257917257556e-61
10378,Cx3cl1,0.6893915786904095,8.681758855031791e-61
1691,Chn1,0.6805289125393977,1.0722858036611183e-58
14638,Enc1,0.6751178280025071,1.868175210354857e-57
9765,Ctxn1,0.6676198406887912,8.87171533495075e-56
2218,Fkbp1a,0.6658330652731209,2.1895199740784073e-55
4017,Ppp3ca,0.662826425735262,9.872962109153245e-55
3037,Bex2,0.6612113583603518,2.2013330112010236e-54
5003,Camk2n1,0.6595421595258928,5.0156819945995673e-54
11870,Lingo1,0.657263645587221,1.5305501081906327e-53
11663,Nrgn,0.6562747389346921,2.476425921457577e-53
10404,Ndrg4,0.6544786494332094,5.907045161886578e-53
11331,Tsc22d1,0.6540157139583757,7.383524689775577e-53
14558,Mef2c,0.6516419317900471,2.3037582374402774e-52
4792,Ncdn,0.6464544875275556,2.67337265260412e-51
15071,Dbpht2,0.6421265664974388,1.9932414959604836e-50
5287,Cacna2d1,0.6396255052040055,6.271721092395778e-50
12631,Ppp3r1,0.6383292746394156,1.1313146706478873e-49
8504,Cacng3,0.6323023219710893,1.693606944816382e-48
8715,Caly,0.630494809607838,3.768962093050451e-48
18387,Gda,0.6202653743385502,3.160693688102105e-46
14843,Hpcal1,0.6189428060669716,5.5375228948659706e-46
15348,Meg3,0.6147559183024329,3.2112716563277096e-45
13929,Baiap2,0.614329055257569,3.8358458701154145e-45
16374,Fam131a,0.6129282739891313,6.859923673643213e-45
5586,Uchl1,0.6127938937038827,7.252233337385573e-45
7290,Lmo3,0.609473913804498,2.841289919356244e-44
11913,Nptn,0.6087880955876771,3.75967641391973e-44
11714,C2cd2l,0.6046506250366525,2.0077480985918643e-43
11535,Icam5,0.6045959226610832,2.052376999977183e-43
7663,Ttc9b,0.6012240085494808,7.893170767610024e-43
614,Lypd1,0.5976388537703754,3.248341813531626e-42
6266,Prkar1b,0.5968450305016443,4.4326194985256264e-42
9187,Zwint,0.5932255610103516,1.8090692659733984e-41
9164,Zfp365,0.5931808476991028,1.8405703453068647e-41
1480,Stxbp1,0.5924464600675262,2.4429925830810647e-41
11699,Thy1,0.5915357399725623,3.467214046170578e-41
10022,Gpm6a,0.5870989705449932,1.8789071793930928e-40
3952,Camk2d,0.583538466894014,7.157376608466142e-40
13299,Cdk5r1,0.5817975696093275,1.3682398405054894e-39
7054,Syn2,0.5809181599563858,1.8952770723426377e-39
11297,Dmtn,0.578909699998326,3.9742858001184644e-39
1809,Trp53i11,0.5786039571355079,4.446501488367728e-39
10589,Hsbp1,0.5770448394295317,7.8680527182393e-39
14185,Nrn1,0.576721657349477,8.852715823587177e-39
16055,Arf3,0.5765934974609997,9.276157780429793e-39
2724,Gria3,0.5745832067658422,1.9252703292686544e-38
16548,Gap43,0.5736708903893053,2.677252919507102e-38
11965,Map2k1,0.573065497894199,3.330160572638194e-38
16180,Ppp1r1a,0.5723647524659269,4.2847300376543676e-38
7068,Plxnd1,0.5720608974506245,4.778645575414785e-38
9009,Wasf1,0.5717853086210077,5.275163263970961e-38
1579,Rprm,0.5714153051211494,6.02297701650281e-38
14838,Kcnf1,0.5690924070973734,1.3791502918214694e-37
686,Atp2b4,0.5688334359401116,1.5119857877912205e-37
10069,Atp6v1b2,0.567679674792464,2.275315121652137e-37
16179,Pde1b,0.564488127578473,6.988844716204261e-37
391,Ptprn,0.5637495313936051,9.045649113478933e-37
16986,Fbxl16,0.5627472721719267,1.2823856528056272e-36
6087,Rilpl1,0.5593419834231754,4.1609037373148235e-36
2424,Slc12a5,0.5591894287711044,4.384800095074477e-36
7158,Eno2,0.5589254371678051,4.800773792924261e-36
