,gene,score,p-value
10913,Clu,0.7084898624604893,7.509300522388983e-73
7378,Apoe,0.699762086307978,2.282633004079583e-70
1275,Ptgds,0.6821475651425825,1.2724062113013581e-65
4850,Id3,0.5627395257526968,1.30912638556547e-40
9457,Cd63,0.5494992160414379,1.968089266902201e-38
2141,Cst3,0.5436664469648351,1.6698228048541383e-37
7606,Fxyd1,0.5323342610809978,9.456623476763338e-36
8511,Ifitm3,0.49605913378700633,1.455781699312737e-30
13283,Gfap,0.4855208890025547,3.6067355660550254e-29
949,Atp1a2,0.47175338532012284,2.0271832280319978e-27
10072,Mt1,0.45756721590198207,1.0684297910058028e-25
3985,Gng5,0.4554258485267941,1.9130585948919091e-25
11460,Cryab,0.4501049702196535,7.991867781872058e-25
8960,Chchd10,0.44858748272701615,1.196023617684761e-24
1190,Vim,0.44846510303565573,1.2354409147398388e-24
15954,Apod,0.4466855644661468,1.97674464542181e-24
11837,Rbp1,0.43685767018999855,2.5227944268703227e-23
11871,Trf,0.4285048564349833,2.0600207696837602e-22
7757,Ftl1,0.4238938801310936,6.405501971773322e-22
589,Dbi,0.4155993429056106,4.71994253730223e-21
7099,Mgp,0.4104548936150188,1.5845748575369838e-20
12219,Aebp1,0.409781204298636,1.854046246642927e-20
1948,B2m,0.39847960923454623,2.4520717589037986e-19
14555,Rps29,0.39557571161796146,4.68610246399109e-19
13771,Bmp6,0.39385254024946925,6.861424057229911e-19
2358,Pltp,0.3936897796960847,7.112232412833782e-19
831,Prdx6,0.38846239144183986,2.2294075927264995e-18
2189,Id1,0.38734579286107584,2.8381359034883422e-18
15458,Fbln1,0.38590454171339067,3.870517675689329e-18
777,Glul,0.38480139137430003,4.902850421926849e-18
3534,Rps27,0.3831323894726897,6.999381929483797e-18
3564,S100a11,0.3802113500947627,1.2987619331844019e-17
3156,Car2,0.3784032207556682,1.898297728371997e-17
10069,Mt3,0.37633259370581706,2.923275220703533e-17
14914,Ckb,0.37369536265394426,5.043676739443547e-17
8128,Hbb-bs,0.3728858874064108,5.95691691559626e-17
7017,Cd9,0.37081780381579116,9.093923517116498e-17
9854,Rpl18a,0.3687351782527892,1.3881685072210664e-16
10989,Tpt1,0.36830208240928064,1.5152169513944387e-16
12340,Hba-a1,0.36713151199571836,1.9185904115987595e-16
14357,Laptm4a,0.366981745411517,1.9772756141867281e-16
6417,Slc13a4,0.36599301270209084,2.411460306770953e-16
2759,Bgn,0.36542015934566124,2.7045443864314354e-16
11149,1700012B09Rik,0.3642286377786991,3.430731849298835e-16
12342,Hba-a2,0.3641828727361583,3.4621473315975923e-16
3555,S100a6,0.3638118099332235,3.727518609981824e-16
11556,Islr,0.3624535989489172,4.880529073712906e-16
13689,Hist1h2bc,0.36172384035936306,5.638006782621245e-16
8685,Rps12,0.36090045195392567,6.631792847310708e-16
9870,Bst2,0.3595155426217768,8.704801772741539e-16
15653,Krt8,0.3577309901489223,1.2334678237189645e-15
8549,Ctsd,0.3546158782870877,2.2546667833564424e-15
1469,Gsn,0.35447365637463485,2.317251924264967e-15
6627,Vamp8,0.34912315188375015,6.426642155916561e-15
1105,Rd3,0.34846462423152336,7.27659285244527e-15
14094,Fam81b,0.34808503003619035,7.815654678014546e-15
16526,Rps10,0.34720424402692507,9.221899635653748e-15
16698,Clic1,0.34668304959170454,1.0167947891018133e-14
5810,Rplp0,0.345582850323765,1.2488326480559361e-14
6277,Col1a2,0.34529652985722803,1.3172823122125144e-14
8083,Ucp2,0.3439874169540095,1.6801001279389918e-14
16272,Ezr,0.3439118279323062,1.7038081248651867e-14
13862,Ogn,0.3423104546885405,2.290637549567297e-14
8555,Igf2,0.3410228771613145,2.902479829948215e-14
17003,Myl12a,0.3403746128507552,3.268531910675944e-14
18152,mt-Nd2,0.33904889430068796,4.1635851831737195e-14
9179,Timp3,0.33727482713009904,5.745732376698136e-14
8561,Cd81,0.3343767678607086,9.680977294165712e-14
17919,Acta2,0.3333823297194533,1.1564242463499508e-13
16646,H2-K1,0.33311926355917637,1.211970993372043e-13
3368,Mlf1,0.3327742752345607,1.28879165608923e-13
6083,Pcolce,0.33267701551651147,1.3112976435413787e-13
12410,Tgtp1,0.32944611488636616,2.3224728764074596e-13
17675,Neat1,0.327068157762357,3.522048914738045e-13
12153,Slc6a20a,0.32640861366510854,3.9507060400597613e-13
11942,Slc38a3,0.3245431116320217,5.4588682479102e-13
9215,Gm32468,0.32452083600718384,5.479912266722713e-13
4672,Col8a2,0.32249287926690423,7.7682757181464e-13
7123,Slco1a5,0.32234021294242055,7.974207981488649e-13
2442,Ctsz,0.3219793803156866,8.482399640245037e-13
10974,Itm2b,0.32054736096298175,1.0830511704899205e-12
7129,Ldhb,0.319739048540015,1.2425277350080072e-12
2426,Bmp7,0.3169352690310642,1.994579448052327e-12
3833,Cnn3,0.31631856886985044,2.2119421290239937e-12
3549,S100a1,0.3151213065827907,2.7020334733695094e-12
344,Igfbp5,0.31501138812918983,2.752015592959511e-12
10071,Mt2,0.31498437837506427,2.7644351280619168e-12
4039,Rps20,0.3140471533490853,3.23101625356573e-12
10702,Lgals3,0.3131989187884575,3.7190791829828425e-12
4136,Cfap206,0.3129964787553504,3.84581081392156e-12
3096,Tmem27,0.3127838232659126,3.983481631105401e-12
4655,Dnali1,0.3119989962424683,4.534513474003077e-12
15725,Smim22,0.311547069047705,4.884904054791193e-12
5141,Steap2,0.31135254174050186,5.043745813982169e-12
4237,Frmpd1os,0.3110689914053282,5.284354527811385e-12
15437,Tspo,0.3104450233319205,5.853993297267494e-12
16774,Gm42418,0.310264266711711,6.0299304726144105e-12
5222,Wdr86,0.3101906736051339,6.103031799235729e-12
4544,Prdx1,0.310123067635789,6.1709485128793124e-12
14841,Ifi27l2a,0.30972650446817623,6.5844565600419165e-12
7382,Bcam,0.30901757216699316,7.392144301056158e-12
13437,Smim5,0.30865606206387386,7.840487799699203e-12
8916,Cabcoco1,0.3086035031438654,7.907844146595946e-12
476,Gm29538,0.30784810625743425,8.940669594971802e-12
9569,Nek5,0.3077104587664751,9.1425645492382e-12
14720,Npc2,0.30448221032402756,1.5383859900649645e-11
17553,Mbp,0.30403973010482416,1.6512981776937295e-11
11940,Sema3b,0.3039248846802943,1.6819023964664565e-11
11733,Ooep,0.3038054753262179,1.7143097758601468e-11
18158,mt-Nd3,0.3029908335789208,1.952247181539078e-11
2489,Rps21,0.30292899728784306,1.9715699134374252e-11
12180,Tcn2,0.3018467917443921,2.341571001081721e-11
6638,Dnah6,0.30150517611643823,2.4718479878671185e-11
2981,Plp1,0.3009795752930018,2.6862118642345786e-11
13395,Dnaic2,0.3001504166200675,3.0617566744389854e-11
8003,Ctsc,0.300101285295552,3.085548957104752e-11
14594,Rtn1,-0.7871099303911187,2.8956455060158645e-100
15223,Ly6h,-0.7555226210401069,5.328458507680023e-88
17094,Calm2,-0.7519087619999245,1.024409680090404e-86
5460,Uchl1,-0.7508619012970882,2.3891864248517758e-86
603,Lypd1,-0.7454317203017841,1.8068206902784945e-84
15363,Nptxr,-0.7435247985925246,8.041672576954967e-84
1334,Olfm1,-0.7365526426550407,1.6902335402501958e-81
6886,Syn2,-0.7350827570337852,5.107222375019109e-81
2968,Bex2,-0.7290595516486648,4.3956172148459145e-79
2160,Fkbp1a,-0.723456290698331,2.493014645993181e-77
14389,Hpcal1,-0.7185885522994129,7.681456760436619e-76
17756,Gng3,-0.7012389291316417,8.803795774446661e-71
4681,Ncdn,-0.6980300371263474,6.925906890851306e-70
14884,Meg3,-0.6972160783186968,1.1636273551601656e-69
15805,Mapk1,-0.6870721545155354,6.48300598636566e-67
9495,Ctxn1,-0.6849498207312252,2.355567211247666e-66
5800,Dynll1,-0.6782569840047438,1.2827126904089184e-64
6586,Snca,-0.6759182840537257,5.0573562922841396e-64
4083,Calb1,-0.6701992458124368,1.3737837310064725e-62
3162,Bhlhe22,-0.6695106276719306,2.0343335311075816e-62
6989,Tpi1,-0.6647540749127963,2.9767741344210716e-61
8255,Crym,-0.6605566520737276,3.05072594435804e-60
16719,Atp6v1g2,-0.6604342350666587,3.2631290467953964e-60
12605,Ubb,-0.6573879674494922,1.7243567275716806e-59
15082,Ywhaz,-0.6559830889875121,3.6917216617449453e-59
11192,Icam5,-0.6458388320421526,7.995188089809624e-57
7110,Lmo3,-0.6449097964077187,1.2950902829421354e-56
8766,Wasf1,-0.6409224224450809,1.0072257676616387e-55
13153,Thra,-0.6392153378291857,2.401509113425116e-55
8935,Zwint,-0.6376987119499495,5.172980548905035e-55
13188,Hap1,-0.63723091854999,6.548691548979462e-55
10790,Cpne6,-0.6350602117681917,1.9456992134797393e-54
12507,Gria1,-0.6350108061457929,1.9943226662181237e-54
13046,Nme1,-0.6344683554659383,2.614355757264007e-54
13742,Tubb2a,-0.6339049473201053,3.46120840820242e-54
3113,Tmsb4x,-0.6322686212405524,7.793459461433118e-54
6065,Ap1s1,-0.6301272658807759,2.2379009517292713e-53
6986,Eno2,-0.629648992361346,2.8292427527861823e-53
17639,Cnih2,-0.6284101323622918,5.183339556316243e-53
10295,Necab2,-0.6281860718441891,5.781466390467935e-53
9844,Rab3a,-0.6251878927978302,2.471544925994797e-52
4006,Ak5,-0.62375444228997,4.922638868933213e-52
8533,Slc25a22,-0.6237150928272165,5.016376756195104e-52
13528,Actg1,-0.6190334588947158,4.642782459042319e-51
16050,Gap43,-0.6164592733847237,1.5532073473720987e-50
9788,Atp6v1b2,-0.6126797562140357,8.964307874585672e-50
10292,Hsbp1,-0.6103804842654093,2.574156913007506e-49
4770,Atpif1,-0.6051988662459877,2.6877923217367115e-48
1646,Chn1,-0.604506351261047,3.665535363786238e-48
7844,Snrpn,-0.604270784247165,4.072828320729761e-48
11949,Camkv,-0.6017642295083417,1.2429070831555731e-47
15876,Ap2m1,-0.6012149563307377,1.5850645885522314e-47
11613,Map2k1,-0.5996268165352759,3.1933699739177174e-47
2549,Syp,-0.5967237390014749,1.1374897659377051e-46
2517,Stmn3,-0.5957590953980476,1.7299196843734648e-46
14191,Enc1,-0.5951955846853003,2.2085392193086645e-46
855,Atp1b1,-0.5950520738143854,2.3501043693702673e-46
10916,Ptk2b,-0.5949074537672846,2.5018657691701954e-46
3404,Gria2,-0.5941424753205572,3.481683300723353e-46
7184,Prkcg,-0.5926597192625519,6.5901057677904066e-46
10112,Ndrg4,-0.5880723678845895,4.646948381330864e-45
2972,Tceal5,-0.587285968822838,6.474854017830868e-45
8486,Caly,-0.5868727701682159,7.70490132680075e-45
8328,Aldoa,-0.5840803508856997,2.4798237242053313e-44
11370,C2cd2l,-0.582820554022951,4.1864397550106956e-44
1029,Cnih3,-0.5818211445448624,6.332259846623028e-44
4720,Marcksl1,-0.5817128700649202,6.622033806426526e-44
2063,Prnp,-0.5814224810074479,7.465748501436717e-44
386,Ptprn,-0.5755187252415512,8.33090715899832e-43
17846,Gda,-0.5752603364432775,9.248232171560086e-43
8827,Serinc1,-0.5724117524848902,2.907624143344181e-42
13902,Unc5a,-0.5722502528789405,3.101682756128181e-42
3925,Ppp3ca,-0.5722414113570685,3.112669874363179e-42
9742,Gpm6a,-0.5717288118020862,3.820209280958593e-42
5278,Slc30a3,-0.5710766355172584,4.954926206984576e-42
5309,Ywhah,-0.5700907685039972,7.333324928449498e-42
15885,Fam131a,-0.568525389175694,1.3629261920191953e-41
14804,Calm1,-0.5683880175141177,1.4388818133966118e-41
11355,Thy1,-0.5680006530407649,1.6764107681467014e-41
7572,Aplp1,-0.5668976550925147,2.587279634464508e-41
11023,Pcdh8,-0.5659766069375882,3.7125735812357005e-41
14918,Klc1,-0.5637249549256592,8.933243599553223e-41
2987,Zcchc18,-0.5621882383105528,1.6202821159818531e-40
3323,Pfn2,-0.5620860867656464,1.6855114468845977e-40
12862,Sez6,-0.5609394373680776,2.6226009219878817e-40
13036,Mmd,-0.5557811984764465,1.8761789155967596e-39
12264,Ppp3r1,-0.5554102471596088,2.1585121914766958e-39
16058,Atp6v1a,-0.5550795673260843,2.4454628575087693e-39
12185,Mtfp1,-0.5521866073600016,7.244591407888264e-39
5036,Acot7,-0.5495351418565294,1.9420859105080018e-38
17658,Cfl1,-0.5490569271847031,2.3179349177549786e-38
2631,Zcchc12,-0.5486917837760564,2.6526751561197176e-38
14384,Kcnf1,-0.5484596581669869,2.8899369910048405e-38
10997,Serp2,-0.5482156101855145,3.1620753332563073e-38
7806,Ldha,-0.547768416605861,3.7282598737728657e-38
945,Pea15a,-0.5477180718293754,3.7979801033725173e-38
7813,Ptpn5,-0.5464017515562092,6.15821226867234e-38
3612,Ensa,-0.5461642864111576,6.717725893510955e-38
10512,Ppp3cb,-0.5450858758769183,9.962289574479142e-38
