,gene,score,p-value
8551,Aldoa,0.7649324259215922,1.2893460043295229e-55
2146,Snap25,0.7541718244206991,2.9816504503344904e-53
5586,Uchl1,0.7539568665280911,3.314621020447147e-53
5434,Ywhah,0.7507256152507858,1.6065352717356055e-52
4097,Ak5,0.7460041109229749,1.5443784712065932e-51
1457,Dnm1,0.7393047859368829,3.520403530776163e-50
8113,Sv2b,0.7359948875910863,1.5926715946972795e-49
6744,Snca,0.7314454443463628,1.2223696032636387e-48
7054,Syn2,0.7272275312387264,7.794005441482586e-48
15841,Nptxr,0.7237213089856221,3.5413890625567334e-47
13706,Nsf,0.7166516125548116,6.988113133510941e-46
4477,Sh3gl2,0.7119999872937364,4.733316785082586e-45
2502,Gnas,0.7081718943084867,2.22123834208019e-44
11690,Grik4,0.7030733223194952,1.6754990426879232e-43
18527,Pgam1,0.7018311659294917,2.7233978943675507e-43
8762,Slc25a22,0.6955192272427252,3.093590978182013e-42
16688,Synj1,0.6941351086521668,5.2267811687708e-42
3205,Stmn2,0.6940363977910067,5.4253639699509424e-42
2132,Chgb,0.6906616785219533,1.923864196288109e-41
15388,2010107E04Rik,0.6904188078625878,2.1059463053781091e-41
5137,Eno1,0.6901424334292349,2.3339453500933044e-41
12961,Rnf112,0.6854308159098839,1.3229099789147952e-40
5156,Acot7,0.6828831042037504,3.3344047974121815e-40
13676,Adam11,0.6827862192959567,3.4530702357587077e-40
12244,Cpne4,0.6824059126302902,3.960619395189085e-40
12131,Snap91,0.6813251748678416,5.841416528074959e-40
10069,Atp6v1b2,0.6811666177805119,6.183229574125953e-40
10404,Ndrg4,0.6809659551172156,6.644291019132157e-40
11113,Cpne6,0.6798831061228067,9.785084319993285e-40
4816,Hpca,0.6793262393699087,1.1932690767725612e-39
539,Bok,0.6775611439046804,2.2316561552205064e-39
15359,Hsp90aa1,0.6766567376592463,3.070463280438165e-39
5724,Prdm8,0.6754533951108606,4.686176586628186e-39
14373,Spock1,0.6746069363058923,6.301681873810342e-39
11263,Nefl,0.6715994920957357,1.7908411175377984e-38
4243,Tmem215,0.6704117198432545,2.696105835376766e-38
7944,Slc17a7,0.6690871490124114,4.245329456455269e-38
16294,Mapk1,0.6682264391518895,5.694972880510375e-38
4792,Ncdn,0.6661095056921484,1.1680702244354167e-37
6645,Atp6v0e2,0.664878879634728,1.7687089082819944e-37
18043,Myo5b,0.6642332323707121,2.197097576100437e-37
515,Cops9,0.6615265610655134,5.42228421772647e-37
7112,Atp6v1e1,0.659741775213343,9.787327336298963e-37
2684,Syn1,0.6597336532643567,9.813575532330938e-37
8399,Nrip3,0.6597009939264168,9.919826927339464e-37
11924,Pkm,0.6584589107458827,1.4925805528828752e-36
8771,Ap2a2,0.6546567185235106,5.1510075306460096e-36
6186,Ywhag,0.654015212241799,6.337118422327181e-36
6119,Mmp17,0.6479879121340104,4.3342918119898203e-35
13652,Mpp3,0.6433126192362271,1.8695889649459924e-34
15553,Ywhaz,0.6409536931134234,3.871452582962742e-34
16660,App,0.6405883705382223,4.330967276809951e-34
14051,Amph,0.6404492414905328,4.519793432092297e-34
7204,Ccnd2,0.638384674346301,8.492290788545585e-34
13924,Nptx1,0.6374584417519386,1.1252018881427068e-33
3489,Npy2r,0.636555050221301,1.479179179094919e-33
103,Arhgef4,0.6362701143168445,1.6121524045238655e-33
10091,Hapln4,0.6336450528439906,3.548074261608135e-33
1728,Frzb,0.6336371375873756,3.556482722248524e-33
2977,Pgk1,0.6329239250252284,4.4007585910635146e-33
7161,Tpi1,0.6318030731566302,6.143550563758455e-33
5965,Pebp1,0.6306308643530985,8.69592818469916e-33
15569,Atp6v1c1,0.6295770568861303,1.1869173143280515e-32
17238,Atp6v1g2,0.6290610363935359,1.3816188592787758e-32
11846,Idh3a,0.6289073916586357,1.4454602618150092e-32
73,Kcnq5,0.628630495902668,1.5679545613468151e-32
4905,Trnp1,0.6274973039484641,2.1854431876800987e-32
4485,Slc24a2,0.6263948772238241,3.014820525991541e-32
12902,Rnf187,0.625450696813011,3.9671941001399354e-32
10049,Cpe,0.6250584549211189,4.4452079128078544e-32
7505,Ap2s1,0.6249270678578651,4.6177084975005485e-32
16556,Atp6v1a,0.6244373238907165,5.320949917820026e-32
10126,Rab3a,0.6241763035925498,5.737937805820893e-32
16364,Ap2m1,0.6236923836077134,6.598146527912602e-32
2582,Stmn3,0.6230427448534527,7.956031437813444e-32
1187,Camk1d,0.6228666304446052,8.369448226903975e-32
212,Gls,0.621861566675332,1.1168187518307801e-31
9441,Nt5dc3,0.621446113497784,1.257877316509914e-31
16729,Ttc3,0.6214003818414584,1.274440687788697e-31
13621,Cntnap1,0.6212562405659685,1.3280685248008506e-31
17496,Pja2,0.6211873411972125,1.3544837162653282e-31
16827,Smoc2,0.6195652059809843,2.150487175569261e-31
7814,Gpi1,0.619408579890742,2.248327991662337e-31
12757,Lsm11,0.6150325398372626,7.715425336467835e-31
18273,Rtn3,0.6112062949836451,2.232357651881989e-30
18618,Usmg5,0.611127406495964,2.2814494446681303e-30
5936,Cabp1,0.6104655881115962,2.737542041306467e-30
15692,Ly6e,0.6104487286311164,2.7502658104572126e-30
4882,Atpif1,0.6099393141043086,3.1634982804827434e-30
12866,Hint1,0.6093982132022266,3.6696242282059346e-30
874,Atp1b1,0.6086511551074736,4.501997957425605e-30
3842,Slc6a17,0.6078165479063957,5.6534812754734054e-30
