,gene,score,p-value
17340,Mbp,0.8321739130434782,4.612623609765017e-07
11935,Cck,0.8227875819640965,8.012463870513376e-07
2061,Snap25,0.8217391304347826,8.505288480562671e-07
2528,Pcsk1n,0.7895652173913044,4.493231151919738e-06
8102,Dkk3,0.7797957797397916,7.046070277610542e-06
9270,Kif5a,0.7760367001239338,8.328178565348338e-06
14907,Baalc,0.7726647847321744,9.649763656052092e-06
17933,mt-Nd2,0.7669565217391304,1.2313987467065923e-05
1761,Slc1a2,0.766086956521739,1.2772330677153307e-05
7233,Dact3,0.76490384644615,1.3420148027302818e-05
9134,Atp2b1,0.7620933119128356,1.5076913784496236e-05
2548,Tspan7,0.7573913043478261,1.825533170907123e-05
6697,Prickle2,0.7514651648316515,2.3094846604762558e-05
10858,Akap11,0.7474159156952994,2.7021214179931383e-05
8814,Phyhipl,0.7441499993094782,3.0605144782139005e-05
8472,Bc1,0.7417391304347827,3.351314602649341e-05
16509,Atp6v1g2,0.7386854574242528,3.754406534023145e-05
13638,Cap2,0.7382788747999416,3.811172098394387e-05
1424,Stxbp1,0.7365217391304346,4.065277793032387e-05
311,Map2,0.7337708046090424,4.493077208933836e-05
6072,Mmd2,0.7307991358147412,4.9992231663709095e-05
639,Tmcc2,0.7271678991334716,5.685241533157e-05
2475,Eef1a2,0.7223675494745445,6.718295075846236e-05
13610,Phactr1,0.7205308874194086,7.15509278803728e-05
14180,Vsnl1,0.7156521739130434,8.438576636009348e-05
1595,Gad1,0.7135439212383718,9.052892448727574e-05
4812,Camk2n1,0.7130434782608696,9.204341421214485e-05
2111,Cst3,0.7086956521739128,0.00010616350972290819
11922,Mobp,0.7049611024992544,0.00011976997125919903
12698,Aldoc,0.6965217391304346,0.00015626257645941094
99,Arhgef4,0.6946204124400258,0.00016571044906767233
2254,Snhg11,0.6923244347182038,0.0001777808033209044
14069,Rgs7bp,0.690929398788877,0.00018548335748011386
16013,Ttc3,0.6901656225702576,0.00018982249979312233
17935,mt-Co2,0.6895652173913043,0.00019329537597921907
3540,Mllt11,0.6884325631021486,0.00019999795327116794
2575,Cdk16,0.686548109005815,0.00021159875050011427
165,Pantr1,0.6786617873963035,0.00026674741142376307
16265,Fbxl16,0.6769092714830787,0.00028057428988040957
11269,2900052N01Rik,0.675776260103156,0.0002898414309671317
10785,Nefl,0.6743469863634858,0.0003019104066635645
13748,Cxcl14,0.6732785708038135,0.0003112152042548165
66,Paqr8,0.6720812032877492,0.0003219381430464959
196,Tmeff2,0.6701002442014179,0.00034038364459978645
16742,Slc25a23,0.6673041979941543,0.00036797705313152567
7481,Aplp1,0.6660869565217391,0.00038058316640382056
17932,mt-Nd1,0.6660869565217391,0.00038058316640382056
7627,Ap2a1,0.6608760708153222,0.0004388779131197808
14725,Ckb,0.6591304347826087,0.00046006317483389284
16871,Prkce,0.6579147184047334,0.0004753351816061687
17561,Asrgl1,0.6567748210174488,0.0004900514085693799
2920,Bex2,0.6557749768032118,0.0005032824787714667
11198,Thy1,0.6547826086956522,0.0005167191006814651
17268,Spire1,0.653861950723193,0.0005294611130391336
5555,Sparcl1,0.6530434782608695,0.0005410161161143115
15707,Sst,0.6528788831938136,0.0005433659765779198
15016,Lynx1,0.6527417615733837,0.0005453303417563476
767,Glul,0.6513043478260869,0.0005662946961460888
3693,Kcna2,0.6501858547416058,0.0005830860636933747
2574,Uba1,0.6501307945270902,0.0005839236459000218
11232,Tmem25,0.646412370750404,0.0006429496100714719
15219,Sept3,0.6462943717458938,0.0006449040493231528
17934,mt-Co1,0.6452173913043477,0.0006629805741159052
4109,Sigmar1,0.6444990979945947,0.0006752783241055652
16894,Nrxn1,0.643574512118501,0.0006913973102978056
6484,Herc3,0.6416557196210891,0.0007259110771973871
13602,Smim13,0.6413015285950755,0.0007324417697674905
15671,Camk2n2,0.6408937416091613,0.00074002335238749
4187,Gabbr2,0.6407234439831407,0.0007432094959164778
15351,Slc48a1,0.6392172033025327,0.000771908787145501
10322,Fam107a,0.6388345443473878,0.0007793501018017256
8225,Ypel3,0.6379647900324151,0.0007964938788656798
101,Fam168b,0.6366872932469684,0.0008222632854309598
12065,Adcy1,0.6358139224743387,0.0008402910871470962
