,gene,score,p-value
13318,Gaa,0.6826160635196723,1.1580671853028326e-31
13002,Hap1,0.6409981889318657,5.7413077143887235e-27
12316,Gpx3,0.5902124629363406,3.9006199841043797e-22
7753,Ndn,0.5842564466453934,1.2682090378661026e-21
12582,6330403K07Rik,0.5817810285850022,2.0555950335147063e-21
2784,Maged1,0.576264911559029,5.942525070549338e-21
2403,Gnas,0.5741192035309682,8.932476733627758e-21
6662,Podxl2,0.5666999085019216,3.573779181740133e-20
2958,Irs4,0.5657681628819191,4.243099049420774e-20
13054,Vat1,0.5628897740898041,7.186619586935461e-20
378,Ptprn,0.5533144702769863,3.9995728272063394e-19
14114,Isl1,0.5446078494452733,1.817227451628968e-18
379,Resp18,0.5427173780114957,2.509827439604829e-18
11811,Wdr6,0.5409159889573437,3.407627043735735e-18
14029,Cartpt,0.5372420796532489,6.3221004036161104e-18
15388,Prph,0.5348424939363632,9.427859908898964e-18
16013,Ttc3,0.5328393387216916,1.3129255682865864e-17
2641,Arhgap36,0.5312016894807815,1.7183734814387366e-17
14692,Dlk1,0.5286098855723091,2.6230357956522792e-17
6485,Nap1l5,0.5219862808098102,7.606058010622244e-17
8560,Ahi1,0.519831987397536,1.0699858978709721e-16
9074,Pmch,0.5136554753254825,2.809058076137166e-16
15026,Ly6h,0.5136385808970209,2.816408734021822e-16
403,Scg2,0.5124239830122183,3.3972507502386265e-16
5381,Uchl1,0.5093855270325859,5.412835902758433e-16
447,Ecel1,0.5074457478637573,7.26983522379108e-16
16247,Baiap3,0.5018506339198203,1.6845938645371898e-15
2981,Tro,0.5006108119115702,2.025208615891378e-15
8378,Caly,0.49926901316251865,2.469779723807636e-15
2920,Bex2,0.4963256139726727,3.805449247939926e-15
2917,Gprasp2,0.49394678933066455,5.380588381169373e-15
2703,Gabrq,0.49268046612664096,6.4629447057813304e-15
11342,Crabp1,0.4917847494327407,7.354223122447545e-15
11413,Celf6,0.4916980498647627,7.446614016337147e-15
2049,Chgb,0.4898572910135391,9.698752860146097e-15
13990,Sv2c,0.48850425243522344,1.1766018377263571e-14
6112,Tmem130,0.4838301550658372,2.2786719298806205e-14
7172,Peg3,0.48225816499366764,2.8395238546676688e-14
7013,Ptpro,0.4736806578017461,9.250397447002848e-14
13556,Tubb2a,0.4726372196960432,1.0655763985637288e-13
17363,Gal,0.4725152024972482,1.0833125810131718e-13
11178,Bsx,0.4720817231972366,1.1486828134318433e-13
2914,Gprasp1,0.471667759903054,1.214695285241785e-13
1952,Hdc,0.46857366934441425,1.8399957631889653e-13
10029,Agrp,0.4670939470938079,2.2409275875473501e-13
13979,Otp,0.4670250161415915,2.2615482792059436e-13
3928,Prkacb,0.46393722523744246,3.401667455268926e-13
6199,Asb4,0.4625423679684334,4.085033458809148e-13
2146,Nrsn2,0.4619525580465658,4.4127067581904707e-13
2591,Zcchc12,0.4577348130270055,7.628979069304796e-13
8932,Cbarp,0.4566149583812825,8.811462584393026e-13
11170,AW551984,0.45591132522004224,9.643907369309093e-13
2055,Tmx4,0.4555507996490479,1.0099642839529695e-12
2932,Morf4l2,0.4539513477576236,1.2387583955946674e-12
9698,Tmem59l,0.4517142892086899,1.6453052070856597e-12
14693,Meg3,0.45101609949898297,1.7969355503743005e-12
6209,Tac1,0.4479087267867089,2.653848301973078e-12
17913,Slc18a2,0.4459023212465615,3.4065274889548635e-12
10442,Itih3,0.444611655298355,3.99660804775071e-12
8447,Th,0.444022139375827,4.298172896382318e-12
2475,Eef1a2,0.44255240379125077,5.149715920457345e-12
2101,Nkx2-4,0.44149279394537344,5.8633314039190075e-12
8852,Prmt2,0.4378826844694574,9.093063683587626e-12
2701,Gabre,0.4377833343244021,9.20286146440682e-12
2576,Usp11,0.436562889130407,1.0661507840083977e-11
2254,Snhg11,0.4350750997809821,1.2745795380676942e-11
5761,Tbx3,0.43429414590327453,1.3993358342235577e-11
13425,Gng4,0.43427544070498486,1.4024650537752935e-11
1335,Setx,0.4339847660005775,1.4519760415890554e-11
11177,Hspa8,0.4307381013263366,2.134433805277738e-11
2646,Gpc4,0.43004830013415196,2.3152845839907245e-11
10500,Sncg,0.4294655454919433,2.479605191453592e-11
7754,Magel2,0.4278954074144376,2.98079736542047e-11
7380,Pld3,0.4239030979592213,4.7399316039950444e-11
6188,Calcr,0.4232758721965343,5.09542795048883e-11
15963,Sod1,0.4213504694522361,6.35612833118591e-11
2331,Cdh22,0.4202557187683604,7.202993380024564e-11
17197,A730017C20Rik,0.4191859693491849,8.135873888288445e-11
8890,Pdxk,0.4188443244500687,8.457788705443904e-11
7237,Pnmal2,0.41554208146008015,1.2279365357646075e-10
6470,Ppp1r17,0.4143069609870986,1.4102181452789384e-10
10358,Gng2,0.4103355568944037,2.1923654159606415e-10
13158,Ddx5,0.4100810505300642,2.2547987411004798e-10
6034,Prkar1b,0.40915772876187795,2.4961076731519796e-10
15862,Cd200,0.4091521258780773,2.497645789587863e-10
16883,Calm2,0.40742548389607214,3.018148278705748e-10
390,Slc4a3,0.406831240316355,3.220516202583598e-10
10138,Vat1l,0.4059034015705485,3.563050839213974e-10
7239,Gm42372,0.4027663198621556,5.003143924053757e-10
6206,Dlx6,0.40119308032283424,5.923773774444784e-10
6736,Sumf1,0.4007932164220122,6.182753083981872e-10
6194,Peg10,0.40018504540727434,6.597797528183548e-10
1031,Susd4,0.3994807685434001,7.112197954786744e-10
2594,Pgrmc1,0.3992073087703413,7.32222758410818e-10
12834,Dynll2,0.3986180750886633,7.795405568448451e-10
1595,Gad1,0.3984685107483604,7.920146703273955e-10
2672,Gpr101,0.39809621629336545,8.239106069343858e-10
2720,Pnck,0.39603449897639714,1.0243615139584572e-09
2836,Cited1,0.3935394598822754,1.3305688328633126e-09
2696,Gpr50,0.3933211551094474,1.3612268911263372e-09
14740,Tmem179,0.3922150626222576,1.527375704183886e-09
7128,Syt5,0.39133180847768795,1.6739880591215788e-09
