,gene,score,p-value
11039,Nrgn,0.84912568650969,8.458606479438816e-62
16699,Calm2,0.8219670359518818,1.0252413252421633e-54
4575,Hpca,0.8001587215936239,7.542058130127491e-50
3814,Ppp3ca,0.7974513904539344,2.751100873810663e-49
11803,Cck,0.787187451357487,3.1260121107811036e-47
1837,Itpka,0.7583489220605404,5.112245206818932e-42
11960,Ppp3r1,0.7436983212820463,1.2169728794869282e-39
7115,Selenow,0.7257947892140573,6.006610575328548e-37
9027,Atp2b1,0.7164188119590663,1.2754046356568047e-35
7006,Prkcg,0.7090478739306271,1.2935066518278799e-34
1588,Chn1,0.7089616662149155,1.3284642241571418e-34
17219,Sptbn2,0.7076097339788961,2.015661873099719e-34
14247,Rtn1,0.7058975130432108,3.4061346986847654e-34
823,Atp1b1,0.7037957778230454,6.452166586024552e-34
2095,Fkbp1a,0.6953055094590337,8.055445662494756e-33
8078,Prkcb,0.674153579617707,3.008729964854631e-30
17241,Cnih2,0.6633099478696218,5.19958491827127e-29
9263,Ctxn1,0.6612277486168995,8.866013353927225e-29
7543,Slc17a7,0.6574245889523651,2.3243503587429705e-28
1798,Rasgrp1,0.6462080878341243,3.683209937340196e-27
7644,Snrpn,0.6423089775747407,9.368461887606909e-27
3023,Tmsb4x,0.6394167034909412,1.856297848282669e-26
12987,Rprml,0.638005347663625,2.5847435545632612e-26
15505,Fam131a,0.6373444703328721,3.0163516279493824e-26
1364,Dnm1,0.6320761628535216,1.0193371415869996e-25
15372,Grin2a,0.6313695921659048,1.198040167241594e-25
9836,Cx3cl1,0.620498812486085,1.3659151136026152e-24
10648,Ptk2b,0.618225173305315,2.2454054484801918e-24
5166,Ywhah,0.6152175083933283,4.3069668508042665e-24
13937,Plk2,0.6137826823768379,5.8621028051828824e-24
15204,Arf3,0.6137465077191875,5.907721417812084e-24
11649,Camkv,0.6091021192711621,1.5851603948932368e-23
14447,Calm1,0.6084217646810129,1.82926172885445e-23
1283,Olfm1,0.6013994600006992,7.864224028162578e-23
1214,Grin1,0.60018113601448,1.0091614338111999e-22
3717,Plppr4,0.5990773761428555,1.2638133453847992e-22
1352,Fibcd1,0.5965186275330145,2.122164874252849e-22
7420,Scn1b,0.5949030989124217,2.936756328290095e-22
11700,Spink8,0.593446062832275,3.9303969761572207e-22
10524,Cpne6,0.5916458602021111,5.622538983956928e-22
11921,Camk2b,0.5894088837355468,8.745972136222725e-22
8549,Wasf1,0.5869058832537202,1.428067622100165e-21
7146,Calm3,0.5814183262686711,4.123039315111597e-21
6379,Wipf3,0.5811675972583622,4.3256332262877076e-21
4606,Adgrb2,0.58099623341348,4.4696901933767745e-21
952,Zbtb18,0.5806747825990661,4.752737076569451e-21
2439,Eef1a2,0.5769653326325622,9.606181289770906e-21
2191,2900097C17Rik,0.5765269940350691,1.0432976851053981e-20
9500,Gpm6a,0.5764596457109035,1.0566053118201642e-20
13861,Enc1,0.5733300835057464,1.8980580831263317e-20
9059,Syt1,0.5729455677297223,2.0388221249308076e-20
10677,Egr3,0.5706891041425949,3.09663695583885e-20
3208,Dclk1,0.5692344723986908,4.0473036913075794e-20
16857,Egr1,0.5662259841972668,7.011899558284713e-20
6394,Neurod6,0.5660740748990323,7.208129705757417e-20
2021,Snap25,0.565303231426171,8.289983831442667e-20
12724,Mmd,0.5644441851464995,9.68383942351747e-20
11048,Scn3b,0.5631710349482889,1.2181963087209605e-19
11277,Nptn,0.5601818792251418,2.0799357030258543e-19
15610,Kalrn,0.5582864527624259,2.911820845355597e-19
15074,Mpped1,0.5552356040537588,4.981978133032561e-19
5650,Dynll1,0.5536770510155682,6.540854692887838e-19
12439,Camta2,0.5510542607395983,1.030889910990986e-18
8054,Crym,0.5488251349801352,1.51278548489023e-18
14675,Basp1,0.5459624627768481,2.4653108979507627e-18
12199,Gria1,0.545738482794164,2.5608316010304445e-18
3295,Gria2,0.5455911353756272,2.6256396472618664e-18
5091,Actr3b,0.5451298751885615,2.8390866293094616e-18
13199,Baiap2,0.5448978222101353,2.9528092977930346e-18
8123,Aldoa,0.5435245550826475,3.723113149745809e-18
2438,Kcnq2,0.5423283734711913,4.552198260558406e-18
15162,Nell2,0.5419558432387609,4.845549480041133e-18
16603,Dlgap1,0.5418336065481659,4.9457833846721486e-18
17,3110035E14Rik,0.5410083742700552,5.677692007276855e-18
1684,Dgkz,0.5379808467986322,9.389876704767796e-18
4906,Kcnab2,0.5373156810035619,1.0480200420412846e-17
7236,Atp1a3,0.5372697372802778,1.0559930617576016e-17
17651,Psd,0.5370110716797878,1.1020033079221055e-17
16578,Pja2,0.53421361701353,1.7437512642340398e-17
11071,Thy1,0.533849098388814,1.850625629906594e-17
1694,Chst1,0.5338102229784405,1.8623954348596752e-17
12354,Vamp2,0.5333314028325358,2.0135155860987594e-17
3217,Pfn2,0.5316098962147344,2.6627652184668758e-17
16290,Prrt1,0.5308112636943276,3.029756632966609e-17
11500,Rasgrf1,0.5307712476210781,3.0493938953865795e-17
10914,Icam5,0.5261132388849836,6.431265722038535e-17
7049,Shisa7,0.5255813327900308,6.998231237494761e-17
14997,Nptxr,0.5237707972885849,9.319689312646247e-17
4173,Frrs1l,0.5233380883821172,9.977595307942067e-17
14775,Mal2,0.5222163732156202,1.1902150666524774e-16
6813,Eno2,0.5197916285148414,1.7387752430297784e-16
1621,Nckap1,0.5176086093084413,2.439677332076984e-16
5570,Galnt9,0.5167389456457766,2.7902047155720853e-16
4551,Ncdn,0.5164226612048979,2.9295374480712565e-16
12552,Sez6,0.5162401092051603,3.0130326640589685e-16
16688,Prkce,0.5162230966511305,3.0209314260433107e-16
122,2010300C02Rik,0.5149478475051565,3.674440208650873e-16
7998,Mical2,0.5117572459999049,5.976275323835673e-16
5222,Wfs1,0.5095361224811615,8.359602185357325e-16
7797,Gm2115,0.506991189342466,1.2243119095260889e-15
6746,Rasgef1a,0.5047747490422799,1.7025112453430357e-15
10949,Plppr2,0.5031142066762988,2.176181535293643e-15
12029,Nsg2,0.5028246046853699,2.271057386093983e-15
633,Lrrn2,0.5016801635708877,2.687168799679832e-15
14856,Ly6h,0.499752673018758,3.5623778310891184e-15
9538,Psd3,0.4985611471230133,4.236897443965324e-15
7285,Pld3,0.49645346835885207,5.748367934980428e-15
9601,Rab3a,0.495128402552939,6.956295435052399e-15
4511,Pou3f1,0.4915658303714278,1.1569585140697062e-14
16086,Fbxl16,0.4912030238881002,1.2180758653509442e-14
14125,Tspan13,0.49115075525228075,1.227136896078867e-14
13844,Iqgap2,0.49048714960249185,1.3480620741779396e-14
2475,Syp,0.4900192657984286,1.4402416454546208e-14
1658,C1qtnf4,0.4889221866806881,1.68119664206348e-14
12084,Cyfip2,0.4880598397535247,1.897836675452276e-14
14029,Vsnl1,0.4865938494497312,2.330284010507051e-14
10245,Ppp3cb,0.4861118000599935,2.492473036708146e-14
8811,R3hdm4,0.4857671426544589,2.6151424159016492e-14
11235,Lingo1,0.4856101978778282,2.672936955754825e-14
5313,Uchl1,0.4854875154090291,2.718981359601634e-14
14826,Khdrbs3,0.48485270716359286,2.969888451362261e-14
12544,Git1,0.4843368798179323,3.1902955119178915e-14
13420,Tubb2a,0.4833589800468532,3.6528292420998974e-14
14723,Ywhaz,0.4828116828552113,3.939628608660681e-14
4871,Clstn1,0.48237500340283257,4.184124866732903e-14
13822,Homer1,0.4807958955226012,5.198232039093997e-14
6914,Grin2b,0.48067374754216147,5.285986596465232e-14
7639,Gabra5,0.47974499513510416,6.002222930071032e-14
971,Stum,0.47863468778462115,6.983411682874e-14
6824,Ptms,0.4776149916399727,8.021360809688703e-14
364,Tuba4a,0.4770385191420382,8.67325415593123e-14
6153,Ndufa4,0.47615205925397397,9.777762584028101e-14
736,Arpc5,0.4739570841132432,1.313697691610692e-13
3488,Mllt11,0.4728661256024935,1.5202047395412555e-13
408,Sphkap,0.4724803938185209,1.6005420263041366e-13
7968,Lmo1,0.47165561618867324,1.786463883323142e-13
2878,Bex2,0.46962526924775083,2.3385124714276294e-13
4255,Slc24a2,0.46961735896481116,2.3409589833959157e-13
6529,Egr4,0.4660326850675414,3.749604249444799e-13
9585,Tmem59l,0.4659458468363136,3.7923822583234286e-13
366,Ptprn,0.4642308047056898,4.741640161288849e-13
11969,Actr2,0.46370794504626234,5.074558070651545e-13
5344,Ociad2,0.4636986429522942,5.080682565239563e-13
5655,Cox6a1,0.4635798754712107,5.159515232440955e-13
5967,Prkar1b,0.4629792562097884,5.576803984061501e-13
4558,Dlgap3,0.4620469379169825,6.290494254625187e-13
9634,Unc13a,0.46085575595788036,7.332887227428656e-13
11051,Hspa8,0.45532422697236496,1.4830041368377545e-12
7705,Sv2b,0.4535598118694959,1.8516265212146376e-12
330,Arpc2,0.4522959780282604,2.169062299616251e-12
14109,Gpr22,0.4520035805381513,2.249729757342716e-12
9154,B4galnt1,0.4514124804112551,2.4218256859877514e-12
2978,Cnksr2,0.4498416834296382,2.943841625874511e-12
16332,Atp6v1g2,0.44903617020981584,3.2525034895854666e-12
12518,Doc2b,0.44796143771088826,3.713789269875442e-12
5891,Ywhag,0.4463470868401379,4.528547274029445e-12
17346,Chrm1,0.44625968407542543,4.577304316215163e-12
111,Cox5b,0.4455685748505961,4.981251788481529e-12
6826,Mlf2,0.4435080556526461,6.402563083146562e-12
2542,Syn1,0.4414292067505193,8.233772583243413e-12
2578,Gria3,0.44139018219773607,8.27261012171992e-12
17642,Kcnip2,0.44097058928385824,8.701616001190867e-12
12063,Gabra1,0.44009618742760737,9.666315239880062e-12
6474,Lrrtm1,0.4393591940548126,1.0559550783423314e-11
8302,Hras,0.43909255309771666,1.0902096945459859e-11
6935,Lmo3,0.4379076361653881,1.2559623179851924e-11
4247,Sh3gl2,0.4353944137487083,1.6926332601547745e-11
9605,Mast3,0.43491083596534924,1.792153110272694e-11
14660,Sub1,0.43478156307043764,1.8197068194958046e-11
3893,St6galnac5,0.4341576587970561,1.958584689946041e-11
8904,Celf5,0.4334529816816967,2.127845906918728e-11
1221,Npdc1,0.43203957449021024,2.5112685264424655e-11
11659,Bsn,0.43070411505967215,2.934761774099631e-11
482,Cops9,0.42921544314515403,3.488744528006311e-11
15142,Cpne8,0.4286613692823614,3.719856041387679e-11
16381,Gabbr1,0.42858980782331113,3.750768976662867e-11
4676,Sh3bgrl3,0.42701713158596055,4.4967183366901735e-11
9156,Arhgef25,0.4265038531864228,4.7699960198803745e-11
14714,Cox6c,0.4262220646934578,4.9268152974724134e-11
6418,Snca,0.42598977243788466,5.059844896112326e-11
16538,Ptprs,0.42590559744075346,5.1089064058144746e-11
13584,Rgs14,0.42512672824547304,5.585344133577612e-11
829,Gpr161,0.4250304067491857,5.647181561831065e-11
16415,Hsp90ab1,0.4244270326275621,6.049945696840944e-11
5912,Vgf,0.4226128473605572,7.436283924176432e-11
1998,Prnp,0.4224231743316177,7.597895619033903e-11
11108,Atp5l,0.4217687350615549,8.182120926571656e-11
6835,Gapdh,0.42144742896510273,8.484693603619086e-11
301,Map2,0.42100434743078324,8.91981998198976e-11
5619,Svop,0.42000007646643484,9.987772762873655e-11
3669,Sort1,0.41931662107526535,1.0784487794750785e-10
6664,Itpr1,0.41920547646771616,1.091975169387442e-10
13473,Phactr1,0.41868690549299215,1.157293049464392e-10
15206,Ddn,0.4178463343859811,1.2713033670857797e-10
17682,Sorcs3,0.4170617093861912,1.387514010415774e-10
4222,Brinp1,0.4170219542742643,1.3936686739361181e-10
17243,Klc2,0.4160006351981278,1.5611842903310885e-10
10510,Slc22a17,0.4156200220250906,1.6284796604364276e-10
576,Actr3,0.4154171865507512,1.665483586369836e-10
5224,Crmp1,0.414334434964887,1.8772374466994228e-10
12840,Thra,0.41180391784561515,2.479011242803756e-10
2445,Stmn3,0.4112207988968524,2.6421832951833056e-10
7889,Rab6a,0.4110023172307364,2.705963699811593e-10
5075,Agap3,0.41080941982268493,2.763514417355459e-10
10520,Jph4,0.4106247687656632,2.8197157157086657e-10
5674,Pebp1,0.41052408148989206,2.8508267066712345e-10
197,Gls,0.410307160746454,2.918987379626974e-10
8604,Man1a,0.4100262668042272,3.0096010813103745e-10
8609,Serinc1,0.40984752990849227,3.0686735414270365e-10
17356,Gng3,0.4095740128582628,3.161253082079484e-10
7880,Pgm2l1,0.4083336778863119,3.616182561454761e-10
9860,Ndrg4,0.4079538139486702,3.767777914185378e-10
1310,Sptan1,0.4059736122552123,4.663321312758811e-10
7276,Numbl,0.40594698956805314,4.676665395930372e-10
158,Pantr1,0.40589345711457464,4.703609563230567e-10
7997,Dkk3,0.4053065068371921,5.009080737409201e-10
13182,Rbfox3,0.4044979105132497,5.461564823372983e-10
2201,Ndrg3,0.40339009507932616,6.14626979922537e-10
5928,Actl6b,0.40306652617768984,6.361479274593854e-10
8425,Hivep2,0.40243618542981424,6.801883284718868e-10
5232,Nsg1,0.4014123895539615,7.580830832954581e-10
12686,Ppm1e,0.4009048210186133,7.998383311379606e-10
6543,Add2,0.3996152747504735,9.16190157602577e-10
3249,Kcnab1,0.3990879348886715,9.683519447699445e-10
3832,Tspan5,0.3987942386177685,9.986378294148442e-10
15262,Scn8a,0.3976915768091752,1.1207434835279805e-09
8994,Cdk17,0.39769003198866404,1.120924291127924e-09
5743,Arpc3,0.3972326747292343,1.1757143237532924e-09
4499,Hpcal4,0.3970718933975362,1.1955844463027106e-09
5350,Rasl11b,0.3961558774799834,1.315144038957823e-09
14841,Arc,0.3961180639924319,1.3203203867883999e-09
6888,Gabarapl1,0.39604848252815306,1.3298970805639798e-09
6816,Tpi1,0.3947717816129898,1.5180247659496308e-09
7237,Grik5,0.39469051092543384,1.53083490147657e-09
3209,Nbea,0.39440832077517995,1.5761318955227739e-09
9661,Large1,0.3935150335283637,1.728236675484923e-09
5183,Nat8l,0.39234528601672036,1.9490211707946625e-09
13570,Gprin1,0.3913990381189354,2.1473590247833043e-09
12991,Nsf,0.3912190734694838,2.1872289509678375e-09
17481,Plpp6,0.3911852921100604,2.194792378738517e-09
6596,Plxna1,0.39015919401191407,2.4369717624376033e-09
9446,Zdhhc2,0.38995977286436556,2.4869493307324106e-09
12247,Rasd1,0.38887498856330693,2.776658662600097e-09
3539,Ankrd34a,0.3880316059227943,3.024186902098463e-09
7665,Fam189a1,0.38797057468630486,3.042904315505649e-09
17669,Usmg5,0.3878699391718969,3.0740126668700196e-09
2725,Pls3,0.3872211592896114,3.2820701229139118e-09
11191,AI593442,0.38712635984585797,3.3135890097678367e-09
7579,Car11,0.3861482389442846,3.656357200045619e-09
11204,Elmod1,0.3861255755094467,3.664692067201935e-09
9543,Lpl,0.3860694292716765,3.685419993469591e-09
1366,1110008P14Rik,0.3855298050223355,3.890502752349149e-09
13720,Ube2ql1,0.3844549784304005,4.3323517904188075e-09
14512,Bcl11b,0.3844208053429747,4.347166793562864e-09
7640,Gabrb3,0.3837370675192335,4.6540850165203756e-09
15076,Sult4a1,0.3816516652068304,5.7250623074174675e-09
5750,Camkk2,0.38157347071367737,5.769531874473467e-09
13920,Rgs7bp,0.3808710970513078,6.184221040838959e-09
8274,Caly,0.3808271688613425,6.21109171845143e-09
14031,Fam49a,0.3805815777292625,6.363408888670574e-09
8984,Anks1b,0.3794554554942423,7.1092702752333814e-09
14151,Foxg1,0.3780612315048395,8.150180698767898e-09
1518,Kcnh7,0.376668996564386,9.33569488806654e-09
17333,Cox8a,0.376016589171591,9.946935458292019e-09
14573,Tmem179,0.37561217393493856,1.0345035556722206e-08
12230,Arf1,0.37491743140260975,1.1065094391839008e-08
5599,Sez6l,0.37451818603479325,1.1500523532264542e-08
7802,Grm5,0.37448798188716304,1.1534129498269246e-08
14562,Klc1,0.37329841321924856,1.2935704054899813e-08
6469,Tmsb10,0.3723877433299903,1.4118312134940145e-08
5745,Atp2a2,0.37188656308765605,1.4812956632487197e-08
12951,Rundc3a,0.3716121883736615,1.5207090207961684e-08
12167,Sowaha,0.36905051633900726,1.9409324154355406e-08
12219,Rnf187,0.3683974134664647,2.064803903611944e-08
12754,Ppp1r9b,0.3680183752917347,2.140153458632687e-08
13207,Actg1,0.36644139670081527,2.4830865921774958e-08
2089,Abhd12,0.3660246293727685,2.5822159329355314e-08
1866,Map1a,0.3658544567637314,2.6237790196884185e-08
13571,Sncb,0.3656719378707451,2.669073912812376e-08
9941,Smpd3,0.36505849048267036,2.8268984449564594e-08
1667,Madd,0.3648865375322516,2.8727269878526872e-08
6700,Brk1,0.36413380461493655,3.081907224747628e-08
6357,Cycs,0.3637543763194967,3.192835745931769e-08
11999,Bcl11a,0.3636498812510017,3.224054847272588e-08
15750,Cadm2,0.362697011205798,3.522633318271991e-08
17444,Gda,0.36246411646516885,3.599562849082283e-08
13498,Cap2,0.36207511067506715,3.7316804102698887e-08
14045,Rock2,0.3616544395480179,3.8798055720886655e-08
2009,Chgb,0.36134681396503865,3.9916926885811554e-08
2751,Arhgef9,0.36102972037360315,4.1102726266749865e-08
3282,Serpini1,0.36102359118705635,4.1125977712180474e-08
14139,Dock4,0.36076155666478427,4.2131952181779366e-08
7288,Ttc9b,0.3601585701825819,4.453765758640841e-08
8279,Sprn,0.3597201726313149,4.636916735104658e-08
11449,Cox7a2,0.35899584691680914,4.955511818772783e-08
15837,Ttc3,0.35814185960776207,5.358233994692268e-08
17131,St8sia5,0.3573922388988068,5.7375409776760696e-08
15964,Ppp2r1a,0.3572908097050351,5.790807182350397e-08
13546,Diras2,0.35718136559522295,5.848816115201325e-08
507,Stk25,0.35692059825899114,5.989293213699275e-08
17601,Got1,0.356080979717006,6.46399748059466e-08
6188,Ndufa5,0.3559768720159043,6.5253210118392e-08
5870,Stx1a,0.3556585974832026,6.716287653970601e-08
6716,Syn2,0.3551306981312372,7.044940273753616e-08
17383,Dagla,0.35446085065129995,7.484279323901767e-08
3750,Ndst4,0.35348569082965375,8.171261658474282e-08
14954,Elfn2,0.35311194284177255,8.450309381229315e-08
14568,2010107E04Rik,0.35292867364851044,8.59046781125737e-08
16140,Pacsin1,0.3528557514272666,8.64685571358158e-08
2996,Reps2,0.3521464940673306,9.214184468412156e-08
10817,Dock9,0.351862411009904,9.451313823783272e-08
5646,Cabp1,0.35154791032944055,9.720674321556677e-08
1809,Inafm2,0.35151343613751224,9.750645266326651e-08
5708,Rasal1,0.3511538359357368,1.0068614425097904e-07
15075,Efcab6,0.3507001344781976,1.0484028967732595e-07
3672,Celsr2,0.3504735849316929,1.0697578352673919e-07
7148,Pnmal1,0.35036961134738603,1.0796979294310287e-07
5022,Sema3e,0.3499325332098303,1.1224628965184188e-07
16129,Uqcc2,0.34972646935981233,1.143184921861351e-07
9546,Lzts1,0.349007252233204,1.218429427030762e-07
13159,Sec14l1,0.34895906229506035,1.223637623886719e-07
381,Epha4,0.3488388016854478,1.2367284205681797e-07
3762,Ap1ar,0.3488058886684962,1.2403345053901881e-07
16607,Myl12b,0.34865772570617376,1.2566933165956954e-07
7036,Syt5,0.3484352619915991,1.281645588768619e-07
8079,Cacng3,0.3483703533609587,1.2890151981274246e-07
12632,Ap2b1,0.34793247622615764,1.3398051862509026e-07
10115,Tcf25,0.3479278159067738,1.3403559450242993e-07
10234,Gng2,0.34785348369436186,1.3491700139910847e-07
8435,Abracl,0.3475338343036497,1.3877115357287545e-07
11059,Sorl1,0.3472171035483141,1.4269429683024066e-07
443,Ngef,0.34699694849208973,1.454837381816763e-07
7354,Sipa1l3,0.3463983136304424,1.5333597907072928e-07
13254,Rab40b,0.34471405122740406,1.776725892522498e-07
7555,Lin7b,0.34457937629019847,1.7977107792864763e-07
3315,Trim2,0.34404356508024525,1.8835809378567003e-07
80,Adgrb3,0.34384445928585217,1.9164824270173363e-07
1525,Scn2a,0.342736982040195,2.1097972340822912e-07
12531,Abr,0.3424362225781764,2.1654448219227691e-07
8515,Tspyl1,0.3423649743221744,2.1788322943893994e-07
6185,Cadps2,0.3419948242792366,2.2496709822396125e-07
6101,Hsph1,0.34121623672926654,2.4059576794641365e-07
12057,Tenm2,0.34117283611957566,2.414969237582119e-07
6772,Atp6v1e1,0.34087259094743627,2.478203861459344e-07
11287,Parp6,0.3407995056107786,2.4938350376292266e-07
3502,Ensa,0.3402647354236403,2.611121624826576e-07
12997,Myl4,0.34019524863606665,2.6267444862094355e-07
14816,Kcnq3,0.3391761935104549,2.8664180652552896e-07
5685,Tesc,0.33847871812031644,3.042399794359254e-07
13590,Dbn1,0.3381195025678845,3.1370299263112537e-07
16938,Pcdh1,0.3381133963607446,3.138662655081024e-07
8693,Zfp365,0.3376349140186223,3.2691677889134207e-07
6624,Prickle2,0.33709825452913744,3.421728523268196e-07
2073,Napb,0.33682648204259086,3.5015676691439634e-07
16864,Matr3,0.33597507705860724,3.763409959523775e-07
3890,Ak5,0.33583651381001794,3.807761182569556e-07
13575,Unc5a,0.3346610243025404,4.2046984060428893e-07
5598,Asphd2,0.33377226969577056,4.5308189896644853e-07
3848,Lmo4,0.33367842798792313,4.5666342938590886e-07
8722,Bcr,0.3333340596365789,4.700402391768959e-07
13316,Amph,0.3331294900344771,4.781634735423566e-07
6708,Atp2b2,0.3328768645096926,4.883805866886723e-07
2214,Vstm2l,0.33252796815071506,5.028355527893049e-07
5534,Atp5k,0.33246846963720317,5.053411477016638e-07
5109,Dnajb6,0.3321564305851613,5.186786946886889e-07
1121,Celf2,0.3321143461617817,5.20503107835728e-07
12014,Rtn4,0.33198931814900295,5.259595462361117e-07
7610,Ldha,0.33190376417848144,5.297247845125448e-07
6654,Chl1,0.3315334606766618,5.463215523652555e-07
15796,Synj1,0.3310368788866926,5.693609573304198e-07
1617,Pde1a,0.33093351058006154,5.742724201908921e-07
12825,Neurod2,0.3306923768819085,5.858878474865703e-07
5282,Stim2,0.33055411509991345,5.926490179993431e-07
13662,Habp4,0.3295093660907595,6.462078847951683e-07
8490,9330159F19Rik,0.32876689973511014,6.870534926567312e-07
15133,Mapk8ip2,0.3286456565930192,6.939538456650082e-07
12233,Snap47,0.32841290978614235,7.073865106832058e-07
11253,Cox5a,0.32828743960730555,7.147306887668966e-07
9159,Pip4k2c,0.32802224473974334,7.304941778361974e-07
8263,Pwwp2b,0.3274336528542524,7.666776166647107e-07
9185,Atp5b,0.32709463339374273,7.882902885059308e-07
6633,Fam19a1,0.3267337753563113,8.11935008706534e-07
4399,Faah,0.32645750840060195,8.304938811079392e-07
17260,Cfl1,0.326383921875009,8.355052353673557e-07
3041,Stmn2,0.3263016241818917,8.411440881491853e-07
10695,Dmtn,0.3261800160281652,8.4954307238476e-07
7496,Shank1,0.325990042862005,8.62824455058207e-07
8316,Slc25a22,0.3252393024229418,9.172787902949606e-07
17097,Tcf4,0.3248820598994105,9.443304430535704e-07
981,Lefty1,0.3247611563442839,9.536571905259887e-07
4963,Acap3,0.32278068304212826,1.1195593898571533e-06
12330,Gas7,0.3227144550577508,1.125558040161839e-06
6176,Lsm8,0.3220038250633,1.19188696540652e-06
6828,Pianp,0.32172636284941347,1.218785089764659e-06
2259,Ywhab,0.32148751344555065,1.242403514636411e-06
17028,Camk2a,0.3213183936242539,1.2593904949058067e-06
11732,Arpp21,0.3210071479426731,1.2912346098552501e-06
