Unnamed: 0,gene,score,p-value
10440,Prkcd,0.870183493,3.16E-98
16188,Pcp4,0.861156791,2.53E-86
12085,Cck,0.841079083,1.34E-86
12108,Ramp3,0.827660178,1.01E-117
1831,Rasgrp1,0.824893684,1.57E-79
7230,Tnnt1,0.806188423,5.07E-111
7077,Prkcg,0.801355686,7.93E-72
4294,Ptpn3,0.801135152,4.61E-105
9129,Atp2b1,0.800775596,1.19E-71
1232,Nsmf,0.799067436,3.92E-71
3993,Pdp1,0.789055093,3.34E-68
5477,Gabra4,0.781174705,1.42E-96
11662,Rora,0.773178573,2.02E-93
3794,Ntng1,0.769736277,4.20E-92
5022,Gabrd,0.768797455,1.49E-91
574,Ptpn4,0.765715156,1.36E-90
18100,Tcf7l2,0.76559592,1.51E-90
10092,Ndrg4,0.756883626,5.99E-55
3849,Synpo2,0.745322033,2.26E-83
6542,Lrrtm1,0.742615709,1.93E-56
5881,Atp2a2,0.741075051,1.41E-51
8859,Adarb1,0.739259409,1.09E-55
5432,Uchl1,0.732689862,6.37E-55
10081,Cx3cl1,0.726289721,3.13E-77
15067,Ywhaz,0.721883318,1.28E-52
888,Rgs4,0.71547583,5.73E-74
523,Bok,0.712361457,4.68E-73
4689,Dlgap3,0.709766634,2.63E-72
7714,Slc17a7,0.709659762,3.85E-50
11036,Amotl1,0.703673432,1.99E-70
