Unnamed: 0,gene,score,p-value
17542,Mbp,-0.841668628,5.28E-93
17824,Fth1,-0.823912083,1.05E-99
12089,Mobp,-0.802796836,2.38E-78
2974,Plp1,-0.792800272,4.19E-75
1995,Mal,-0.744689315,1.14E-61
13239,Cnp,-0.735422864,6.35E-69
11865,Trf,-0.72324153,1.29E-56
16004,Apod,-0.711541598,1.14E-62
3204,Cldn11,-0.706763281,4.81E-53
7596,Mag,-0.689443384,1.50E-49
18013,Scd2,-0.688814823,1.99E-49
1279,Ptgds,-0.673061367,7.82E-54
8079,Plekhb1,-0.671647849,3.31E-46
444,Ptma,-0.667727136,1.68E-45
579,Dbi,-0.665699899,3.85E-45
3107,Tmsb4x,-0.663530722,9.30E-45
11500,Cryab,-0.658938016,6.46E-51
3157,Car2,-0.652397458,1.28E-49
16343,Qk,-0.648778327,6.49E-49
16771,Mog,-0.648128826,3.95E-42
8556,Bc1,-0.642655077,9.10E-46
3694,Tspan2,-0.641808409,1.39E-47
3101,Gpm6b,-0.631624633,1.77E-39
7570,Aplp1,-0.621766474,5.72E-38
690,Csrp1,-0.620707881,1.43E-10
8544,Cd81,-0.615115098,5.57E-37
17006,Tubb4a,-0.61033262,5.52E-42
10984,Tpt1,-0.604244063,2.05E-35
1477,Gsn,-0.60154504,1.57E-40
13277,Gfap,-0.600742225,6.35E-35
