Unnamed: 0,gene,score,p-value
11205,Nrgn,-0.830854323,1.71E-85
3115,Tmsb4x,-0.777018269,4.38E-65
7661,Slc17a7,-0.761390741,1.05E-63
1901,Itpka,-0.760795047,6.52E-61
12144,Cck,-0.751194226,1.35E-58
6175,Actb,-0.747329522,1.08E-57
13097,Gfap,-0.731203794,9.07E-61
15628,Ddn,-0.725794073,5.98E-53
1342,Olfm1,-0.719858605,1.01E-51
10065,Mt1,-0.699895705,1.94E-39
17824,Fth1,-0.699360528,1.04E-47
7640,Ftl1,-0.688760367,2.21E-51
17598,Mbp,-0.685799473,3.06E-45
10950,Ptk2b,-0.678072773,6.82E-44
2982,Plp1,-0.67207717,7.10E-43
9527,Ctxn1,-0.665975019,7.30E-42
3488,S100a6,-0.662933233,2.02E-46
4712,Hpca,-0.659538975,8.03E-41
11910,Trf,-0.657706189,1.57E-40
3211,Cldn11,-0.656622935,2.33E-40
18,3110035E14Rik,-0.64352292,2.45E-38
17904,Psd,-0.641436939,1.20E-39
11224,Icam5,-0.634954165,4.54E-37
1650,Chn1,-0.623536667,1.94E-35
12131,Mobp,-0.623504715,1.96E-35
15259,Arc,-0.62147497,3.75E-35
1168,Vim,-0.615545759,8.53E-36
2005,Mal,-0.608985127,1.86E-33
1395,1110008P14Rik,-0.602372118,5.71E-34
129,2010300C02Rik,-0.599967203,2.80E-32
