Unnamed: 0,gene,score,p-value
17516,Fth1,-0.8792463191444797,4.584295110125551e-205
17295,Mbp,-0.8683377829481052,5.0338628379436547e-194
11886,Mobp,-0.8593287994733934,1.2575721146348247e-185
2927,Plp1,-0.8375523088917192,1.5454983649240096e-167
11265,Cryab,-0.8050733857884387,5.025513672290688e-145
11664,Trf,-0.8001859040308116,5.2567498205130816e-142
3150,Cldn11,-0.7952958660236686,4.559353416351984e-139
12965,Cnp,-0.7910618446410138,1.3769037863125695e-136
7953,Plekhb1,-0.7869352991823206,3.170601874784287e-134
9906,Mt1,-0.7830056579282425,5.037979367514991e-132
15702,Apod,-0.775233980739958,8.37298608739408e-128
1966,Mal,-0.7699448403069619,5.006748428900283e-125
13052,Gfap,-0.7547765438921765,1.843604795657377e-117
7474,Mag,-0.7525845210310992,2.0575800936700262e-116
11112,Nrgn,-0.7250133902846926,2.6188083897093417e-84
11876,Cck,-0.7209469562476097,6.018482335628634e-83
7603,Slc17a7,-0.7192100245601675,2.2574761546091427e-82
3098,Car2,-0.7173962496704523,5.6357081875558125e-101
5309,Qdpr,-0.7129106176613483,3.5499903604895593e-99
1255,Ptgds,-0.7097436881328424,6.30690488556103e-98
10812,Tpt1,-0.7046130498940925,6.149550934407678e-96
3058,Tmsb4x,-0.7034352525468834,1.735396486948756e-95
2368,Bcas1,-0.6925691922383648,1.9653711786589195e-91
445,Ptma,-0.687265495779419,1.6119981769152446e-89
14900,Enpp2,-0.6815877890783685,1.6263121253026906e-87
1451,Gsn,-0.6806642089559157,3.4108674413427213e-87
16036,Qk,-0.6746645724314189,3.924968508508834e-85
12776,Sept4,-0.6737429447923661,8.055859816837151e-85
15283,Ddn,-0.6723067227414429,2.3507224293373374e-68
16515,Mog,-0.6718805224947387,3.4174951358538275e-84
