CSV.file,ZTTol_A,A1,ZTTol_all,all1,density
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Adcy8.csv,0,0,4.044683626875408,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Cacna1c.csv,0,0,4.266797129810828,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Grm7.csv,0,0,4.146118721461187,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Kcnq3.csv,0,0,4.28310502283105,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Mylk.csv,0,0,3.8829093281148075,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Scn10a.csv,0,0,3.2742987606001304,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Scn4a.csv,0,0,4.0,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Calm2_Trpc5.csv,0,0,3.2697325505544685,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Ccl27a_Ackr2.csv,0,0,3.20808871493803,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Ccl27a_Ccr10.csv,0,0,3.1973255055446836,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Gng3_Kcnj6.csv,0,0,3.3604044357469016,3066,0.0
UP，IVH_3d_3_150，I _V-VIa-VIb，Hspa8_Aqp2.csv,0,0,3.147423352902805,3066,0.0
