,gene,score,p-value
2092,Snap25,0.7800692662002038,3.6179953494097076e-50
858,Atp1b1,0.7719032382827609,1.5943246359363247e-48
14417,Vsnl1,0.7697494547921954,4.215444050159353e-48
17598,Mbp,0.7436612141464268,2.5063001826638428e-43
12405,Gabra1,0.7417111963597519,5.402362505091322e-43
7631,Scn1b,0.7393311563094697,1.3665810515740582e-42
15359,Pvalb,0.7291325870681966,6.516941087626637e-41
4712,Hpca,0.7244695883766947,3.5993975881805526e-40
5695,Cplx1,0.7225789127467582,7.125714535007437e-40
17824,Fth1,0.7215358109771104,1.0361289142408317e-39
2410,Tshz2,0.7114218653083976,3.5830592872727035e-38
12714,Kcnab3,0.7065397475228684,1.8773775208854415e-37
12131,Mobp,0.6973825534008927,3.833284825145199e-36
7021,Vamp1,0.6960690730099625,5.8536521703744536e-36
13179,Stac2,0.6916740609321658,2.373926639447195e-35
12315,Mdh1,0.6883961534404556,6.636186897171976e-35
13046,Sept4,0.6862449699122708,1.2933231200359996e-34
6586,Nap1l5,0.6843916196059054,2.287540765100026e-34
6318,Ndufa4,0.6820171583277662,4.720512305015503e-34
5907,Atp2a2,0.678169333354326,1.5050499983850886e-33
1424,1110008P14Rik,0.668482594022752,2.581763481238732e-32
4391,Slc24a2,0.6660903417725005,5.124329631093226e-32
15124,Cox6c,0.6643261488695895,8.46126649416086e-32
7867,Snrpn,0.6616697725115149,1.7889471083316162e-31
14524,Etv1,0.6592826117746824,3.483300045889706e-31
17283,Nrep,0.6589337328374192,3.837640377340276e-31
3385,Serpini1,0.6570835443843123,6.401120435867923e-31
8988,Chchd10,0.6543086163539467,1.3695670158826038e-30
12894,Coro6,0.6501248561841177,4.2472298015110654e-30
4649,Pou3f1,0.6466807780260706,1.0640498219305297e-29
15474,Ndufa6,0.6454970877182614,1.454993412083632e-29
6643,Tmsb10,0.6454528673394043,1.4720627460601598e-29
17145,Calm2,0.6417759572448226,3.8565473059477334e-29
2906,Cox7b,0.638763580746106,8.407131787259189e-29
9448,Atp5b,0.6346832038254632,2.3830385966523353e-28
14964,Ckb,0.6343790654337048,2.5738705251901186e-28
18127,Usmg5,0.633339193417953,3.347283940108851e-28
4540,Uqcrh,0.6253524840898703,2.4366437637282627e-27
16939,Satb1,0.6216689645905245,5.9711707903123896e-27
4713,Fndc5,0.6119137124747354,6.059516643915349e-26
15266,Lynx1,0.6113458619060486,6.91746052759639e-26
2982,Plp1,0.6103011124869016,8.819632226528015e-26
5415,Kcnip4,0.6039835159311896,3.759964263047526e-25
1845,Scg5,0.6021162693525356,5.7363904056101435e-25
4185,Ccl27a,0.5939210570773324,3.546200604431997e-24
688,Syt2,0.5910744900010745,6.5964209018644e-24
8221,Dkk3,0.5799199357179922,7.084864834608132e-23
7149,Ldhb,0.5784958334798355,9.530942324604495e-23
5406,Qdpr,0.577427527886268,1.1894549650075892e-22
13919,Diras2,0.5732935234100186,2.7820488705843543e-22
7848,Slc17a6,0.5697239490231206,5.739045489000548e-22
14945,Hsp90aa1,0.5635435119070124,1.9696709215886794e-21
17577,Atp5a1,0.5626120741183502,2.366672629204955e-21
11786,Cox7a2,0.5541489399106923,1.2227616783313622e-20
8761,Tspyl4,0.5534701315737242,1.3921036476375833e-20
12716,Chd3os,0.5520646900069492,1.819251713735244e-20
13082,Hlf,0.5500385745260372,2.6698036124697485e-20
9051,Hcn2,0.5478621515165689,4.019480856211508e-20
16207,App,0.5466993073379979,4.995511441361732e-20
11354,Nrgn,0.5436544073696424,8.791491954530175e-20
18060,Got1,0.535944619443841,3.5860426361638996e-19
11532,Elmod1,0.5357531314895705,3.711774422834367e-19
3352,Kcnab1,0.5340400381085674,5.047191617964243e-19
782,Ier5,0.5328323168271898,6.261662807583236e-19
9879,Rab3a,0.5321006645335958,7.132403579653386e-19
3799,Ntng1,0.5318256461349586,7.489545923893173e-19
14055,Uqcrb,0.5310193273353407,8.640867627240655e-19
10688,Ghitm,0.5289440143891425,1.2463385371404024e-18
13175,Plxdc1,0.5244267830642799,2.742497409451848e-18
1932,Ckmt1,0.524314945109878,2.7961566858517064e-18
12028,Uqcrc1,0.5223096465607423,3.9529858593533625e-18
10506,Fezf2,0.521986329258004,4.17903232578076e-18
12232,Uqcr10,0.5214830702155339,4.556338230002434e-18
5334,Nat8l,0.5201147249674674,5.759338080864755e-18
7619,Mag,0.5176310841323635,8.788220749673155e-18
18148,Dusp5,0.5155372375094907,1.2515985392633615e-17
10965,Nefm,0.5153796168861993,1.2852343637856534e-17
14730,Ttc9,0.514707704928871,1.4388377874796497e-17
6766,Podxl2,0.514600397144217,1.4649812976969306e-17
5563,Parm1,0.5143161393504373,1.5365070384071283e-17
6529,Cycs,0.5135174571920817,1.7563019081095696e-17
10359,Cox4i1,0.5132528743715059,1.8356967032670074e-17
13753,Nrsn1,0.5118550374750421,2.3172386330632904e-17
17022,Pja2,0.5102418733043689,3.027957247928723e-17
4119,Fut9,0.5096339834168936,3.347883319075047e-17
5001,Gm13205,0.50806029474017,4.338014512333211e-17
8551,Cend1,0.5070748540508387,5.0986626265948427e-17
15693,Nr4a1,0.5059626788159651,6.11467865718845e-17
2520,Stmn3,0.5047217275943583,7.48324498171162e-17
12234,Cabp7,0.5034166989476325,9.245957573651139e-17
6219,Atp5j2,0.5033745297282093,9.309228246458123e-17
12238,Nefh,0.5018557949278354,1.18935363604711e-16
18078,Ndufb8,0.5013659857248338,1.2868050156683924e-16
14974,2010107E04Rik,0.49975123940789695,1.6667780620905206e-16
2414,Bcas1,0.49828327378251336,2.106275659694587e-16
13944,Sncb,0.4982102159556185,2.1308887579213755e-16
6953,Atp6v1e1,0.495226630398607,3.416562576414338e-16
6353,Ndufa5,0.49481876841945227,3.64302562063629e-16
10994,Lgi3,0.4923742722657416,5.342451213040575e-16
5405,Ldb2,0.48803337335997143,1.0465607412635825e-15
8069,Pak1,0.48602420881695374,1.4240733373565011e-15
3953,Rap1gds1,0.48567729069276494,1.5015546611274953e-15
5814,Cox6a1,0.4852580781266482,1.6007003335118465e-15
2005,Mal,0.4818134694843202,2.6980570366470955e-15
16441,Flywch1,0.4816498533489121,2.765399754985238e-15
15960,Eif4a2,0.4814253542389784,2.860483931022015e-15
8853,Serinc1,0.47981523153194333,3.6426930473721705e-15
6568,Neurod6,0.47753491764823697,5.118748143732392e-15
15231,Efr3a,0.4768821462264889,5.639686330833927e-15
5630,Cds1,0.4763493520435262,6.1030032853287934e-15
9844,Hapln4,0.47590188598656463,6.52071007305046e-15
17506,Nars,0.4755133953157793,6.905940272424316e-15
9295,Nts,0.47387681354391703,8.787999582811955e-15
3931,Ppp3ca,0.47363585320939994,9.104445427788928e-15
6445,Clec2l,0.4727500832385295,1.0366353692295694e-14
5097,Tmem88b,0.47244810321587816,1.0834467974800206e-14
3283,Ndufc1,0.4714820123915308,1.247516753572302e-14
11538,Idh3a,0.4706964416044997,1.3986221538366338e-14
2887,Nap1l2,0.4704597321781594,1.447562500086145e-14
13349,Nsf,0.46988166265729703,1.5742238080965997e-14
9624,Zmat4,0.4697145039366979,1.6128270744127922e-14
6457,Ndufb2,0.4696366738144111,1.6311152388185217e-14
15425,Syngr1,0.4694427187635034,1.67757643644108e-14
16566,Uqcc2,0.4689081055756121,1.8124407143085063e-14
3628,Sv2a,0.4688096812271632,1.8383995998524356e-14
8114,Plekhb1,0.4665639937137309,2.5399163013546468e-14
5643,Sparcl1,0.46510725385607593,3.1284797018255745e-14
11288,Sept7,0.46392655301228375,3.701527860432867e-14
5671,Ephx4,0.46151356246100844,5.209505439952863e-14
10856,Sdr39u1,0.460710905496818,5.833204279197475e-14
9073,Gpx4,0.4602888435709011,6.18984244409764e-14
11581,Cox5a,0.4592419394536057,7.168922849438841e-14
1650,Chn1,0.4588551738687106,7.567623278547875e-14
3224,Ndufb5,0.45853939415211076,7.909134803626655e-14
14176,Cox7c,0.45745544668249555,9.199839279078206e-14
348,Pnkd,0.45716520741767985,9.578990722902856e-14
3733,Atp5f1,0.4570156011636817,9.780344608125916e-14
11617,Pkm,0.455099152631764,1.2755434574121375e-13
654,Cntn2,0.4549797788066939,1.296748993419914e-13
3072,Map7d2,0.4546391351280977,1.35917119613969e-13
8202,Nrip3,0.4534429349783431,1.6024891209333814e-13
11838,Rasgrf1,0.4525957811067282,1.8000222832876054e-13
10151,Ndrg4,0.4501169086881614,2.5246262705145004e-13
15802,Tekt5,0.4497665417184127,2.6476897605363444e-13
6996,Eno2,0.44862752026730107,3.0895895810810987e-13
10412,Tubb3,0.44789551304179637,3.410746385828995e-13
5049,Kcnab2,0.44789239273553605,3.412182755357489e-13
12403,Ccng1,0.44764068453475186,3.5300166057447723e-13
15229,Asap1,0.4473465691152126,3.6727381955234974e-13
13136,Atp5g1,0.4471071692275236,3.7930515008980615e-13
8348,Ypel3,0.4470701527371235,3.8119946257665004e-13
3370,1110032F04Rik,0.44706565664008513,3.8143017730257787e-13
4357,Brinp1,0.4462011217634898,4.28420546521742e-13
10411,Tcf25,0.4460977244519677,4.344053221452694e-13
4776,Atpif1,0.4460725712879294,4.358735106931625e-13
18124,Ina,0.4451643080252671,4.922573592796308e-13
2571,Pcsk1n,0.44440078680444506,5.451090933278895e-13
9746,Slc25a4,0.4441730248584789,5.61919761545352e-13
11440,Scn4b,0.44205940563216733,7.440763113024214e-13
3936,H2afz,0.4409296684930836,8.638763880821372e-13
11378,Sorl1,0.4403807965429151,9.286760293814975e-13
14352,Hcn1,0.44009030542445565,9.64865073978276e-13
11493,Timm8b,0.43951104013293457,1.0411806037449194e-12
10557,Camk2g,0.43935373612846806,1.0629009883805103e-12
6887,Atp2b2,0.439005062271366,1.1126323501085083e-12
2584,B630019K06Rik,0.4389366625978414,1.122650973121167e-12
16334,Mpc1,0.43868702150387723,1.1599681732922033e-12
10966,Nefl,0.43779121799596277,1.3040976694190269e-12
9240,Slc25a3,0.43773171603753475,1.314266321183175e-12
17611,Cbln2,0.4367531941920551,1.4930113897387986e-12
3226,Pex5l,0.43648432414922744,1.5461400692336207e-12
12462,Sqstm1,0.43413716890565796,2.0953126159385185e-12
7438,Atp1a3,0.4339721779236458,2.140373103642806e-12
16547,Arhgdig,0.43388360453879926,2.1649514232299034e-12
15317,Scrt1,0.4326946121060765,2.522743834202573e-12
14107,Ndufs6,0.4309689578162081,3.1464428208796733e-12
9114,Oaz1,0.4306943388713446,3.2586569779822854e-12
18029,Opalin,0.43041896324349227,3.375091972076258e-12
8567,Ifitm10,0.4303961495276722,3.384917910462601e-12
3748,Kcna2,0.430087657074336,3.520554497885925e-12
16818,Mog,0.42899395589156847,4.045436084120887e-12
14954,Amn,0.42878288719496815,4.155161579060893e-12
14139,Ell2,0.4280554690944822,4.5559794085856935e-12
17215,Osbpl1a,0.4271431518322076,5.112184046297065e-12
2088,Plcb4,0.4263414813400203,5.65510256543182e-12
10064,Cbln1,0.42591937394319646,5.9631291608587026e-12
501,Cops9,0.4256606715790405,6.159924597100093e-12
15806,Dexi,0.4243678570837747,7.2420866899673194e-12
17300,Egr1,0.4239590530438655,7.621274506059075e-12
11284,Dpy19l1,0.4238543629755086,7.721447598173125e-12
5310,Fosl2,0.4229319700236834,8.661256878925709e-12
16438,Paqr4,0.42287084937540576,8.727320404322643e-12
12042,Map4,0.422576749575822,9.052125200682629e-12
10367,Map1lc3b,0.421464603125826,1.0390182938261593e-11
4954,Efhd2,0.421021629209393,1.0975132131615546e-11
17261,Rit2,0.4209169346674598,1.1117996013336044e-11
1860,Rasgrp1,0.4208347257124117,1.1231443664245715e-11
4799,Trnp1,0.4205547212762105,1.1626364909718217e-11
6248,Ubl3,0.42015986260046834,1.2206327734127451e-11
15574,Zcrb1,0.41968157373110976,1.2946613769342533e-11
3247,Gm11549,0.41940003967068296,1.3402605661518012e-11
6844,Bhlhe40,0.41866266261167556,1.4672252370352145e-11
2079,Chgb,0.4183604427290867,1.5225784985936138e-11
6985,Clstn3,0.41821494677792365,1.5499463765389974e-11
11748,Myo5a,0.41807390075977097,1.576933850637378e-11
