,gene,score,p-value
6512,Snca,0.6737979352921056,1.9841469656465658e-43
14464,Rtn1,0.6623604340576519,1.5817421991687146e-41
12067,Cabp7,0.6547034168551705,2.6673049099043123e-40
8214,Hs3st4,0.6521677753577886,6.676568629887822e-40
3080,Tmsb4x,0.6415070083714602,2.876861274556792e-38
15088,Ly6h,0.6356332951461194,2.1480561647355843e-37
6489,Neurod6,0.6342984526971326,3.3716615961122223e-37
1657,Pde1a,0.627065530858069,3.735024153352652e-36
13761,Cplx2,0.6265015394643806,4.493477230529969e-36
428,Itm2c,0.6239814147432003,1.0217455629782482e-35
17362,Myo5b,0.6206261956299627,3.015088571630865e-35
9658,Gpm6a,0.6154780078942672,1.5468271149936579e-34
8177,Crym,0.6110999117814471,6.0693203474309924e-34
13010,Neurod2,0.6103268639408952,7.70923086350966e-34
17595,Chrm1,0.6089803001561185,1.167514713467066e-33
15227,Nptxr,0.608458355622472,1.3705612148320064e-33
8119,Dkk3,0.6050063337659365,3.9284946715022705e-33
13225,Prkca,0.6041451384955265,5.098595096889633e-33
13025,Thra,0.6031515257179384,6.881091293638957e-33
5694,Wscd2,0.5954211676984705,6.843536228212168e-32
2252,Nnat,0.5935623132891248,1.1780625707405992e-31
4655,Hpca,0.5923405336478212,1.680275341120624e-31
17904,Psd,0.590538891290801,2.8287095249666676e-31
71,Kcnq5,0.5891870895822711,4.172415692394062e-31
4580,Hpcal4,0.5884050253937336,5.220144472600455e-31
14351,Dock4,0.5866997404373714,8.490250403178551e-31
13168,Rprml,0.5821973887902291,3.024719374546488e-30
17925,Neurl1a,0.5788932977251534,7.58901206580159e-30
11205,Nrgn,0.5734732278486263,3.35574669117912e-29
13119,Mpp3,0.5715499796421833,5.649491079137186e-29
14506,Rab15,0.5690611202252249,1.1029673661122396e-28
13671,Phactr1,0.5687492551971564,1.1989380713573003e-28
5441,Kit,0.565649818533307,2.7341495619026554e-28
10688,Cpne6,0.5642248894534238,3.9825270533892654e-28
17490,Cnih2,0.563380033665263,4.9731352029867275e-28
5909,Mmp17,0.5632155537346782,5.1925370184305775e-28
6473,Wipf3,0.5627405930256786,5.8811530989525305e-28
7225,Selenow,0.5626609927738869,6.005067573081644e-28
14064,Enc1,0.5618124335904376,7.497202928581224e-28
11871,Spink8,0.5616559318799147,7.809888913124513e-28
11820,Camkv,0.5615897666656837,7.945924659736435e-28
17894,Kcnip2,0.5609655115801536,9.35015544282742e-28
17636,Lrrc10b,0.5606727025269574,1.0090611270047223e-27
4078,Cnr1,0.5599862127239364,1.2061148564754317e-27
9415,Ctxn1,0.5552550722080649,4.077968553954192e-27
17849,Crtac1,0.5526209467939639,7.968275736824933e-27
3368,Npy2r,0.5513560181082581,1.0968638566713636e-26
7728,Ldha,0.5513040150360881,1.1113373108032885e-26
17830,Slit1,0.5499039816126633,1.5803189754787083e-26
15917,Zdhhc23,0.5495714438190733,1.7177340725878288e-26
3359,Gria2,0.5494776268432467,1.758590286876424e-26
