,gene,score,p-value
18137,mt-Nd3,0.48712467443117596,1.188881387490449e-20
18131,mt-Nd2,0.4339475429124104,2.89989994039864e-16
18130,mt-Nd1,0.40994429808536686,1.6012034579961228e-14
6803,Itpr1,0.4044042357433944,3.864799517302606e-14
18133,mt-Co2,0.38236825368337013,1.0978802148796099e-12
17409,Camk2a,0.35810274089600785,3.307793952195961e-11
2073,Lamp5,0.35683381467489733,3.922043513935378e-11
18139,mt-Nd4,0.3538157698879196,5.86327132002821e-11
4865,Camk2n1,0.34884078484470565,1.1271704180337711e-10
18136,mt-Co3,0.3461267547954855,1.6023348433955407e-10
18140,mt-Nd5,0.3453465598981269,1.7717281214186157e-10
18132,mt-Co1,0.3268276545299025,1.77593721807848e-09
18138,mt-Nd4l,0.3262379842481794,1.9064156827380794e-09
18142,mt-Cytb,0.3247038454334188,2.2909456906333737e-09
7351,Apoe,0.32087272038371845,3.608680540531817e-09
6253,Pon1,0.31618258054029313,6.23999047330297e-09
3080,Tmem27,0.314695975598295,7.408240073208405e-09
13908,Cxcl14,0.3076600007853171,1.647928791902256e-08
13437,St6galnac2,0.3067549468383427,1.8236631878205445e-08
18135,mt-Atp6,0.30569319006524553,2.0529584228069602e-08
2266,Nnat,-0.7091053833433458,1.2170138629615283e-50
3097,Tmsb4x,-0.6980993261784755,1.6993781964243506e-48
2963,Plp1,-0.6380917003234879,2.4996473943257127e-38
17536,Mbp,-0.6372723510965536,3.320355848277139e-38
12072,Mobp,-0.6129622579774985,1.0394455782046815e-34
1988,Mal,-0.5894041403738202,1.338428351279116e-31
13167,Cnp,-0.5886741248389475,1.6554706601448894e-31
13495,Actg1,-0.5791548510337791,2.5219157417368468e-30
15211,Ly6h,-0.5540287019618864,2.2119040142158256e-27
14578,Rtn1,-0.5518403140559555,3.8853303092129936e-27
14383,Ywhaq,-0.5384744816166852,1.1100867330989216e-25
17757,Fth1,-0.5183208803480711,1.3232633455376374e-23
3193,Cldn11,-0.517906237692257,1.455208909541909e-23
7572,Mag,-0.5132931485687595,4.153191977553534e-23
8105,Hbb-bs,-0.5116136661964297,6.060185500535295e-23
5373,Qdpr,-0.49116557577751413,5.1217453896993034e-21
6459,Rarres2,-0.47736198090090204,8.688990368611667e-20
15572,Tuba1a,-0.473080612870625,2.037817208262895e-19
596,Lypd1,-0.4690002265066243,4.5413127698160465e-19
12657,Efnb3,-0.46007464556591265,2.525856211331013e-18
3539,S100a6,-0.4571523528433411,4.382262009740151e-18
6551,Snca,-0.4562732991066745,5.166913218600604e-18
10143,Tppp3,-0.4551788698611135,6.3387285994154506e-18
16764,Mog,-0.45446878998597534,7.234817063503682e-18
8914,Zwint,-0.45040421457166646,1.533105350272434e-17
12315,Hba-a1,-0.4502262804481076,1.5839822111124352e-17
5432,Uchl1,-0.44393058520128115,4.967152426942428e-17
8228,Crym,-0.4423028709432506,6.649264252269025e-17
7510,Ppp1r14a,-0.4422612170248993,6.698940700794818e-17
12978,Sept4,-0.4408430334929387,8.625806033978458e-17
8066,Plekhb1,-0.43889397402350616,1.218591691758269e-16
3685,Tspan2,-0.4320183566816024,4.051119462733927e-16
14371,Hpcal1,-0.43073148065802935,5.057232691987815e-16
581,Dbi,-0.42669368789977224,1.0081870514153096e-15
14878,Hsp90aa1,-0.42666484341003114,1.0131346595815455e-15
18002,Scd2,-0.4224555440939271,2.059470265192024e-15
11778,Morf4l1,-0.42165234915807626,2.355353425871248e-15
1187,Vim,-0.4198063540698243,3.20229430348578e-15
16949,Tubb4a,-0.4172022733467629,4.923398814539933e-15
12736,6330403K07Rik,-0.41530863128795764,6.7157213138573e-15
11347,Ccdc153,-0.41438832499965045,7.803909729854001e-15
15174,Ndrg1,-0.40939906197400866,1.747528223405409e-14
16798,Hsp90ab1,-0.4068827231907152,2.6109709292031893e-14
4700,Marcksl1,-0.40680839516359324,2.641986219352653e-14
