,gene,score,p-value
17824,Fth1,0.6730905930093763,5.1409783212136635e-40
17598,Mbp,0.6676691528451112,3.5379804406302195e-39
5406,Qdpr,0.6619346722835289,2.605231111727741e-38
18075,Scd2,0.6591901616413549,6.669717715192488e-38
4825,Stmn1,0.6452805043409381,6.745395634861709e-36
12131,Mobp,0.6387956411840796,5.352436444393202e-35
8114,Plekhb1,0.6383293291215463,6.200197541561162e-35
2414,Bcas1,0.626717808425529,2.226574816277078e-33
13239,Cnp,0.6251595208483428,3.5594257760523224e-33
13046,Sept4,0.6191414177084482,2.1258798606385518e-32
16343,Qk,0.6125369506015323,1.4461688181771266e-31
14964,Ckb,0.6118107629231506,1.7806644771536852e-31
3211,Cldn11,0.6106637303643138,2.470801547128853e-31
2005,Mal,0.6096499553002906,3.296740663619598e-31
17006,Tubb4a,0.6091965429622296,3.749348713427001e-31
2982,Plp1,0.602702037381412,2.3145416402696225e-30
703,Csrp1,0.5939749942502464,2.504163880784327e-29
16839,Rcan2,0.5788603592011449,1.3096806191447451e-27
3109,Gpm6b,0.5744737389613791,3.975405835888273e-27
6101,Tsc22d4,0.5737001567117032,4.8269370302311855e-27
15240,Ndrg1,0.5722697805826218,6.901457464569949e-27
5097,Tmem88b,0.5713741518777946,8.625357174510156e-27
16818,Mog,0.5711526583718001,9.113382123482336e-27
2341,Dbndd2,0.5709254681564435,9.642243195562774e-27
16239,Olig1,0.5690381424555174,1.5380182588077583e-26
7619,Mag,0.5683740368494901,1.8113682631499267e-26
10994,Lgi3,0.567793500410481,2.089202339427972e-26
12923,Aldoc,0.5667559625293752,2.6942386269542453e-26
7592,Aplp1,0.5667023595722069,2.729807458687325e-26
1955,Gatm,0.5645837633276249,4.575409308828363e-26
3694,Tspan2,0.5631750852125763,6.436921881042086e-26
10123,Pllp,0.5616684624920786,9.256632489236264e-26
8994,S100b,0.5514439358561373,1.0380671515883137e-24
18029,Opalin,0.5513853309267311,1.0522985394737351e-24
17277,Bin1,0.5503545451539145,1.33647296808579e-24
10952,Stmn4,0.5436214588523514,6.242599505429155e-24
7557,Ppp1r14a,0.538436385040826,1.9984547345344068e-23
1551,Ermn,0.5381265412362077,2.1409937606000574e-23
3157,Car2,0.5379326861379321,2.2352183647590693e-23
12540,Sparc,0.5328521860616706,6.842995576290624e-23
14996,Pacs2,0.5275611840868226,2.151118348892292e-22
3487,Syt11,0.5245660913659685,4.077527118270382e-22
11500,Cryab,0.5180973340360963,1.5883101198187599e-21
8583,Cd81,0.5170900776851861,1.9577576536692913e-21
4888,Pink1,0.5142329499655571,3.5297894792749134e-21
777,Glul,0.5127023375450119,4.829461787118038e-21
1581,Grb14,0.509966018541344,8.425477470112708e-21
12350,Rps27a,0.5091383646966154,9.960302275044617e-21
15024,Selenop,0.508712515208482,1.0854010030330403e-20
16004,Apod,0.5086519667641144,1.0987323415655268e-20
6356,Gpr37,0.5035602761126649,3.040686869023498e-20
10576,Rps24,0.49638314186664373,1.240788994906245e-19
15461,Desi1,0.49384429328026647,2.024499554975365e-19
18077,Scd1,0.49304826427980114,2.3584074241248455e-19
10432,Agt,0.4929399545350895,2.4078341943821856e-19
17514,Sec11c,0.49236219237974366,2.68919981074176e-19
654,Cntn2,0.48157434707130303,2.038561803024479e-18
5643,Sparcl1,0.47972160017403565,2.866197152958083e-18
11343,Fez1,0.47451959333226207,7.379652414848735e-18
15810,Litaf,0.4722229151266512,1.1147047967917246e-17
10954,Dpysl2,0.46865609054587565,2.1022825909039822e-17
