,gene,score,p-value
2443,Gnas,0.7231917586451116,1.2248276847778952e-65
2520,Stmn3,0.6894090450539914,2.0324571978866076e-57
858,Atp1b1,0.6739640044889315,5.0256231815976067e-54
2092,Snap25,0.6665950027515375,1.7718783564634863e-52
2571,Pcsk1n,0.6567300486761832,1.7854047280197602e-50
11617,Pkm,0.6525860350555635,1.177521813296917e-49
8962,Zwint,0.6490057666208304,5.8677255481921455e-49
12315,Mdh1,0.6447459760241947,3.8565691456044206e-48
10151,Ndrg4,0.6411894341247749,1.8156073687827209e-47
14417,Vsnl1,0.6364842715784573,1.3664099472309223e-46
6586,Nap1l5,0.6320299926981084,8.943048420269509e-46
1874,Disp2,0.6269085844568814,7.469119011148708e-45
9879,Rab3a,0.6255868768204058,1.2834433770058432e-44
17577,Atp5a1,0.6241227189217666,2.3308182383784494e-44
7021,Vamp1,0.6225169049051137,4.4682072904833153e-44
1422,Dnm1,0.6145746811840995,1.0571650569803304e-42
5468,Uchl1,0.6115502737625566,3.4447411518250145e-42
1445,Stxbp1,0.6087189046444291,1.0290470063245666e-41
2963,Gprasp1,0.5906770025381938,8.546502169090992e-39
14933,Meg3,0.5882861806597182,2.018289955248874e-38
11390,Thy1,0.5880145666776369,2.2242581145271322e-38
7867,Snrpn,0.5875323260866869,2.6424974210644704e-38
16274,Ttc3,0.5871255285162963,3.0552031123737003e-38
6996,Eno2,0.5819261811481257,1.9178001632051563e-37
383,Resp18,0.5809273893554185,2.7190533193503244e-37
6318,Ndufa4,0.5782477409246066,6.896235264683127e-37
6210,Tmem130,0.5744511994219744,2.5405917294363108e-36
13349,Nsf,0.5723615336366586,5.170262827333479e-36
2554,Syp,0.5710947330195393,7.934269303898546e-36
2969,Bex2,0.5682353162353951,2.0719705159194985e-35
7438,Atp1a3,0.56683665113409,3.3023198292746387e-35
9448,Atp5b,0.5660111095058954,4.343618448097562e-35
6131,Prkar1b,0.5649996932957957,6.070571329561845e-35
2906,Cox7b,0.5642511678227617,7.771388702560708e-35
6766,Podxl2,0.5625971320553946,1.338344591806409e-34
13944,Sncb,0.559961186958214,3.162636326583649e-34
6052,Ywhag,0.558732160092934,4.710311675994113e-34
17804,Gng3,0.5558523424362937,1.190175038053611e-33
2291,Snhg11,0.5525650155374996,3.391360110364056e-33
1932,Ckmt1,0.549906990355797,7.841736473448743e-33
3133,Stmn2,0.5459951418034362,2.6563470795211945e-32
7018,Gapdh,0.545808624950856,2.814333772346608e-32
8761,Tspyl4,0.5427162553578844,7.29608874790579e-32
4689,Ncdn,0.5417065595226774,9.936805663073415e-32
15124,Cox6c,0.5406598978805273,1.3672158497437002e-31
12405,Gabra1,0.5396717963444349,1.8459868122788247e-31
11369,Hspa8,0.5371970997388179,3.898604658266697e-31
6999,Tpi1,0.5361104270688953,5.40299789387528e-31
4776,Atpif1,0.5351247154329963,7.256863325132363e-31
10965,Nefm,0.5308528330052338,2.5770871786908308e-30
1652,Atp5g3,0.529695433361069,3.621616483620607e-30
5381,Nsg1,0.5269813215951928,8.002186414745634e-30
18124,Ina,0.5260749440280559,1.041116880351086e-29
16769,Atp6v1g2,0.5253245295771666,1.293790242185008e-29
15637,Tuba1b,0.5236730349416692,2.0831112078015528e-29
6643,Tmsb10,0.5234112178216911,2.2459540331760005e-29
16441,Flywch1,0.5225656061003747,2.862750274708025e-29
11581,Cox5a,0.5224080388360529,2.9949343160231037e-29
12581,Snap47,0.520845382860698,4.6800728899939985e-29
14644,Rtn1,0.5207328455975949,4.832539518436839e-29
8988,Chchd10,0.5206031435494127,5.014358143108588e-29
2514,Eef1a2,0.5179127211893493,1.0749380514339772e-28
7280,Peg3,0.51659155893858,1.5593016068756033e-28
15474,Ndufa6,0.5156711394084939,2.0186393498006886e-28
380,Tuba4a,0.515564056757118,2.08008815563864e-28
5695,Cplx1,0.5141644590118944,3.075192163928141e-28
