,gene,score,p-value
10064,Cbln1,0.8023208030095051,2.396265996430245e-72
7848,Slc17a6,0.7937367319460056,9.057392112207778e-70
18161,Tcf7l2,0.7924107578464796,2.2091384657086588e-69
5468,Uchl1,0.7887100853199166,2.5711096776773693e-68
2420,Cbln4,0.7853132316827145,2.3433102839615224e-67
17451,Ctxn3,0.7580997505030542,2.9862422283724605e-60
10432,Agt,0.730386539406849,6.357416226779702e-54
6586,Nap1l5,0.7268477886024738,3.588358333218924e-53
17611,Cbln2,0.7135933214229236,1.8545371108645943e-50
2698,Rtl8a,0.7036764206845111,1.5828439500271867e-48
4624,Rims3,0.6941025058438935,9.75415567630491e-47
12923,Aldoc,0.6906189924757988,4.198375181112777e-46
2963,Gprasp1,0.6888359054176069,8.791901871413188e-46
6643,Tmsb10,0.6867167519485534,2.1017454381072783e-45
383,Resp18,0.6847593572928067,4.6700463575826545e-45
16102,Gap43,0.6835812566766073,7.528402105457544e-45
12540,Sparc,0.6810206577091586,2.109040656483393e-44
16127,Tagln3,0.67780684713935,7.57128011889378e-44
9802,Cpe,0.6704141257988642,1.3476574518351085e-42
3133,Stmn2,0.6694882075135006,1.9215431832910977e-42
2633,Zcchc12,0.663988159880196,1.5399223231022752e-41
2443,Gnas,0.6606390019299219,5.352327928424837e-41
8883,Pcbd1,0.6585533215647393,1.1533945028361566e-40
15931,Camk2n2,0.6577914351421833,1.5244663024280937e-40
6079,Ache,0.6568604765203228,2.1412275516135506e-40
12806,6330403K07Rik,0.6566419039924729,2.318611122663705e-40
6889,Slc6a11,0.650468664885193,2.1365475228128787e-39
10065,Zfp423,0.6493912044117623,3.131524617462945e-39
8962,Zwint,0.6478250353487843,5.443961193059164e-39
1525,Lypd6b,0.6458791777477154,1.0773002348946246e-38
10769,Ndrg2,0.6451242416848035,1.4020372718733607e-38
2183,Nrsn2,0.6406994591516658,6.47094085127791e-38
16130,Plcxd2,0.6360964277890401,3.093540755229504e-37
11557,Rcn2,0.6328005851396125,9.331329615998528e-37
11772,Gsta4,0.629604286694711,2.6881087270806037e-36
5244,Dpp6,0.627896169131241,4.7077908736930356e-36
6210,Tmem130,0.6239399891533591,1.7010462703420138e-35
14263,Map1b,0.618950071782595,8.377151300219762e-35
2571,Pcsk1n,0.6181645664694821,1.073891128397434e-34
4825,Stmn1,0.6124737831881546,6.3591735719108475e-34
2118,Dzank1,0.6113064712638515,9.11830487650599e-34
5643,Sparcl1,0.6099048683882771,1.4027615929813311e-33
7021,Vamp1,0.6068711176532311,3.537675834401935e-33
1963,Ctxn2,0.6044250560008934,7.404576987406117e-33
2969,Bex2,0.6029730446913765,1.1444937505030216e-32
17261,Rit2,0.6008904622259973,2.1289707564341112e-32
6327,Foxp2,0.5947571888326092,1.2902275785171044e-31
15637,Tuba1b,0.5923172143912471,2.614125450585397e-31
13082,Hlf,0.5885399502761758,7.708156267502802e-31
303,Fzd5,0.584998090775987,2.0977306846557464e-30
8761,Tspyl4,0.5849975523843706,2.0980479981822344e-30
2584,B630019K06Rik,0.5834635493213371,3.224647878372675e-30
7280,Peg3,0.5824804871420121,4.242174565771578e-30
6317,Nxph1,0.5769326313229122,1.9599764762896026e-29
9209,Timp3,0.5760345325612705,2.504155696239665e-29
10613,Prkcd,0.575604000472123,2.815506197712701e-29
12018,Wdr6,0.5739359392810964,4.4262746736705043e-29
15792,Abat,0.5734806083826299,5.005845315832384e-29
14539,Stxbp6,0.5670565758316676,2.7837755569424104e-28
10412,Tubb3,0.564143417055785,5.987041892616287e-28
10272,Calb2,0.5640367079606026,6.156477324183159e-28
411,Serpine2,0.563708832672707,6.7072549927129415e-28
16274,Ttc3,0.5542302856317869,7.667660630519107e-27
1527,Lypd6,0.5538210226921267,8.503388742940858e-27
7872,Ndn,0.5518572890083422,1.3941614963385637e-26
836,Dnm3,0.5515855067364779,1.4925162167015453e-26
13057,Dynll2,0.5339362222441112,1.0962906158968496e-24
3855,Synpo2,0.5332002836601131,1.3042855511657419e-24
7281,Usp29,0.5322444594256707,1.6333780198246687e-24
10332,Cdh13,0.5307743342659235,2.3055430185899323e-24
1874,Disp2,0.5285704650783809,3.8530470398630164e-24
2966,Gprasp2,0.5266458666878917,6.015112737964697e-24
12165,Snrk,0.5251974840432535,8.394746139127125e-24
4874,Wnt4,0.5248395636123993,9.1132711773472e-24
7462,Tmem91,0.5248271788631785,9.139189353182285e-24
4400,Elavl2,0.5188150925343195,3.578616907426281e-23
4889,Cda,0.515790442502342,7.039297745565612e-23
4175,Enho,0.5148178272558496,8.737505419291046e-23
92,Bend6,0.5134161432933635,1.1915778974589904e-22
10063,Gm2694,0.5122409774683012,1.5438487494674391e-22
3197,Rpl22l1,0.5112868623177617,1.9037460811967761e-22
2520,Stmn3,0.5096567722238509,2.719117412116559e-22
10312,Vat1l,0.5066620252784849,5.2083408405836375e-22
3799,Ntng1,0.49944494435906844,2.4301501436946106e-21
11212,Olfm2,0.4981872014029312,3.1666176026915534e-21
6052,Ywhag,0.49492477459003476,6.2602337123871366e-21
13283,Rnd2,0.4927868927802948,9.746427768560519e-21
12099,Rbms3,0.49172575185572265,1.2127517635066271e-20
13851,Cd83,0.4910856560864898,1.3831630644108516e-20
6766,Podxl2,0.48974067138890753,1.8216566547538484e-20
10619,Itih3,0.4867228739387366,3.364271543983356e-20
14803,Zdhhc22,0.48373760888338385,6.135685759637724e-20
9286,Kitl,0.4817381426806463,9.146066027002013e-20
16101,Lsamp,0.4812557269346194,1.0066863708032222e-19
3361,Shox2,0.48009502379629787,1.267241368602576e-19
1801,Cd59a,0.4782603342840993,1.8201116596694068e-19
6861,Cpne9,0.4777691290071448,2.004636949735654e-19
5199,Lhfpl3,0.4714728196425327,6.818086151238209e-19
7062,Fkbp4,0.4710157125264251,7.444454765022834e-19
8874,Spock2,0.47045506819912153,8.290316761651834e-19
3891,Etnppl,0.47006554834208114,8.932911289309364e-19
2652,Tmem255a,0.4682158555992136,1.2717146865882913e-18
772,Rgs8,0.4669188231543649,1.627048720574824e-18
3798,Vav3,0.464483306081006,2.5770129958585878e-18
12290,Grb10,0.4641643842545083,2.736218856562496e-18
4284,Grin3a,0.4628969717905732,3.470113372412415e-18
12210,Selenom,0.46175476603177507,4.2951226144690516e-18
7867,Snrpn,0.4615285006482681,4.480065528680784e-18
17892,Aldh1a1,0.4614364561486558,4.557518914145223e-18
8630,Rgs17,0.4596828681818845,6.311344577614385e-18
4993,Disp3,0.45892850270540786,7.256002033121889e-18
15984,Mb21d2,0.4577449142540544,9.0248073161532e-18
6985,Clstn3,0.4575614813280754,9.334433506237759e-18
11439,Scn2b,0.4566257466421498,1.1083685143897383e-17
10754,Gm26782,0.45615757092829656,1.2075941551400332e-17
2629,Klhl13,0.455895968892464,1.2667849149828321e-17
9776,Glra3,0.4557437944651902,1.3025174202418112e-17
2029,Pdyn,0.4544722678916196,1.6424442671932307e-17
9983,Scoc,0.4543640291272113,1.675112364685387e-17
3024,Htr2c,0.45109637367371813,3.0257753237393113e-17
407,Scg2,0.4503453875786845,3.4631032851840007e-17
7399,Apoe,0.44848194438898437,4.8341424798131316e-17
9010,Adarb1,0.44706183326494314,6.224681570677305e-17
14429,Ntsr2,0.4462741309634484,7.158115366232195e-17
9076,Cbarp,0.4451262514783018,8.768917277494828e-17
5043,Gpr153,0.4444752597001905,9.835328244142949e-17
2619,Araf,0.44429759308127414,1.01478325175033e-16
3032,Maged2,0.4434615853344976,1.1754066902609171e-16
10255,Zfhx3,0.44242730318620604,1.4089491167429198e-16
2773,L1cam,0.44007971372176846,2.1210533238969512e-16
2764,Pnck,0.43936267507309673,2.4018227554287403e-16
726,Lhx9,0.4392589790647393,2.44533400438538e-16
8551,Cend1,0.43925742869023315,2.4459903791697747e-16
5381,Nsg1,0.4382846175472185,2.893833455653464e-16
14320,Rab3c,0.43654018055483523,3.90683688940128e-16
2977,Bex3,0.43480107324835127,5.260589628366803e-16
17458,A730017C20Rik,0.43413086121373873,5.896999273250359e-16
11659,Megf11,0.4322855609798109,8.06529563082393e-16
15163,Oxr1,0.43150027672667296,9.20960107394987e-16
17452,1700011I03Rik,0.42969110239985014,1.2485961258247506e-15
17522,Gnal,0.4293715504947792,1.3173067509287493e-15
12141,Ctnnb1,0.4278552266570324,1.6972590210120021e-15
10749,3632451O06Rik,0.4278339080372721,1.7033017355671476e-15
16441,Flywch1,0.42716761792387725,1.90316305879585e-15
