,gene,score,p-value
10463,Ndrg4,0.7020217134686684,1.6343828551195197e-25
2156,Snap25,0.6971724829722735,4.796284369961625e-25
883,Atp1b1,0.6662016020484761,2.8874788057551012e-22
4824,Ncdn,0.6135052454819028,3.135460956931294e-18
8076,Slc17a6,0.592409801438444,8.106976982477683e-17
6080,Atp2a2,0.5675529449744942,2.7951041556661935e-15
5470,Ywhah,0.5669082968948299,3.0519016352239042e-15
4516,Slc24a2,0.5659855576060873,3.4599192270718932e-15
10946,Prkcd,0.5641897814810296,4.412017356397121e-15
7446,Tnnt1,0.5585318155029768,9.399976590366873e-15
11974,Nptn,0.5535065575654216,1.818484923074686e-14
9490,Nt5dc3,0.552718212952634,2.0148055621803956e-14
16825,Pcp4,0.5505345237501456,2.6727158050971178e-14
9929,Zmat4,0.543556425355292,6.504176816607034e-14
15631,Ywhaz,0.5428450296772906,7.113258371061575e-14
5867,Cplx1,0.5257203185528788,5.766199364706236e-13
12078,Rora,0.5215608584313528,9.41945749510975e-13
9595,Syt1,0.5208877139896144,1.019170455853458e-12
11760,Thy1,0.5174101229764855,1.5270198751757436e-12
1466,Dnm1,0.5138327763645735,2.303625963574177e-12
15425,Meg3,0.5118435609449474,2.8894071800498814e-12
13369,Cdk5r1,0.5099463668952616,3.5814733483115e-12
13771,Nsf,0.5074207081539118,4.756810061226378e-12
8445,Nrip3,0.5063175725442004,5.3806271964016766e-12
5323,Cacna2d1,0.504605842151922,6.508730325199502e-12
1310,Grin1,0.5033090381216043,7.513056477393012e-12
5641,Gabra4,0.5016599042693678,9.009296792890825e-12
4194,Pdp1,0.5001326644550512,1.065024915926399e-11
18759,Atrnl1,0.49768473782305145,1.3902357551176208e-11
5488,Nat8l,0.4969727974123615,1.501669238412163e-11
12630,Nefh,0.4954588260933203,1.768182338588737e-11
12529,Cck,0.4941144196718041,2.042876375848288e-11
2364,Snhg11,0.4927566351328135,2.3621349693011938e-11
17708,Calm2,0.48999950122200603,3.165999601596808e-11
12803,Gabra1,0.48726521032574066,4.222284789338375e-11
7206,Eno2,0.48413608880465087,5.851802616258857e-11
17378,Gabbr1,0.4820664443892992,7.248621641069781e-11
943,Pcp4l1,0.4781659328162538,1.0808885459365319e-10
441,Dner,0.4770161427306206,1.2148339398509548e-10
2152,Plcb4,0.47250935743901,1.912400831781463e-10
7855,Scn1b,0.4683442233195338,2.891817699580836e-10
16809,Ttc3,0.4681493407191427,2.9479144744799925e-10
