,gene,score,p-value
10685,Prkcd,0.8408108186331303,6.122483953108389e-113
9066,Adarb1,0.8211436699563694,2.237204800715404e-103
5734,Cplx1,0.8130602327487575,8.814060535991351e-100
1263,Nsmf,0.8061315828140065,7.771598249726351e-97
10211,Ndrg4,0.8041384387984353,5.19759622453327e-96
5947,Atp2a2,0.8028887890087552,1.692002789697338e-95
11783,Rora,0.800321077724577,1.8628697999704653e-94
1877,Rasgrp1,0.7920370542856613,3.3886332290573514e-91
7273,Tnnt1,0.7883812987184027,8.350489881663056e-90
9338,Atp2b1,0.7867401446048732,3.447696143842255e-89
12222,Cck,0.7794131132249493,1.6666460688876255e-86
4107,Pdp1,0.7701913801249612,2.865653284038737e-83
12357,Ramp3,0.7535398143674351,8.55103413762956e-78
4340,Ptpn3,0.7465624699396196,1.252263200014264e-75
16395,Pcp4,0.7421748692540822,2.6516560779241422e-74
4419,Slc24a2,0.7393978596067088,1.7733488929574046e-73
4720,Ncdn,0.7381750421795461,4.063089417340747e-73
898,Rgs4,0.7357709127349772,2.0459941491488403e-72
5517,Gabra4,0.7330944714908495,1.2119437518361087e-71
584,Ptpn4,0.7238771215096241,4.72213043301378e-69
7799,Slc17a7,0.7137310217245714,2.551101501581484e-66
532,Bok,0.7122303615249759,6.321189345781724e-66
7245,Prkcg,0.7099622897159843,2.4638195602014746e-65
12358,Adcy1,0.7081391720609761,7.28436798357191e-65
3831,Ntng1,0.707087286479348,1.356338218295061e-64
4834,Trnp1,0.7035124605675053,1.0989372087561902e-63
5119,Gabrd,0.700999127642654,4.6953475577869933e-63
3984,Rap1gds1,0.6778251181901952,1.549464666859214e-57
11468,Thy1,0.6703385627462688,7.346601551004528e-56
9385,Kcnc2,0.6656009963497064,7.970742256955146e-55
12438,Sptbn1,0.6649328977921313,1.111696978681266e-54
14401,Rgs7bp,0.6623698610316419,3.9521767268320243e-54
919,Pcp4l1,0.661716787886078,5.449124221477322e-54
4727,Dlgap3,0.6613429014774219,6.546778420746948e-54
4294,Gabbr2,0.6573104729893189,4.659997088802767e-53
2109,Snap25,0.6555308173782769,1.0974914126912568e-52
777,Rgs16,0.6529866350835036,3.6972134034759414e-52
15238,Ywhaz,0.6513090693894131,8.182799409945411e-52
11594,AI593442,0.6486868740258663,2.804468167673891e-51
3929,Lef1,0.645794930122794,1.0758208927678196e-50
3887,Synpo2,0.6457547431406708,1.0959967236018872e-50
6419,Ccdc136,0.6401942320959901,1.3954834123413317e-49
6694,Lrrtm1,0.6305239127784535,1.030101628331874e-47
10186,Cx3cl1,0.6300530834368997,1.2651794771385866e-47
13041,Cdk5r1,0.6272295046680356,4.30833375544497e-47
6932,Atp2b2,0.625628233630634,8.583694053810215e-47
15362,Adgrb1,0.6213891055016254,5.222116750185537e-46
16328,Tiam1,0.61985859527889,9.95461470054497e-46
7672,Scn1b,0.617811955015528,2.3457283963870278e-45
864,Atp1b1,0.6122460631944364,2.3382933956363544e-44
14959,Calm1,0.6097791645981157,6.385386435527372e-44
8664,Plekhg1,0.6091850336476444,8.122534155864146e-44
11028,Ptk2b,0.6090598846857467,8.544298242642512e-44
9370,Syt1,0.6071912718372771,1.8145709924187178e-43
15658,Shank3,0.6042135185294305,5.964361488346237e-43
2105,Plcb4,0.6021365312788773,1.357737361790792e-42
13535,Rab37,0.6000303513961728,3.107599713141687e-42
78,Ogfrl1,0.5997371991648528,3.485513146286528e-42
11261,Amotl1,0.598502445487844,5.6446356865123735e-42
880,Ildr2,0.5975571086353118,8.153003315058375e-42
11683,Nptn,0.5956035747034196,1.7363027896915097e-41
8248,Nrip3,0.5944505575798169,2.706124054801978e-41
5864,Cit,0.5922501061367345,6.280506280733341e-41
1352,Olfm1,0.5905401143426006,1.2028437580431656e-40
11640,Lingo1,0.5875822625016998,3.6679076325783677e-40
15469,Kctd17,0.5842359908409069,1.2771715334838706e-39
9859,Spock3,0.5819405811689355,2.9806374887785123e-39
14912,Zdhhc22,0.5807130558047249,4.676739545605054e-39
12675,Rasd1,0.5765828977391786,2.0995766942548157e-38
1572,Tanc1,0.5669083921878012,6.518002837149794e-37
9684,Zmat4,0.5656570061638686,1.0081453133786895e-36
14930,Nrxn3,0.5606850252661852,5.599643286233959e-36
5854,Cox6a1,0.5591330068589367,9.506884308344911e-36
9438,Rassf3,0.5581486432565101,1.3280432381452607e-35
4449,Patj,0.5573571326391781,1.7361760319310305e-35
4387,Megf9,0.556184486213322,2.578959076391016e-35
15421,Scrt1,0.5554462828675968,3.30581634622464e-35
1022,Stum,0.550411318501544,1.7686612208217275e-34
11984,Rab6b,0.5492040435680209,2.63306217725323e-34
1990,Secisbp2l,0.5465360648502255,6.307986398353784e-34
401,Epha4,0.5453262485015794,9.350356625649867e-34
8700,Grm1,0.5446592280429341,1.160850586306551e-33
17332,Osbpl1a,0.5399110484838845,5.339588989162401e-33
8562,Sprn,0.535824959390966,1.9474028455218829e-32
8547,Inpp5a,0.5351098725163197,2.437885010652138e-32
12500,Adra1b,0.5349129110029819,2.593243360681723e-32
3868,Tmem56,0.5345402522054596,2.914463031316447e-32
11030,Stmn4,0.5325699687761585,5.390756688812125e-32
15603,1810041L15Rik,0.5320120978004663,6.411451641768305e-32
13778,Elmo1,0.5287682256674712,1.7461533984506853e-31
8597,Eps8l2,0.5283389007402749,1.9921397174071253e-31
506,Ndufa10,0.5278587155939621,2.3080279865819748e-31
17949,Syt7,0.5252569821682878,5.102810543689602e-31
2619,Atp6ap2,0.5242011654828188,7.027357984162755e-31
3112,Cdkl5,0.5240252064879346,7.411517326994103e-31
2184,Fkbp1a,0.5235011790639276,8.682936515919864e-31
8470,Cox6a2,0.5227771877976505,1.0801087727669279e-30
15338,Kcnq3,0.520578490172951,2.089186179477175e-30
13929,Smim13,0.5201222576135524,2.394235882071037e-30
1663,Chn1,0.518948206950539,3.396820373846574e-30
15005,Clmn,0.5155794688671855,9.197586955257587e-30
12321,Nefh,0.5154939873323525,9.431667369855663e-30
11920,Zic1,0.5135883505421274,1.6485674087780368e-29
9291,Anks1b,0.5108336692970309,3.6727075079524794e-29
8551,Kndc1,0.5095562553213484,5.31171498302896e-29
9344,Kitl,0.50951262758107,5.378929089164201e-29
5087,Kcnab2,0.5083726669118166,7.466387914452915e-29
15070,Ckb,0.5058629918301031,1.5302413107542297e-28
7147,Grin2b,0.5056054330010588,1.6466356431445624e-28
3316,Setd7,0.5054265464409157,1.7325838996513058e-28
3324,Lhfp,0.5011026077162004,5.872942724418842e-28
2286,Dlgap4,0.5000921536209509,7.792240439007023e-28
14264,Mef2c,0.4991244839803821,1.0206721145779512e-27
13182,Cacna1g,0.49817725931360185,1.3282258255721209e-27
13166,Hlf,0.4960221609075486,2.4109745268753415e-27
9505,Atp5b,0.49542005694455454,2.8457941300378594e-27
4915,Rap1gap,0.49533645909209356,2.911993416336777e-27
6907,Cpne9,0.49347363581071035,4.853090608432195e-27
14084,Spock1,0.49334876749578294,5.02156760355225e-27
14417,Rab3c,0.493246981326308,5.163165504085666e-27
17275,Nrxn1,0.4922684092386085,6.742414920730012e-27
17714,Mbp,0.48968142520161856,1.3596237771464887e-26
8995,Zfp365,0.4896549456401083,1.3693774899191126e-26
12209,Mobp,0.4894127420400056,1.4618617667893928e-26
13485,Pitpnc1,0.48871206058161765,1.7655898105433677e-26
14519,Fam49a,0.4885023309678261,1.8680675253950986e-26
15112,Vipr2,0.4880420319862087,2.1140251677736333e-26
3962,Ppp3ca,0.4875255483807318,2.4282185847581636e-26
9105,Hcn2,0.4797991263738769,1.876829090891207e-25
4029,Ttll7,0.47972725052772336,1.9124108699679982e-25
17939,Fth1,0.47862753749906856,2.5476313542634633e-25
2643,Cdk16,0.4726140397579729,1.2003979139289524e-24
15370,Lynx1,0.46731198090121867,4.591181897792289e-24
9327,Nudt4,0.4663622800716677,5.823850213479961e-24
16147,Kalrn,0.46547501001032743,7.268000172952418e-24
13896,Nrn1,0.4616020763444852,1.8970296951883078e-23
3458,Sh3d19,0.4600262837543527,2.793101505858572e-23
7187,Ldhb,0.4597002818186255,3.025078505761226e-23
6169,Fam20c,0.4594823943628487,3.1906166491478656e-23
1549,Cacnb4,0.4581588454695146,4.406249526313483e-23
962,Kcnj9,0.45655710706057884,6.500019587362928e-23
14102,Agtpbp1,0.4555596976553016,8.271916008511306e-23
1701,Zfp804a,0.4555305725524761,8.330249629171012e-23
3117,Reps2,0.45533157367773197,8.739819271951391e-23
2085,Prnp,0.4547519244097814,1.0049415837712552e-22
18318,mt-Atp6,0.454705918572873,1.0161284846451906e-22
7356,Selenow,0.4543075573172143,1.1182749953820251e-22
3789,Slc6a17,0.45387310567470673,1.2412383756646394e-22
