,gene,score,p-value
2470,Tshz2,0.706276570675369,1.2158684343694645e-52
1310,Ptgds,0.5417391662761178,2.5248972869908305e-27
7568,Apoe,0.5241649250985787,2.1723286816321387e-25
13260,Aldoc,0.513685024271407,2.7419131048068228e-24
14931,Etv1,0.47031047716686714,4.093850917991078e-20
12153,Rasgrf1,0.46395669897466285,1.4969037759845254e-19
5769,Sparcl1,0.45983778609930986,3.4196606975992345e-19
17761,Nrep,0.4464810123665512,4.619751611339236e-18
4752,Pou3f1,0.44238691038383193,1.003107553352359e-17
16070,Prph,0.4336723635300692,5.048174077459363e-17
2237,Nrsn2,0.43223764170572004,6.557657727072655e-17
1153,Hsd11b1,0.4300085634065782,9.822029742911224e-17
14366,Cxcl14,0.4209701656167508,4.903258270904538e-16
8032,Slc17a6,0.4203963418288377,5.421425321440917e-16
2199,Cst3,0.4123945708872915,2.1572128386059898e-15
795,Glul,0.40913288991406915,3.748151062797099e-15
6802,Lrrtm1,0.39937614683216965,1.8882038837818626e-14
10673,Tubb3,0.3975280468176294,2.54969678423627e-14
3092,Htr2c,0.39647953677987635,3.0208709769886374e-14
5687,Parm1,0.39561896475543273,3.4704139883189875e-14
601,C1ql2,0.39260038247857665,5.627740448415317e-14
6738,Nap1l5,0.3913203801875242,6.89790469598341e-14
7729,Spint2,0.39037690319774504,8.00974259008104e-14
663,Klhdc8a,0.38849980971673376,1.0767799513091745e-13
5103,Fbxo2,0.38363375768051133,2.2986394615317657e-13
7310,Ldhb,0.3812046802667763,3.340744832815474e-13
9528,Nts,0.37619966262681914,7.147964627259301e-13
18247,Prdx5,0.3731588355893574,1.127533108904438e-12
973,Atp1a2,0.3695774897299641,1.9169886814705637e-12
9596,Il22,0.3691558594370914,2.0397084719846778e-12
12274,Grm2,0.366639610844784,2.9483557502246516e-12
884,Mpc2,0.3663123255935202,3.0923606706708343e-12
12538,Selenom,0.3655879376119171,3.4359366812642635e-12
5114,Gm13205,0.36320214997212114,4.852096822618567e-12
11053,Ndrg2,0.3613831659481468,6.300464242581423e-12
17737,Rit2,0.3612377119743977,6.43299138701568e-12
10362,Mt1,0.35590883902415205,1.3692206992777194e-11
7187,Scnn1a,0.35316933255969146,2.007970233509666e-11
16238,Tekt5,0.3531038058617879,2.026352864788763e-11
2150,Btbd3,0.35212879326057406,2.3200537078999633e-11
171,Pantr1,0.3513374636369796,2.588562917562317e-11
15378,Ckb,0.3512137037619398,2.6332069160936137e-11
4764,Rspo1,0.3495336600847879,3.318766096692841e-11
10315,Cbln1,0.34850995853854316,3.818718007126812e-11
18240,Pygm,0.34690287848740703,4.7549177249585345e-11
779,Rgl1,0.3443155869546807,6.750164683843869e-11
614,Lypd1,0.3442079305510544,6.848822684791075e-11
9276,Hcn2,0.3411233675726452,1.0354889136645689e-10
13426,Hlf,0.3409197763917146,1.0639609169111968e-10
16410,Bcl6,0.33753706617307677,1.664971539376443e-10
9213,Chchd10,0.3368330582953344,1.8263613186246074e-10
13231,Coro6,0.33521941187876064,2.2557972473106466e-10
7608,Atp1a3,0.3343349703310074,2.531295837874319e-10
16675,Tiam1,0.32903549475241956,5.010379422619445e-10
3433,Kcnab1,0.3281149604619575,5.633790738428278e-10
4792,Ncdn,0.32769133925629457,5.945400257751858e-10
976,Kcnj10,0.32739995479912276,6.169389903178618e-10
18700,mt-Nd2,0.3270599226636909,6.441148156222214e-10
14819,Vsnl1,0.32390204881682777,9.587865087162454e-10
10359,Mt3,0.32317020857599527,1.0506917560733738e-09
16370,Camk2n2,0.32199428997595464,1.2165454164479516e-09
18699,mt-Nd1,0.319363540189387,1.684772666985367e-09
419,Serpine2,0.3190974902494703,1.7408706451121763e-09
5415,Fndc4,0.3184917889878714,1.875427440595798e-09
4441,Whrn,0.31792828507521237,2.009632643980981e-09
12738,Ccng1,0.3158273883521033,2.5970310624057967e-09
5183,Mmel1,0.3156727599243476,2.64630117862659e-09
15653,Efr3a,0.3146545270566079,2.994129011874106e-09
9866,Zmat4,0.3122883901421748,3.982145373631986e-09
16375,Clcn2,0.31222284066013234,4.013585934529783e-09
15368,Amn,0.3107762683085412,4.771932124173047e-09
14622,Sv2c,0.30996326593261797,5.257253290072651e-09
6082,Cdk2ap1,0.30862984822210265,6.158480636823633e-09
9954,6430573F11Rik,0.30835953680424394,6.358602948823871e-09
8978,Tspyl4,0.30829831114964873,6.404797756789896e-09
10414,Cdh8,0.30812102303599925,6.540402103891318e-09
15897,Ndufa6,0.307942313769252,6.679905195988953e-09
11662,Vsig2,0.30665537327709164,7.773117296741106e-09
8758,Eps8l2,0.30526198578387237,9.151803705771985e-09
5724,Prdm8,0.30465203005844554,9.827234795994756e-09
9441,Nt5dc3,0.3017780303090576,1.3714753819581794e-08
8707,Kndc1,0.3014095632518291,1.4309789597680395e-08
665,Tmcc2,0.30086689244443343,1.5231831264463756e-08
16744,Pcp4,-0.7332642303541198,1.4018067798624623e-58
13712,Myl4,-0.7027561664426653,6.454977488935276e-52
19,3110035E14Rik,-0.7004039930339618,1.9426316330841947e-51
6614,Trbc2,-0.68148516624976,9.403295970894795e-48
7663,Ttc9b,-0.6811738143470609,1.075461043706319e-47
17778,Egr1,-0.6643039857588844,1.2201544342144817e-44
18333,Tmem132a,-0.6591157159409582,9.68923243725257e-44
14597,Homer1,-0.6568263322241045,2.386228616399175e-43
1579,Rprm,-0.6501930275353729,3.1100938495252677e-42
15418,Ighm,-0.6468610753014035,1.10261421815533e-41
