,gene,score,p-value
6779,Nap1l5,0.5122328209956778,2.4381252935092525e-25
2646,Pcsk1n,0.4834806419728142,2.2658520692569415e-22
9234,Zwint,0.4710255987941732,3.6014673281924845e-21
6840,Tmsb10,0.4567807347160098,7.438089175685153e-20
16625,Gap43,0.4419176821611228,1.5114696591569294e-18
3050,Bex2,0.4384248249802618,3.003172151356253e-18
2023,Ctxn2,0.41977051498171636,1.0303728873277753e-16
6386,Tmem130,0.4194993426304368,1.0829799260678532e-16
8095,Snrpn,0.4159630591727368,2.0646995521862204e-16
15131,Rtn1,0.41437850382566505,2.750160534368831e-16
12396,Wdr6,0.41190020753352224,4.293043599628964e-16
5623,Uchl1,0.4076277450518283,9.171644727510846e-16
395,Resp18,0.4003063198587388,3.2849232509987878e-15
6673,Cntnap2,0.3901845605037243,1.821142760993069e-14
13120,Chd3os,0.38539762580728876,4.0116920383604324e-14
420,Scg2,0.38345676843330445,5.505593333823201e-14
2156,Snap25,0.3807560827565984,8.522977770087521e-14
10630,Vat1l,0.3786794328918025,1.1894244254530917e-13
17780,Impact,0.3778796143875043,1.3514844563905903e-13
2711,Zcchc12,0.3769370153333892,1.5703378734005153e-13
5394,Dpp6,0.37553991114626817,1.959825254387371e-13
4641,Rnf11,0.37361799078629965,2.65359326629614e-13
15425,Meg3,0.37240065171122533,3.211814896124537e-13
7727,Eid2,0.371885663101491,3.481152634507116e-13
10171,Tmem59l,0.3694137134253064,5.113619215100302e-13
1900,Scg5,0.36911309872583753,5.357236005169699e-13
10588,Calb2,0.36860148016668765,5.798185285229203e-13
8749,Stk32c,0.36603494234344924,8.603981765716699e-13
8959,Ahi1,0.36345309462155284,1.2752487403359767e-12
17631,Dpy30,0.36330637135478383,1.3039491761889114e-12
3047,Gprasp2,0.36154820510129243,1.7009857284292955e-12
14893,Vsnl1,0.361403541937525,1.7384719176958153e-12
13212,6330403K07Rik,0.3597285809582685,2.2357979095839717e-12
2517,Gnas,0.35744676470749537,3.142382894321238e-12
12713,Mdh1,0.35716403967425764,3.2771265065910343e-12
15416,Evl,0.3560419353775451,3.869762560288944e-12
11700,Ddx25,0.3535254318982064,5.604719049672005e-12
