,gene,score,p-value
4720,Ncdn,0.8359286662872321,7.982006611193452e-67
592,C1ql2,0.787922983981248,2.3536957281717973e-54
12342,Camk2b,0.749720165894852,1.5162717379257358e-46
1352,Olfm1,0.7391333712767976,1.2554728899944468e-44
12358,Adcy1,0.7308082143013263,3.4897376537682642e-43
1343,Fam163b,0.7121540288629142,3.896608555846518e-40
132,2010300C02Rik,0.7114808330769009,4.967462152679891e-40
15850,Ppp1r1a,0.696776017310107,8.439376858769801e-38
11119,Dgkh,0.6942660244819583,1.965797773877346e-37
3195,Bhlhe22,0.6934281157745693,2.601901601756222e-37
15729,Ddn,0.6758593736672638,7.50599786591478e-35
3962,Ppp3ca,0.6696282827763512,5.099031736586611e-34
2996,Bex2,0.6655010427819572,1.768460327347577e-33
6598,Wipf3,0.6630508119696473,3.665944166842221e-33
11028,Ptk2b,0.6614019541102689,5.964270640445984e-33
13907,Dsp,0.6592640983459902,1.1159176472121165e-32
14028,Cplx2,0.6578692587505311,1.6747564405988862e-32
1663,Chn1,0.652184405236198,8.569766692553539e-32
1263,Nsmf,0.6477865918535279,2.95878836884736e-31
15406,Grina,0.6327763232783153,1.7492131711756847e-29
12705,Rnf112,0.632455183370099,1.9040877540182342e-29
10902,Cpne6,0.6320014709021146,2.1461864003643026e-29
15882,Rogdi,0.6297882476743615,3.837057212942899e-29
6104,Orai2,0.6275644176523028,6.846943169721988e-29
12911,Camkk1,0.6257478181924063,1.0950595698625506e-28
12965,Abr,0.6221259595620962,2.767359219078224e-28
5987,Pitpnm2,0.6205902850065704,4.085057348975163e-28
4121,Calb1,0.618769444780725,6.464438265117999e-28
17949,Syt7,0.6177184359051046,8.413874497412364e-28
8556,Caly,0.6153553108476331,1.5163360588781482e-27
12324,Rasl10a,0.6119918637572206,3.476748258485685e-27
2113,Btbd3,0.6090636035469102,7.102809420312275e-27
13462,Limd2,0.606937711773347,1.1875843913477234e-26
8128,Dgat2,0.6065849813756625,1.2928307180181097e-26
15849,Pde1b,0.60562172039967,1.629351156652546e-26
18210,Kcnip2,0.6036800892061941,2.5912059120811524e-26
10497,Pgbd5,0.5975484705024872,1.0985975614863762e-25
11104,Kctd4,0.5950650005168481,1.9548775854148248e-25
15212,Sema5a,0.5942442626929374,2.362418776233767e-25
5636,Prdm8,0.5930150323980725,3.1339061102041223e-25
7387,Pnmal2,0.5878672393830854,1.0101779748320787e-24
13266,Neurod2,0.5875842746164102,1.0766555697751086e-24
6052,Auts2,0.5868431826204289,1.2718628951531426e-24
14060,Dbn1,0.5859488076615753,1.5542632686535845e-24
4153,Epha7,0.5859212100755582,1.5638945033261425e-24
11134,Pcdh8,0.5841176627628837,2.3387540671258896e-24
9362,Ppfia2,0.5797746866280529,6.101315024633928e-24
16039,Fam131a,0.578862388886009,7.449288129289061e-24
616,Lct,0.577467077890513,1.0096739319193759e-23
6213,Slc29a4,0.5758475446145438,1.434435401526226e-23
17803,Cnih2,0.5742636582511914,2.0184109178703446e-23
6450,Plxna4,0.5734854619348443,2.3855749776321896e-23
16617,Cacna1h,0.5707130886312696,4.3113815670531487e-23
18044,Rfx3,0.5695584118031276,5.507461000484058e-23
13648,Nptx1,0.5684808707951182,6.915235998564777e-23
1772,Chst1,0.5679050430230638,7.807038091886709e-23
3242,Slc7a14,0.5633673769500757,2.013871680382503e-22
11307,Icam5,0.559330840941933,4.62226130085775e-22
14342,Enc1,0.5588494205527978,5.099893162836816e-22
13439,Nsf,0.5552326982227754,1.0621701406174712e-21
15928,Mkl2,0.553451380473135,1.5195296767828248e-21
4400,Nfib,0.5529921491842573,1.6659080232918622e-21
11914,Rasgrf1,0.551803690137732,2.1121872694700887e-21
8672,Syne1,0.5513924198292988,2.2924955188917906e-21
9146,Plk5,0.5507536417433054,2.6029599600649014e-21
