,gene,score,p-value
1320,Ptgds,0.6452534122660141,5.945556316027277e-35
18630,Scd2,0.6240354160294855,3.636223473740906e-32
18150,Mbp,0.6237052050988301,4.00249233894977e-32
10744,Agt,0.6102636631686258,1.809760455991172e-30
8347,Plekhb1,0.5886730853070329,5.712509270560265e-28
3072,Plp1,0.5791132514631403,6.379582103337221e-27
5561,Qdpr,0.5728330231666036,2.983526230007266e-26
9261,S100b,0.5725111985290204,3.226072011133042e-26
5811,Sparcl1,0.5323595467762856,2.9294136877056077e-22
13647,Cnp,0.5238447184193358,1.7380365982589424e-21
12504,Mobp,0.4973764560124827,3.233370200240875e-19
11859,Cryab,0.4942623251440276,5.806872229839026e-19
2069,Mal,0.4686097445919536,5.792596532365784e-17
13445,Sept4,0.45934894079466027,2.7815055727733044e-16
318,Crygb,0.4414814116500676,5.034691831300898e-15
7607,Apoe,0.4391272010771032,7.282076545870263e-15
15496,Selenop,0.43430809256510994,1.5364237602991434e-14
15670,Enpp2,0.4342849116854167,1.5419076174109817e-14
16863,Qk,0.43235853968565663,2.0712521499863724e-14
11149,Cmtm5,0.4248270999595295,6.450718456676329e-14
16752,Olig1,0.41908270160186645,1.5057297962162642e-13
3801,Tspan2,0.4186007878925826,1.6155262509967216e-13
10425,Pllp,0.41728238698781805,1.957441549990074e-13
17355,Mog,0.41407372765105804,3.1123219329188793e-13
722,Csrp1,0.40765799538010045,7.751571495726465e-13
315,Cryge,0.406006752519318,9.772932773463873e-13
6341,Gna12,0.40444348414248843,1.2155940689318988e-12
2020,Gatm,0.39517845868124046,4.328711951074973e-12
317,Crygc,0.3913460096498067,7.236741414427237e-12
6467,Gng11,0.38921536911065424,9.602414359350323e-12
7088,Slc6a11,0.38028309400995225,3.0748192526223154e-11
9316,Hcn2,0.3731858037923721,7.561711975758252e-11
7835,Mag,0.3715971760986489,9.2215546427356e-11
18632,Scd1,0.36966643952203293,1.1719728875984747e-10
7806,Aplp1,0.3673833420724468,1.552900935997852e-10
12924,Sparc,0.3670868643242549,1.6104432680035796e-10
316,Crygd,0.35875821295523946,4.408576073699775e-10
8603,Sez6l2,0.35358136297989895,8.125347713181101e-10
2491,Bcas1,0.35254401460914087,9.172290257771754e-10
18378,Fth1,0.34985251960789393,1.2535980219334346e-09
5933,Crybb3,0.34829067726235885,1.500744462140359e-09
17164,Cryaa,0.3456669792802223,2.025927289198614e-09
3199,Gpm6b,0.3453901689937922,2.0907528177519934e-09
319,Cryga,0.34334354859116833,2.6364807779125367e-09
17546,Tubb4a,0.3409293433474409,3.458622699096575e-09
324,Crygf,0.34020347184511845,3.7510129511301644e-09
14195,Serpinb1a,0.3401882409921894,3.75739748034032e-09
5932,Crybb2,0.33734981073982245,5.150303167800199e-09
11699,Fez1,0.32770049175972293,1.4693619531629509e-08
3412,Rnf13,0.3264435805522752,1.6798889074969107e-08
13294,Cryba1,0.3217760519922408,2.7474136924582462e-08
15944,Desi1,0.3174135811197372,4.318655773944639e-08
8832,Cd81,0.3127173903919358,6.971365010817266e-08
4961,Stmn1,0.30982304298876734,9.326321735686489e-08
16455,Crygs,0.3097650969253974,9.380522301292698e-08
3724,Car14,0.30793791222307487,1.1253964155009603e-07
11337,Lgi3,0.30730450732292025,1.1983769459886534e-07
377,Cryba2,0.30463000112446115,1.559936456122412e-07
16286,Abat,0.3041721113721328,1.6315401910484483e-07
18584,Opalin,0.3038790348630193,1.679018821798475e-07
10577,Calb2,0.30207841715645944,2.001219623009791e-07
17823,Bin1,0.3016610039788656,2.08398612432476e-07
3548,Bcan,0.3004990841835325,2.3320695865288867e-07
10408,Mt3,-0.6841845252335618,1.1034202165298415e-40
12517,Cck,-0.6607906711819495,3.885121974915511e-37
16119,Ddn,-0.6260009939489535,2.0488827105672213e-32
8781,Ifitm3,-0.62054554210523,9.96888025698928e-32
1468,Lcn2,-0.6066913339970446,4.834499119037205e-30
6715,Npy,-0.6027904278402858,1.3938418935973302e-29
16467,Sst,-0.6022735816603124,1.6020247443818454e-29
3653,S100a6,-0.6008323674086209,2.3586806445617287e-29
15522,Slc1a3,-0.5996127095119751,3.2672282653321324e-29
8461,Dkk3,-0.5932795952982893,1.7351520780805265e-28
1921,Rasgrp1,-0.592199047849772,2.2986348543408424e-28
17847,Egr1,-0.5885073674153952,5.960595354826089e-28
16345,Cebpd,-0.580705762289759,4.291476944713271e-27
15352,Ifi27l2a,-0.5799445819267096,5.1882955767042824e-27
11710,Nrgn,-0.5797724865463035,5.4153772576367644e-27
1962,Itpka,-0.5788357036157258,6.834471969571755e-27
695,Chil1,-0.5778332925765267,8.75997444306178e-27
10411,Mt1,-0.5771947104044954,1.0256094431512874e-26
2704,Timp1,-0.5766750803653649,1.1657211325872641e-26
15980,Mpped1,-0.5762779142324814,1.2853875338378397e-26
1234,Vim,-0.5743157735335624,2.0790024817659299e-26
9810,Ctxn1,-0.5681333127457701,9.262904503548567e-26
13735,Gfap,-0.5664610697067696,1.380149036670744e-25
11181,Tgm1,-0.5593444496613867,7.345869806243088e-25
10332,Junb,-0.5563827334270375,1.4558613872202577e-24
17259,C4b,-0.5538372785221124,2.6066623398160493e-24
3405,Dclk1,-0.5519230965277737,4.0261724600500204e-24
13366,Ccl12,-0.5514958963593939,4.434700172730857e-24
15362,Serpina3n,-0.5484385849722555,8.820463139968466e-24
10410,Mt2,-0.5429468074072213,2.980493396314568e-23
14207,Tubb2b,-0.5423069429541445,3.4298166057754464e-23
15865,Lgals1,-0.5352556067593133,1.580364722982916e-22
12655,Adcy1,-0.5315950364742479,3.4443342866593457e-22
8462,Mical2,-0.5279044385690019,7.483303621994089e-22
3662,S100a11,-0.5278380368736072,7.587851610003755e-22
10240,Hmox1,-0.5244465779219792,1.5350193004983836e-21
15977,Tspo,-0.5234452013121002,1.887159790981184e-21
3205,Tmsb4x,-0.5222221070256653,2.426392691664322e-21
14998,Foxg1,-0.5191595917010785,4.5325445727400316e-21
1384,Olfm1,-0.5145741391106363,1.1417853188507935e-20
4946,Cd52,-0.5105746439601859,2.5271958508244228e-20
14339,S1pr3,-0.5104658344358123,2.5820406442033696e-20
5869,Fgfrl1,-0.5091718633368131,3.331128970132602e-20
16434,Fam131a,-0.5085820133747956,3.7399416944989375e-20
8004,Ftl1,-0.5055600129563363,6.743868743806894e-20
4779,Pou3f1,-0.505124993733219,7.337667253129752e-20
20,3110035E14Rik,-0.5039916434904103,9.136785592885018e-20
5661,Rasl11b,-0.5013331105252582,1.5233667249767321e-19
803,Ier5,-0.5008692831219361,1.6647158387089595e-19
13612,Igfbp4,-0.5006384692293653,1.7397815519038206e-19
13975,Baiap2,-0.49757961766851416,3.1115425921956552e-19
5980,Dynll1,-0.49555670132463986,4.555793187231357e-19
7704,Ttc9b,-0.49404965198181927,6.042460188749516e-19
12069,Anxa2,-0.49387640565461866,6.241292232210511e-19
9631,Lyz2,-0.49201865117057936,8.82165201515752e-19
3652,S100a4,-0.48856672443183885,1.6686429332723051e-18
7407,Prkcg,-0.4882702668635493,1.761939962093379e-18
8054,Ldha,-0.4862181519548472,2.5639984207920865e-18
18239,Cnih2,-0.4848429228415382,3.2922491588136836e-18
16548,Kalrn,-0.48413475732777295,3.742936005315683e-18
14637,Thbs4,-0.48306959542292266,4.537101270488868e-18
14763,Plk2,-0.48145845360067624,6.062151054454512e-18
17279,Clic1,-0.4806723092244578,6.978998703081357e-18
7041,Itpr1,-0.4804664444197142,7.240766869001864e-18
18217,Sptbn2,-0.4798194236661334,8.12783129464079e-18
2870,Flna,-0.4794542465929808,8.674711018004691e-18
16182,Nr4a1,-0.47615150568331394,1.5577588684915285e-17
18019,Camk2a,-0.4742444108998506,2.1780243184756083e-17
13754,Rprml,-0.47268598617735824,2.8598296228091413e-17
9559,Atp2b1,-0.47240809131033307,3.0017041021567355e-17
4125,St6galnac5,-0.47209706932816975,3.168688917827657e-17
852,Prdx6,-0.4702802776839994,4.342534399968998e-17
11287,Clu,-0.46926286126977174,5.1764669577712495e-17
6746,Wipf3,-0.46530624390391445,1.0193322108194609e-16
5896,Galnt9,-0.4635888861975827,1.3641668253514805e-16
17304,H2-D1,-0.4622855215308468,1.699959890825294e-16
10198,Bst2,-0.46146641642372005,1.9511585839669882e-16
9751,Rpl41,-0.45973707537829106,2.6069564558341e-16
1453,Fibcd1,-0.45906661161985607,2.915620538358825e-16
18703,Add3,-0.45870870119546536,3.094780063236996e-16
11064,Lgals3,-0.4563624532868726,4.567277482951806e-16
5299,Steap4,-0.45620299535679076,4.689191360537147e-16
10691,Cyba,-0.4556705421652535,5.119840021705656e-16
1702,Chn1,-0.4545138939350809,6.193256180245044e-16
1545,Nek6,-0.4538006624317078,6.96203126812258e-16
15669,Nov,-0.4530804933884371,7.832976972457881e-16
3947,Cnn3,-0.45087425575712925,1.1220191810027806e-15
1025,Zbtb18,-0.4505945433385719,1.1741056508921692e-15
4038,Ppp3ca,-0.4503920613256246,1.2132815770124123e-15
11810,Tagln,-0.44986369442985985,1.3216403723769612e-15
16839,Ezr,-0.44831679490925364,1.696340230827305e-15
5737,Cxcl10,-0.4480258001699316,1.7776373434929794e-15
8818,Ctsd,-0.44732205057339985,1.990353163191166e-15
6901,Egr4,-0.44719566802237787,2.0311098376524198e-15
14866,Fam49a,-0.4461507064742102,2.400939714673762e-15
7522,Selenow,-0.4460069997478209,2.4567025085230357e-15
7843,Fxyd1,-0.44593768054986993,2.4840521452228633e-15
6705,Tmem176a,-0.4447003199553249,3.025541470246606e-15
3812,Olfml3,-0.44455632605607737,3.0956146726553517e-15
3455,Ptx3,-0.4427444525451346,4.125423345586215e-15
4348,Glipr2,-0.44205897059473764,4.596857164145268e-15
12679,Ppp3r1,-0.4410124043984317,5.420051770338131e-15
18668,Psd,-0.4406256365656561,5.759441555797862e-15
13355,Cdk5r1,-0.4405085469167034,5.866230065345773e-15
