,gene,score,p-value
2049,Lamp5,0.4319172723968477,3.3449281620481843e-18
5589,Cplx1,0.42557108958202583,1.1534240770358393e-17
12069,Mdh1,0.41181751741136685,1.5447452639128028e-16
843,Atp1b1,0.39808871426303377,1.8328412863342318e-15
9945,Ndrg4,0.3833857813969333,2.289147674709032e-14
9681,Rab3a,0.3772064627231646,6.373417590668081e-14
14366,Rtn1,0.36078195437003524,8.736169061535849e-13
14044,Rab3c,0.356750644307204,1.6240058398892028e-12
3187,Trpc3,0.3559272208743049,1.841283086795098e-12
13672,Sncb,0.35419199107890326,2.3962068663072976e-12
6192,Asns,0.35320773770270125,2.780393115872904e-12
2052,Snap25,0.34883844793290397,5.346922604619221e-12
9556,Slc25a4,0.3388756542176023,2.2878130461147462e-11
14140,Vsnl1,0.333442960497103,4.946511856474319e-11
12455,Kcnab3,0.3273307412150609,1.1568550773549427e-10
6888,Gapdh,0.32692675366698826,1.2228658255910136e-10
2588,Slc25a5,0.32584233317473654,1.4187121770124117e-10
4424,Bend5,0.32512429382271296,1.5648478342085232e-10
15825,Plcxd2,0.32301565163167173,2.0838361090148132e-10
12154,Gabra1,0.31898365547179275,3.581362537352703e-10
1989,Pdyn,0.3186076390456105,3.765333173296881e-10
9135,Syt1,0.3185461672413625,3.7962700623837417e-10
2906,Tceal6,0.3157719568250901,5.481447907862671e-10
14648,Meg3,0.31502450340123245,6.047828679257443e-10
16910,Osbpl1a,0.3119924389821227,8.98703565325925e-10
7295,Atp1a3,0.3113945706383916,9.711939443474268e-10
9648,Hapln4,0.31020334271579664,1.1329392761269147e-09
14241,Tspan13,0.30948585472203155,1.2426753548555194e-09
3076,Stmn2,0.309050741897201,1.314178201620973e-09
12119,Nsg2,0.3081801498512951,1.46942970606237e-09
9515,Gm19410,0.3073347837531927,1.6371426130382987e-09
875,Rgs4,0.30702822541000857,1.7024361481841392e-09
2318,Slc12a5,0.3068716474447733,1.7367535269272218e-09
9063,Slc25a3,0.305500506399427,2.0673751063432635e-09
17516,Fth1,-0.5902436635999733,5.165967393830762e-36
17295,Mbp,-0.566551307404966,1.0328149380890811e-32
11886,Mobp,-0.42418904733008156,1.505119544942997e-17
11388,Rplp1,-0.4123826106063646,1.391775689871745e-16
14328,Rps29,-0.407966476550782,3.1276234562970383e-16
10374,Rps24,-0.4051749499139559,5.185905822017994e-16
2896,Rpl36a,-0.3890871319594302,8.728846121975622e-15
9285,Rpl41,-0.38426456679372906,1.9754406960511794e-14
15702,Apod,-0.3798120149618417,4.149636115573655e-14
2927,Plp1,-0.3636151612411494,5.620776411518672e-13
8437,Bc1,-0.3633207703992434,5.885527044504496e-13
2446,Rps21,-0.34633071565733287,7.746918542589805e-12
3965,Rps20,-0.34385337813078515,1.1137788167994173e-11
16373,Rps28,-0.3406236972074601,1.7793861697878163e-11
7102,Rpl28,-0.33232471602036817,5.786526342620827e-11
11265,Cryab,-0.33201795409134083,6.040271427885968e-11
8364,Ifitm3,-0.32916659748738936,8.980753142193187e-11
10191,Rpl13,-0.321792410757336,2.458012197177025e-10
8538,Rps12,-0.31949834245698505,3.3436520529743894e-10
14746,Rpl37,-0.3189511621908228,3.5969089028015817e-10
12102,Rps27a,-0.3155598865036829,5.636682080504089e-10
15730,Rpl35a,-0.3149883446543043,6.076623479931185e-10
11664,Trf,-0.31226662630600316,8.672433648646426e-10
2594,Rpl39,-0.31169799707768514,9.337217815344263e-10
187,Col3a1,-0.3050343641314899,2.193103911562179e-09
6117,Rpl21,-0.3025037858979636,3.016238105369467e-09
338,Rpl37a,-0.3008075148319051,3.7282004478171594e-09
