Unnamed: 0,gene,score,p-value
4705,Hpca,0.759402662,1.28E-71
2302,Nnat,0.730932498,1.58E-68
7738,Slc17a7,0.715314752,5.06E-60
5460,Uchl1,0.713631585,1.27E-59
10790,Cpne6,0.712109418,2.90E-59
5309,Ywhah,0.707928132,2.72E-58
7295,Selenow,0.70479645,1.42E-57
2517,Stmn3,0.684741836,3.38E-53
855,Atp1b1,0.683592218,5.87E-53
13742,Tubb2a,0.676491107,1.69E-51
12301,Cpne4,0.67645512,2.34E-53
439,Itm2c,0.674470816,4.33E-51
6586,Snca,0.67067759,2.48E-50
8328,Aldoa,0.668781886,5.86E-50
7008,Gapdh,0.667831987,9.00E-50
543,Bok,0.662993478,1.33E-50
15921,Nptxr,0.659275251,7.27E-50
7844,Snrpn,0.657082034,1.04E-47
2142,Chgb,0.653466768,9.80E-49
5800,Dynll1,0.650599613,1.66E-46
12605,Ubb,0.649282057,2.90E-46
4681,Ncdn,0.646083513,1.10E-45
3131,Stmn2,0.645341824,1.50E-45
2439,Gnas,0.641296848,7.90E-45
9844,Rab3a,0.64117556,8.30E-45
8255,Crym,0.636886756,4.70E-44
13307,Nsf,0.635928092,6.90E-44
6886,Syn2,0.635446402,8.37E-44
1414,Dnm1,0.629340994,9.31E-43
15637,Ncald,0.629113118,2.94E-44
