Unnamed: 0,gene,score,p-value
1352,Olfm1,0.8852463304449272,9.558445925061828e-87
11433,Nrgn,0.8817838117019297,3.3600957218683843e-85
3962,Ppp3ca,0.8741795171223256,5.725940655661223e-82
9584,Ctxn1,0.8607196982876686,9.841282177534155e-77
6598,Wipf3,0.8573012589016205,1.7201707185017487e-75
1663,Chn1,0.8551471972898169,1.0046328364596463e-74
11028,Ptk2b,0.8522167313215074,1.0592198026496502e-73
132,2010300C02Rik,0.8446537675664746,3.680245686972571e-71
11307,Icam5,0.8373082503406589,8.071505212377715e-69
3145,Tmsb4x,0.8358658923446488,2.254006822749629e-68
13652,Baiap2,0.8348329355495998,4.674228786100466e-68
16039,Fam131a,0.8277465163833793,6.099314266029745e-66
10902,Cpne6,0.8251439727502147,3.4521305107450308e-65
12358,Adcy1,0.8197897952834162,1.1176301386864715e-63
5849,Dynll1,0.8176826474979638,4.2554875535751287e-63
6638,Snca,0.8147653737849678,2.6335943881203e-62
13648,Nptx1,0.8131074536888091,7.314990098156479e-62
13266,Neurod2,0.8122958030428437,1.2017225920718097e-61
18210,Kcnip2,0.8111182931759874,2.4587646447773976e-61
4720,Ncdn,0.8029413344946158,3.098977935187652e-59
15850,Ppp1r1a,0.8026465138750625,3.673685543431006e-59
7799,Slc17a7,0.7991712855607757,2.671094075546386e-58
14342,Enc1,0.7909960197887725,2.4453148501267433e-56
12342,Camk2b,0.7892596151757978,6.218722747625053e-56
16147,Kalrn,0.7851651251538273,5.4274175804117346e-55
13462,Limd2,0.7800244988687238,7.710681470145832e-54
1917,Itpka,0.7776244326858449,2.5976412382706033e-53
12324,Rasl10a,0.7767669500067749,3.9943118994725726e-53
17803,Cnih2,0.7767455836523898,4.037267425393422e-53
16119,Ddn,0.7733331523754159,2.154432214353503e-79
