Unnamed: 0,gene,score,p-value
1352,Olfm1,0.8424741144534067,9.039462208767611e-110
10211,Ndrg4,0.7824485957088047,1.6444922738265775e-84
4720,Ncdn,0.7653508249236093,9.421371200579277e-79
2109,Snap25,0.7618791896596422,1.212042481792779e-77
17262,Calm2,0.7418267603583439,1.3759830257093781e-71
12149,Arpp21,0.7155050202891833,1.9143283624488938e-64
15519,Nptxr,0.7077837319567104,1.6813208533659036e-62
7537,Ttc9b,0.7064483227525599,3.5922943056864246e-62
4930,Camk2n1,0.6998684683845593,1.4230407170348126e-60
1663,Chn1,0.6994561257540516,1.786056363668955e-60
5323,Slc30a3,0.6674053683978345,2.7393036147870717e-53
7799,Slc17a7,0.6550462661717197,9.438134365502448e-51
14264,Mef2c,0.646558061814029,4.46144487943541e-49
864,Atp1b1,0.6399360823057203,8.304783130190895e-48
3962,Ppp3ca,0.6383265599623923,1.6721575251939008e-47
14959,Calm1,0.6330229426779573,1.629807247035479e-46
2291,Ndrg3,0.6287131097721379,1.0037596775689504e-45
15243,Ncald,0.6250309911393885,4.63835112284185e-45
1437,1110008P14Rik,0.6209738839888952,2.446676138819395e-44
383,Tuba4a,0.6209505581546643,2.4700070064256343e-44
12435,Rtn4,0.6208602101645667,2.5624741359313216e-44
7356,Selenow,0.6208512547230222,2.5718244323607414e-44
15729,Ddn,0.619431403530709,4.574973360638947e-44
10186,Cx3cl1,0.6192887612156645,4.846724702521641e-44
13652,Baiap2,0.6183377776007749,7.115264025806058e-44
7064,Gapdh,0.6181390054860454,7.708521118017897e-44
5354,Ywhah,0.6176366405204647,9.435422165419514e-44
1435,Dnm1,0.6168203891238352,1.3093834178625909e-43
2184,Fkbp1a,0.6124263457789058,7.51639296700333e-43
8398,Aldoa,0.6061348662920808,8.753179489982344e-42
