Unnamed: 0,gene,score,p-value
10393,Prkcd,0.8511959,3.17E-127
15935,Pcp4,0.842581855,3.27E-122
11876,Cck,0.83411529,1.44E-117
1821,Rasgrp1,0.819598385,3.44E-110
9093,Atp2b1,0.804662676,2.92E-103
12008,Ramp3,0.80220738,3.52E-102
4200,Ptpn3,0.795598768,2.42E-99
9978,Ndrg4,0.791827612,1.26E-63
7092,Tnnt1,0.788106145,3.00E-96
8822,Adarb1,0.783907294,1.43E-94
7064,Prkcg,0.781914783,8.69E-94
5784,Atp2a2,0.779684351,6.40E-93
1223,Nsmf,0.775845195,1.89E-91
11446,Rora,0.768326465,1.18E-88
873,Rgs4,0.765640359,1.10E-87
3708,Ntng1,0.764345223,3.22E-87
5365,Gabra4,0.760484544,7.49E-86
4969,Gabrd,0.758387713,4.04E-85
3761,Synpo2,0.757489473,8.27E-85
3974,Pdp1,0.753997456,1.30E-83
571,Ptpn4,0.751159079,1.18E-82
6525,Lrrtm1,0.735486872,1.37E-77
10945,Amotl1,0.719722717,7.57E-73
11264,AI593442,0.717330651,3.72E-72
17781,Tcf7l2,0.715739582,1.06E-71
6248,Ccdc136,0.704240312,1.70E-68
4582,Dlgap3,0.695714375,3.21E-66
11160,Thy1,0.693549803,2.41E-43
520,Bok,0.690548196,7.05E-65
856,Ildr2,0.69005958,9.41E-65
