Unnamed: 0,gene,score,p-value
4714,Ncdn,0.916222019,3.47E-80
3950,Ppp3ca,0.892861276,3.54E-70
11018,Ptk2b,0.87843824,4.28E-65
13411,Nsf,0.867916857,8.85E-62
1344,Olfm1,0.867156997,1.50E-61
11416,Nrgn,0.865896147,3.56E-61
1657,Chn1,0.862986143,2.54E-60
12685,Rnf112,0.842037886,1.04E-54
12324,Camk2b,0.83548475,4.05E-53
859,Atp1b1,0.817671692,3.95E-49
17232,Calm2,0.804709913,1.72E-46
13865,Nrn1,0.798354253,2.87E-45
12706,Ubb,0.796135222,7.49E-45
11712,Map2k1,0.782757799,1.91E-42
13246,Neurod2,0.77852597,1.02E-41
5849,Dynll1,0.775893102,2.82E-41
15933,Mapk1,0.773496067,7.06E-41
12364,Ppp3r1,0.767069761,7.84E-40
6628,Snca,0.76413874,2.29E-39
3133,Tmsb4x,0.763960713,2.44E-39
4771,Adgrb2,0.763273918,3.13E-39
6588,Wipf3,0.755492538,4.95E-38
1693,Nckap1,0.754349305,7.36E-38
16013,Fam131a,0.751422765,2.01E-37
9460,Arhgef25,0.748687823,5.09E-37
10893,Cpne6,0.747821124,6.81E-37
8830,Wasf1,0.747195127,8.39E-37
11891,Rasgrf1,0.745146529,1.66E-36
13434,Limd2,0.740056361,8.79E-36
2179,Fkbp1a,0.737629054,1.92E-35
