Unnamed: 0,gene,score,p-value
17231,Calm2,0.505681005,3.62E-20
12337,Ppp3r1,0.46386718,7.96E-17
18,3110035E14Rik,0.452907436,5.06E-16
7846,Ldha,0.452466448,5.44E-16
11039,Nrgn,0.439831367,1.87E-19
9263,Ctxn1,0.415935656,2.26E-17
1341,Olfm1,0.408267709,4.91E-13
16368,Pcp4,0.404814461,8.02E-13
5477,Uchl1,0.401830032,1.22E-12
2099,Snap25,0.396510957,2.55E-12
11277,Nptn,0.394505764,1.22E-15
8380,Aldoa,0.393007497,4.12E-12
7777,Slc17a7,0.391855635,4.81E-12
12500,Sqstm1,0.390240616,5.98E-12
14913,Calm1,0.37716392,3.35E-11
4641,Hpcal4,0.371642888,6.77E-11
1545,Rprm,0.368808635,9.66E-11
9341,Syt1,0.367177292,1.18E-10
5825,Dynll1,0.363985006,1.76E-10
4383,Sh3gl2,0.359530824,3.03E-10
17948,Tmem132a,0.356980367,4.12E-10
15203,Ncald,0.355473238,4.93E-10
10157,Cx3cl1,0.354436623,5.58E-10
7642,Fxyd7,0.354223641,5.73E-10
6492,Trbc2,0.354087339,5.82E-10
6050,Stx1a,0.353878201,5.97E-10
7510,Ttc9b,0.346440901,1.43E-09
15196,Ywhaz,0.344955398,1.69E-09
9027,Atp2b1,0.34453684,4.65E-12
6614,Snca,0.343542977,1.99E-09
