Unnamed: 0,gene,score,p-value
5325,Ywhah,0.944055944,3.93E-06
12570,Aldoc,0.932352941,1.45E-07
5390,Slc4a4,0.919505408,4.74E-07
12354,Vamp2,0.911764706,8.82E-07
14675,Basp1,0.906549178,1.30E-06
18311,mt-Nd4,0.902097902,6.00E-05
16006,Fam131a,0.89575938,8.12E-05
8366,Bc1,0.891176471,3.62E-06
4090,Calb1,0.888294718,0.00011324
13571,Sncb,0.885945788,4.95E-06
6759,Aak1,0.882702026,0.00014317
4693,Ncdn,0.881118881,0.000152674
15406,2900011O08Rik,0.880307174,6.84E-06
17746,mt-Co1,0.873529412,9.87E-06
10583,Usp54,0.869633064,0.000237308
18308,mt-Co3,0.867132867,0.000259812
5927,Gnb2,0.864705882,1.54E-05
2292,Slc12a5,0.862187644,1.74E-05
1520,Grb14,0.861764706,1.78E-05
5313,Uchl1,0.860927385,1.85E-05
4901,Camk2n1,0.86013986,0.000331668
7650,Ndn,0.855882353,2.34E-05
13603,Nptx1,0.855634265,0.000385575
10989,Stmn4,0.853146853,0.000418118
17749,mt-Atp6,0.85,3.05E-05
4641,Hpcal4,0.84723908,0.000503977
9860,Ndrg4,0.838852324,4.89E-05
2335,Atp9a,0.838235294,5.01E-05
4865,Kif1b,0.835294118,5.64E-05
8524,Marcks,0.835294118,5.64E-05
