Unnamed: 0,gene,score,p-value
17404,Mbp,-0.809143634,6.28E-69
10888,Clu,-0.799812376,1.86E-58
2138,Cst3,-0.769923254,1.16E-51
18085,mt-Nd2,-0.768651451,2.14E-51
18086,mt-Co1,-0.756084008,7.43E-49
7360,Apoe,-0.756000588,7.72E-49
18090,mt-Co3,-0.75109153,6.89E-48
2946,Plp1,-0.747909668,1.54E-53
18084,mt-Nd1,-0.743213991,2.08E-46
18093,mt-Nd4,-0.74196269,3.54E-46
18087,mt-Co2,-0.735617817,4.96E-45
18089,mt-Atp6,-0.734874813,6.72E-45
18096,mt-Cytb,-0.732821832,1.55E-44
18091,mt-Nd3,-0.718431166,4.38E-42
940,Atp1a2,-0.70268457,1.43E-39
11965,Mobp,-0.70039955,2.25E-44
13149,Gfap,-0.697623352,6.79E-44
574,Dbi,-0.690554729,9.56E-38
9983,Mt1,-0.68729904,3.70E-42
18094,mt-Nd5,-0.68351846,9.97E-37
11742,Trf,-0.68122922,3.59E-41
1974,Mal,-0.680954837,3.98E-41
14522,Rps29,-0.667188631,1.80E-34
1250,Ptgds,-0.654653876,4.09E-37
763,Glul,-0.652575745,1.43E-32
9982,Mt2,-0.650916368,1.41E-36
1775,Slc1a2,-0.638023425,8.88E-31
17870,Scd2,-0.630575597,8.89E-34
12845,Aldoc,-0.62944742,9.13E-30
11343,Cryab,-0.625430199,4.21E-33
