Unnamed: 0,gene,score,p-value
18403,Fth1,-0.812902833,1.22E-39
18176,Mbp,-0.755920218,1.98E-31
2292,Slc32a1,-0.733307045,5.10E-51
12516,Mobp,-0.726409186,5.14E-28
3063,Plp1,-0.71756419,4.46E-27
1613,Gad1,-0.714610363,2.19E-47
1225,Gad2,-0.688713272,8.19E-43
11871,Cryab,-0.684118354,7.84E-24
16527,Apod,-0.668933336,1.69E-22
15306,Pvalb,-0.653789344,2.35E-37
6633,Nap1l5,-0.648190193,5.32E-57
387,Resp18,-0.642873191,8.56E-36
7842,Mag,-0.642866643,2.21E-20
2066,Mal,-0.636100329,7.26E-20
15613,Rpl30,-0.634816921,9.07E-20
16254,Rpl24,-0.62647351,2.81E-52
117,Cox5b,-0.620770425,8.06E-33
3240,Car2,-0.614148115,2.83E-18
10646,Rps24,-0.606487296,3.01E-48
2567,Pcsk1n,-0.606406181,5.19E-31
13466,Cygb,-0.598344809,4.91E-30
3296,Cldn11,-0.59714297,3.99E-17
15690,Enpp2,-0.595678354,4.97E-17
4596,Rps8,-0.594268137,6.36E-46
18655,Scd2,-0.593349073,7.05E-17
8352,Plekhb1,-0.59289463,7.54E-17
15529,Rpl37,-0.59087458,1.02E-16
707,Syt2,-0.589315606,4.51E-40
13657,Cnp,-0.586402203,1.96E-16
12001,Rplp1,-0.57479176,1.03E-15
