Unnamed: 0,gene,score,p-value
17823,mt-Nd2,-0.8410497645083675,1.8950361742758252e-107
17831,mt-Nd4,-0.8400480764251761,5.892347588845468e-107
17828,mt-Co3,-0.8379487525190247,6.192659800702858e-106
17825,mt-Co2,-0.8295532697454144,5.4442792740966074e-102
17944,mt-Cytb,-0.8230057816939567,1.1242990913314909e-91
17934,mt-Co1,-0.8109104954156237,5.873729758570029e-87
17827,mt-Atp6,-0.8077468481250616,1.1096836603731472e-92
7289,Apoe,-0.8035191961366858,3.0747955940204262e-84
8432,Bc1,-0.7982846067602343,5.261242519014096e-89
1261,Ptgds,-0.7596955531257465,3.3141648271616204e-70
17822,mt-Nd1,-0.7176328323949748,4.797167604585311e-64
17829,mt-Nd3,-0.6729235262436679,1.1320211701529352e-53
942,Atp1a2,-0.645393318981872,1.2795784171318468e-44
2111,Cst3,-0.6407035819390065,8.419879668967524e-44
9937,Mt1,-0.6388014782696999,1.791129698800867e-43
17942,mt-Nd5,-0.6328752941479318,1.8190071593760102e-42
767,Glul,-0.6324999854340932,2.1030686719134725e-42
10766,Clu,-0.618157945541835,4.651635359039688e-40
16970,Ttr,-0.6177507909287417,5.400206370075259e-40
14367,Rps29,-0.6136717673440978,2.3792952523891317e-39
12698,Aldoc,-0.5967049976597443,9.06348468108754e-37
1761,Slc1a2,-0.5670099689066442,1.3251198806232176e-32
15742,Apod,-0.5461821142816211,6.329646396129752e-30
16566,Gm42418,-0.5404281041923761,3.228523587153298e-29
9639,Cpe,-0.5191473700769663,1.0261882485439186e-26
577,Dbi,-0.5143833786970332,3.528508994443808e-26
14807,Slc1a3,-0.5117532901583235,6.920013576107958e-26
9936,Mt2,-0.5080490877675364,1.7692973015023473e-25
11388,Rplp1,-0.5043486880371958,1.0654350606689324e-18
17830,mt-Nd4l,-0.5015909665875636,1.1015084735695777e-26
