cpd_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[cpd_HYL]up--(Gnas_Gcgr.csv),1,1,1,0.999945385,1,1,0.999990897
IVH_1d-[cpd_HYL]up--(Gnas_Htr6.csv),0.962513521,0.966745155,0.982349012,0.942445949,1.000901693,0.995396039,0.975058562
IVH_1d-[cpd_HYL]up--(Gnas_Lhcgr.csv),0.997643891,1.023390901,0.985980373,1,0.989950151,0.990017506,0.99783047
IVH_1d-[cpd_HYL]up--(Gnas_Ptgdr.csv),1.008052014,1.002787183,0.987649442,1.019653579,0.993289546,0.990640166,1.000345322
IVH_1d-[cpd_HYL]up--(Gnas_Pth1r.csv),1.047454448,1.050944648,1.079133065,1.028033027,1.127540934,1.055082558,1.064698113
cpd_MB,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[cpd_MB]up--(Calm2_ Grm7.csv),1,1,1,1,1,1,1
IVH_1d-[cpd_MB]up--(Calm2_ Mylk.csv),1,1,1,1,1,1,1
IVH_1d-[cpd_MB]up--(Calm2_ Trpc5.csv),1,1,1,1,1,1,1
IVH_1d-[cpd_MB]up--(Calm2_Adcy8.csv),0.763765224,0.816682924,0.756878922,0.812799368,0.851191482,0.806114244,0.801238694
IVH_1d-[cpd_MB]up--(Calm2_Cacna1c.csv),0.689650961,0.717746524,0.637476356,0.741841844,0.75886894,0.708713731,0.709049726
IVH_1d-[cpd_MB]up--(Calm2_Kcnq3.csv),0.587722064,0.633382143,0.556265541,0.62953454,0.637021928,0.638088322,0.61366909
IVH_1d-[cpd_MB]up--(Calm2_Scn10a.csv),1.052322042,1.031892586,1.084223923,1.068997948,1.08023167,1.068160856,1.064304838
IVH_1d-[cpd_MB]up--(Calm2_Scn4a.csv),1,1,1,1,1,1,1
IVH_1d-[cpd_MB]up--(Gnas_Gcgr.csv),1,1,1,0.998738932,1,1,0.999789822
IVH_1d-[cpd_MB]up--(Gnas_Htr6.csv),0.970249775,1.000725588,0.996966564,1.014494442,0.981232824,0.949732198,0.985566899
IVH_1d-[cpd_MB]up--(Gnas_Lhcgr.csv),1.030216013,1.078336124,1.085911095,1,1.072641337,0.99520015,1.043717453
IVH_1d-[cpd_MB]up--(Gnas_Ptgdr.csv),1.057085694,1.039356461,1.044743521,1.07277584,1.010278593,1.022625451,1.04114426
IVH_1d-[cpd_MB]up--(Gnas_Pth1r.csv),0.982207497,1.03189846,1.04182972,1.10401838,0.994685095,1.076799485,1.038573106
IVH_1d-[cpd_MB]up--(Gng3_Kcnj6.csv),0.998058989,0.946700164,0.959598551,0.966586501,0.99644196,0.983749816,0.97518933
fxs_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[fxs_HYL]up--(Calm2_ Cacna1c.csv),1,1,1,1,1,1,1
IVH_1d-[fxs_HYL]up--(Calm2_ Kcnq3.csv),1,1,1,1,1,1,1
IVH_1d-[fxs_HYL]up--(Calm2_Adcy8.csv),0.820958472,0.839782607,0.80719995,0.769410073,0.780888762,0.819084403,0.806220711
IVH_1d-[fxs_HYL]up--(Calm2_Grm7.csv),0.774183995,0.847628242,0.768127932,0.782688845,0.789882186,0.821775857,0.797381176
IVH_1d-[fxs_HYL]up--(Calm2_Mylk.csv),0.882124572,0.91584559,0.864851448,0.913625816,0.915345882,0.922035805,0.902304852
IVH_1d-[fxs_HYL]up--(Calm2_Scn10a.csv),1.054657065,1.067295973,1.018571986,1.072125895,1.053127847,1.035859937,1.050273117
IVH_1d-[fxs_HYL]up--(Calm2_Scn4a.csv),1,1,1,1,1,1,1
IVH_1d-[fxs_HYL]up--(Calm2_Trpc5.csv),1.051298085,1.036290554,1.053948268,1.088283232,1.066138804,1.057346947,1.058884315
IVH_1d-[fxs_HYL]up--(Gnas_Gcgr.csv),1,1,1,0.965978986,1,1,0.994329831
IVH_1d-[fxs_HYL]up--(Gnas_Htr6.csv),0.957450149,0.971705349,0.970241864,0.933029897,0.979936101,0.991507209,0.967311761
IVH_1d-[fxs_HYL]up--(Gnas_Lhcgr.csv),1.001025187,0.982347894,0.979776106,1,0.977338187,0.985353037,0.987640069
IVH_1d-[fxs_HYL]up--(Gnas_Ptgdr.csv),0.976705525,0.989430214,0.980542071,0.980197491,0.98423172,0.988967522,0.983345757
IVH_1d-[fxs_HYL]up--(Gnas_Pth1r.csv),1.074168123,1.071052724,1.089021565,0.999730745,1.0764656,1.066055933,1.062749115
IVH_1d-[fxs_HYL]up--(Podxl2_Sell.csv),0.972197245,0.980428589,0.991001312,0.983860611,0.976377168,1.013280368,0.986190882
fxs_MB,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[fxs_MB]up--(Agt_Agtr1a.csv),0.998336387,0.967161759,0.982605042,1.046976911,1.035814059,0.99996454,1.005143116
IVH_1d-[fxs_MB]up--(Agt_Agtr1b.csv),1,1,1,1.000510128,1,1,1.000085021
IVH_1d-[fxs_MB]up--(Agt_Agtr2.csv),1.007992583,1.025237404,1.064247772,1.058584235,0.936232285,0.9599255,1.008703296
IVH_1d-[fxs_MB]up--(Agt_Lrp2.csv),0.971906817,0.994764874,0.979211304,1.005440653,0.986609375,0.953698411,0.981938572
IVH_1d-[fxs_MB]up--(Agt_Mas1.csv),0.980402633,0.939815726,0.951111729,0.958936435,0.972438295,0.977932181,0.9634395
IVH_1d-[fxs_MB]up--(Gnas_Gcgr.csv),1,1,1,0.966265048,1,1,0.994377508
IVH_1d-[fxs_MB]up--(Gnas_Htr6.csv),0.961641554,1.006659035,0.975737048,0.995222706,0.95121106,0.940493834,0.97182754
IVH_1d-[fxs_MB]up--(Gnas_Lhcgr.csv),1.038803791,1.032883485,1.070698979,1,1.025583348,0.990457188,1.026404465
IVH_1d-[fxs_MB]up--(Gnas_Ptgdr.csv),1.003879395,1.024767007,1.030006916,1.02731786,0.98948929,1.024109497,1.016594994
IVH_1d-[fxs_MB]up--(Gnas_Pth1r.csv),1.025785211,1.054252278,1.060357863,1.066036571,0.947605707,1.091542216,1.040929974
HYL_TH,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
