CA1_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[CA1_DG]up--(Clu_Lrp2.csv),0.94962699,1.009171961,0.928643216,1.037533206,0.950111982,0.975017471, '+'
IVH_3d-[CA1_DG]up--(Clu_Lrp8.csv),1.129997257,1.104409141,1.247780198,1.087199913,1.132393416,1.140355985, '++'
IVH_3d-[CA1_DG]up--(Clu_Vldlr.csv),1.082425124,1.104866917,1.082303133,1.072189742,1.119725676,1.092302118, '++'
IVH_3d-[CA1_DG]up--(Cst3_Lrp2.csv),0.951013318,1.008114215,0.915186985,1.047826197,0.953083177,0.975044779, '+'
IVH_3d-[CA1_DG]up--(Sema5a_Met.csv),0.974134603,0.980011787,0.981182796,1.039055216,1.008905596,0.996658, '+'
IVH_3d-[CA1_DG]up--(Sema5a_Plxna1.csv),1.107341745,1.058076603,1.045345668,1.356499866,1.12112237,1.13767725, '++'
IVH_3d-[CA1_DG]up--(Sema5a_Plxnb3.csv),1.044818226,1.050684932,1.035317318,1.164628697,1.041427714,1.067375377, '++'
CA3_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[CA3_DG]up--(Calm2_Adcy8.csv),0.873036911,0.895418339,0.945228719,0.962145082,0.977368756,0.930639561, '+'
IVH_3d-[CA3_DG]up--(Calm2_Cacna1c.csv),1.122545051,1.327044203,1.323311627,1.170022608,1.219917827,1.232568263, '++'
IVH_3d-[CA3_DG]up--(Calm2_Grm7.csv),1.015843446,1.20544203,1.205947137,1.090447786,1.102015272,1.123939134, '++'
IVH_3d-[CA3_DG]up--(Calm2_Kcnq3.csv),1.046442544,1.21258303,1.223681775,1.125475968,1.123307018,1.146298067, '++'
IVH_3d-[CA3_DG]up--(Calm2_Mylk.csv),1.08317711,1.13027239,1.122074407,1.076412342,1.100191406,1.102425531, '++'
IVH_3d-[CA3_DG]up--(Calm2_Scn10a.csv),0.978293853,0.933488653,0.924082893,0.933063717,0.934135999,0.940613023, '+'
IVH_3d-[CA3_DG]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[CA3_DG]up--(Calm2_Trpc5.csv),0.964978014,1.02172132,0.928323564,0.97551683,1.038428178,0.985793581, '+'
IVH_3d-[CA3_DG]up--(Ptma_Vipr1.csv),1.012074033,0.990942467,0.981338115,0.891396463,1.061956567,0.987541529, '+'
cpd_MB,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[cpd_MB]up--(Gnas_Gcgr.csv),0.95380151,1,0.967389349,1,1,0.984238172, '+'
IVH_3d-[cpd_MB]up--(Gnas_Htr6.csv),0.956088192,0.913074296,0.962851955,1.059480048,0.960791788,0.970457256, '+'
IVH_3d-[cpd_MB]up--(Gnas_Lhcgr.csv),0.988649006,1.037370984,0.965313049,1.017676521,1.037586538,1.00931922, '++'
IVH_3d-[cpd_MB]up--(Gnas_Ptgdr.csv),0.984646116,0.967973176,0.963806362,1.011642475,0.991806767,0.983974979, '+'
IVH_3d-[cpd_MB]up--(Gnas_Pth1r.csv),1.18652685,0.874108053,1.133850492,1.044911163,1.013051872,1.050489686, '++'
cpd_TH,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[cpd_TH]up--(Adcyap1_Ramp3.csv),0.99392376,1.004285419,0.977390981,1.070453598,1.01757149,1.01272505, '++'
IVH_3d-[cpd_TH]up--(Adm2_Ramp3.csv),1,1.034766569,1,1,1,1.006953314, '++'
IVH_3d-[cpd_TH]up--(Agrn_Atp1a3.csv),0.869970854,0.836958717,0.945033919,0.915019787,0.856610519,0.884718759, '+'
IVH_3d-[cpd_TH]up--(Calm1_Adcy8.csv),0.976411417,0.965683954,0.943232422,0.987182657,0.960960519,0.966694194, '+'
IVH_3d-[cpd_TH]up--(Calm1_Cacna1c.csv),0.954192028,0.899576225,0.900751073,1.015134511,0.941395066,0.942209781, '+'
IVH_3d-[cpd_TH]up--(Calm1_Cnga2.csv),0.981069309,0.988856589,0.979890572,1.006222458,1.018254001,0.994858586, '+'
IVH_3d-[cpd_TH]up--(Calm1_Fas.csv),0.923509486,0.938264297,0.946606884,0.957177283,0.957224746,0.944556539, '+'
IVH_3d-[cpd_TH]up--(Calm1_Grm4.csv),1.212270978,1.170301988,1.193590943,1.260324384,1.2536488,1.218027419, '++'
IVH_3d-[cpd_TH]up--(Calm1_Kcnn4.csv),0.976720323,0.988242774,0.98731396,1.008766923,1.032926858,0.998794168, '+'
IVH_3d-[cpd_TH]up--(Calm1_Kcnq1.csv),0.982563888,0.982850197,0.99753754,0.982772298,1.006924054,0.990529595, '+'
IVH_3d-[cpd_TH]up--(Calm1_Kcnq3.csv),0.899542055,0.876921629,0.891496362,0.936070756,0.924308303,0.905667821, '+'
IVH_3d-[cpd_TH]up--(Calm1_Mip.csv),1.069949006,1.003526183,0.952097281,1,1,1.005114494, '++'
IVH_3d-[cpd_TH]up--(Calm1_Mylk.csv),0.955109215,0.901583185,0.926137702,0.922835931,0.963414794,0.933816165, '+'
IVH_3d-[cpd_TH]up--(Calm1_Oprm1.csv),0.990131279,1.005828646,0.991269866,1.047698835,1,1.006985725, '++'
IVH_3d-[cpd_TH]up--(Calm1_Scn10a.csv),0.970497746,1.017544166,0.976929472,0.984262393,1.01025423,0.991897601, '+'
IVH_3d-[cpd_TH]up--(Calm1_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[cpd_TH]up--(Calm1_Sell.csv),0.981203477,0.998469181,0.994808566,1.011859088,1,0.997268062, '+'
IVH_3d-[cpd_TH]up--(Calm1_Trpc5.csv),0.972897683,0.985388349,0.985245015,1.00063234,1.010862085,0.991005094, '+'
IVH_3d-[cpd_TH]up--(Cck_Cckar.csv),0.981178299,1.026248219,1.039813754,0.987556883,1.002989147,1.00755726, '++'
IVH_3d-[cpd_TH]up--(Cck_Cckbr.csv),0.714938693,0.722421738,0.771482154,0.722705895,0.728600788,0.732029854, '+'
IVH_3d-[cpd_TH]up--(Cx3cl1_Cx3cr1.csv),0.858981212,0.837323301,0.949981497,0.903361573,0.88274776,0.886479069, '+'
IVH_3d-[cpd_TH]up--(Cx3cl1_Itga4.csv),0.873247991,0.869637025,0.878411752,0.922688734,0.908042095,0.890405519, '+'
IVH_3d-[cpd_TH]up--(Cx3cl1_Itgav.csv),0.844553285,0.76782729,0.893170878,0.86494707,0.859627984,0.846025302, '+'
IVH_3d-[cpd_TH]up--(Cx3cl1_Itgb1.csv),0.841844496,0.811278066,0.937795389,0.913407407,0.894014963,0.879668064, '+'
IVH_3d-[cpd_TH]up--(Cx3cl1_Itgb3.csv),0.962482026,0.96823104,0.951414658,1.005269939,1.000866884,0.977652909, '+'
IVH_3d-[cpd_TH]up--(Fyn_Thy1.csv),0.969008276,0.90015627,0.959722221,0.975981012,0.952225059,0.951418568, '+'
IVH_3d-[cpd_TH]up--(Iapp_Ramp3.csv),1,1,1,1,1,1, '++'
IVH_3d-[cpd_TH]up--(Ntng1_Lrrc4c.csv),1.035596129,0.995688647,1.044937718,1.159356031,1.121439821,1.071403669, '++'
IVH_3d-[cpd_TH]up--(Vip_Ramp3.csv),1.062361984,0.986477783,0.971333056,1.00209653,0.943738079,0.993201486, '+'
CTXsp_I,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[CTXsp_I]up--(Apoe_Abca1.csv),1.248877627,1.36136551,1.278411794,1.050076212,1.245112352,1.236768699, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Ldlr.csv),1.133411088,1.209439729,1.247702158,0.99494825,1.228317652,1.162763776, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Lrp1.csv),1.350232389,1.407270147,1.430471115,1.092660451,1.362977961,1.328722412, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Lrp2.csv),0.957231041,0.91543859,0.925173939,0.946664055,0.993176179,0.947536761, '+'
IVH_3d-[CTXsp_I]up--(Apoe_Lrp5.csv),0.991813467,1.090169787,1.078370722,0.984131624,1.02860372,1.034617864, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Lrp6.csv),1.23639332,1.299420817,1.361415842,1.067114466,1.279734098,1.248815709, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Lrp8.csv),1.263362488,1.365473195,1.342215283,1.126482213,1.324504366,1.284407509, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Scarb1.csv),1.139874739,1.273497203,1.305269256,1.031804205,1.163606945,1.182810469, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Sdc1.csv),0.960523538,1.080644773,1.070998722,0.979644645,0.90188389,0.998739114, '+'
IVH_3d-[CTXsp_I]up--(Apoe_Sdc4.csv),1.257041957,1.481127708,1.3502759,1.035219231,1.445569045,1.313846768, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Sorl1.csv),1.336319606,1.299134681,1.248375854,1.088921903,1.289579187,1.252466246, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Trem2.csv),1.346605756,1.456043742,1.377793928,1.047469824,1.321860169,1.309954684, '++'
IVH_3d-[CTXsp_I]up--(Apoe_Vldlr.csv),1.253132832,1.385633564,1.469691093,1.108849167,1.244682713,1.292397874, '++'
IVH_3d-[CTXsp_I]up--(Clu_Lrp2.csv),0.96590631,0.923225166,0.937819532,0.95942071,0.997929825,0.956860309, '+'
IVH_3d-[CTXsp_I]up--(Clu_Lrp8.csv),1.201303793,1.258524417,1.256218724,1.10803939,1.260140089,1.216845283, '++'
IVH_3d-[CTXsp_I]up--(Clu_Vldlr.csv),1.195876442,1.283661314,1.362014505,1.100987669,1.189981522,1.22650429, '++'
IVH_3d-[CTXsp_I]up--(Col1a2_Cd44.csv),1.046888053,1.117521763,1.194139853,0.999997232,1.060073866,1.083724153, '++'
IVH_3d-[CTXsp_I]up--(Col1a2_Cd93.csv),1.109515833,1.309696636,1.138784912,1.057217418,1.164288454,1.155900651, '++'
IVH_3d-[CTXsp_I]up--(Col1a2_Itga2.csv),0.883891777,0.901669759,0.888613563,0.966488947,0.907533369,0.909639483, '+'
IVH_3d-[CTXsp_I]up--(Col1a2_Itgb1.csv),1.479554294,1.604623487,1.586238507,1.118812973,1.350744078,1.427994668, '++'
IVH_3d-[CTXsp_I]up--(Cst3_Lrp2.csv),0.967897723,0.943259185,0.936652247,0.986167837,0.995210121,0.965837423, '+'
IVH_3d-[CTXsp_I]up--(Vim_Cd44.csv),0.972977832,1.036796731,1.038322586,0.931632492,1.037132578,1.003372444, '++'
fxs_CA1,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[fxs_CA1]up--(Calm2_Adcy8.csv),0.982875757,0.935866509,0.740825032,0.912629736,1.073723748,0.929184157, '+'
IVH_3d-[fxs_CA1]up--(Calm2_Cacna1c.csv),0.910380598,0.852109989,0.694673003,1.050792597,0.949188047,0.891428847, '+'
IVH_3d-[fxs_CA1]up--(Calm2_Grm7.csv),0.969514531,0.920274027,0.756536621,0.991958335,1.128427208,0.953342145, '+'
IVH_3d-[fxs_CA1]up--(Calm2_Kcnq3.csv),1.087977552,1.011924941,0.724781795,1.094244595,1.199520387,1.023689854, '++'
IVH_3d-[fxs_CA1]up--(Calm2_Mylk.csv),1.008508801,0.904954531,0.836538061,0.915471312,1.005039717,0.934102484, '+'
IVH_3d-[fxs_CA1]up--(Calm2_Scn10a.csv),0.946827253,0.973342743,0.978846527,0.926718527,0.93512754,0.952172518, '+'
IVH_3d-[fxs_CA1]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[fxs_CA1]up--(Calm2_Trpc5.csv),0.980832798,0.981889419,0.994515151,0.951532461,0.942545256,0.970263017, '+'
IVH_3d-[fxs_CA1]up--(Cck_Cckar.csv),0.929539052,0.946219932,0.948103725,0.923498976,0.926724995,0.934817336, '+'
IVH_3d-[fxs_CA1]up--(Cck_Cckbr.csv),0.862669013,0.860100692,0.781416323,0.912688732,1.049543688,0.89328369, '+'
fxs_CA3,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[fxs_CA3]up--(Calm2_Adcy8.csv),0.837638923,1.00353474,0.856646696,0.948716036,0.977098177,0.924726914, '+'
IVH_3d-[fxs_CA3]up--(Calm2_Cacna1c.csv),1.037423429,1.189127171,1.119898189,1.086603951,1.291526557,1.144915859, '++'
IVH_3d-[fxs_CA3]up--(Calm2_Grm7.csv),0.942884773,1.150913423,1.046892487,1.024473509,1.15385833,1.063804505, '++'
IVH_3d-[fxs_CA3]up--(Calm2_Kcnq3.csv),0.965766831,1.262032496,1.055056763,1.07532378,1.169613273,1.105558629, '++'
IVH_3d-[fxs_CA3]up--(Calm2_Mylk.csv),1.090839583,1.097830587,1.051036925,1.026144609,1.193970715,1.091964484, '++'
IVH_3d-[fxs_CA3]up--(Calm2_Scn10a.csv),0.982856374,0.927854395,0.934386164,0.940315918,0.933140444,0.943710659, '+'
IVH_3d-[fxs_CA3]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[fxs_CA3]up--(Calm2_Trpc5.csv),0.96799357,0.978906104,0.946436611,0.962299809,0.990484716,0.969224162, '+'
IVH_3d-[fxs_CA3]up--(Cck_Cckar.csv),0.931595456,0.952195991,0.958029367,0.937064183,0.926724995,0.941121998, '+'
IVH_3d-[fxs_CA3]up--(Cck_Cckbr.csv),0.798213821,0.904185375,0.819467119,0.948852103,0.895975427,0.873338769, '+'
fxs_I,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[fxs_I]up--(Apoe_Abca1.csv),1.26000624,1.127034269,1.281457389,1.125898561,1.245112352,1.207901762, '++'
IVH_3d-[fxs_I]up--(Apoe_Ldlr.csv),1.083370864,1.037753889,1.220941874,1.049384499,1.228317652,1.123953756, '++'
IVH_3d-[fxs_I]up--(Apoe_Lrp1.csv),1.182915897,1.112541592,1.289629135,1.203530788,1.362977961,1.230319074, '++'
