CA1_DG,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[CA1_DG]up--(Calm2_Adcy8.csv),1.04932473,0.878471291,0,0.642598674
IVH_7d-[CA1_DG]up--(Calm2_Cacna1c.csv),1.560506658,1.104766616,0,0.888424425
IVH_7d-[CA1_DG]up--(Calm2_Grm7.csv),1.389234809,1.016144145,0,0.801792985
IVH_7d-[CA1_DG]up--(Calm2_Kcnq3.csv),1.370678299,0.989804148,0,0.786827482
IVH_7d-[CA1_DG]up--(Calm2_Mylk.csv),1.134430653,1.044116072,0,0.726182242
IVH_7d-[CA1_DG]up--(Calm2_Scn10a.csv),0.925804131,0.956589331,0,0.627464487
IVH_7d-[CA1_DG]up--(Calm2_Scn4a.csv),1,1,0,0.666666667
IVH_7d-[CA1_DG]up--(Calm2_Trpc5.csv),0.933284989,0.994368677,0,0.642551222
IVH_7d-[CA1_DG]up--(Nptx1_Nptxr.csv),1.568983146,1.2220138,0,0.930332316
COA_HYL,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[COA_HYL]up--(Agrn_Atp1a3.csv),1.052019961,1.074520138,1.059700235,1.062080111
IVH_7d-[COA_HYL]up--(Calm1_Adcy8.csv),0.957682274,0.950860695,0.901167558,0.936570176
IVH_7d-[COA_HYL]up--(Calm1_Cacna1c.csv),0.993024058,1.002464353,0.879961548,0.95848332
IVH_7d-[COA_HYL]up--(Calm1_Cnga2.csv),1.026193891,1.032889329,1.038563128,1.032548783
IVH_7d-[COA_HYL]up--(Calm1_Fas.csv),1.021065874,1.013504111,1.020999862,1.018523282
IVH_7d-[COA_HYL]up--(Calm1_Grm4.csv),0.907232525,0.909322447,0.83566192,0.884072297
IVH_7d-[COA_HYL]up--(Calm1_Kcnn4.csv),1.017922052,1.045025152,1.031523308,1.031490171
IVH_7d-[COA_HYL]up--(Calm1_Kcnq1.csv),1.043138327,1.039524242,1.032938048,1.038533539
IVH_7d-[COA_HYL]up--(Calm1_Kcnq3.csv),0.864218249,0.908247578,0.735744561,0.836070129
IVH_7d-[COA_HYL]up--(Calm1_Mip.csv),1,1.017876515,1,1.005958838
IVH_7d-[COA_HYL]up--(Calm1_Mylk.csv),1.083854563,1.126601696,0.959774375,1.056743545
IVH_7d-[COA_HYL]up--(Calm1_Oprm1.csv),1,1.026031756,1,1.008677252
IVH_7d-[COA_HYL]up--(Calm1_Scn10a.csv),1.059615768,1.069779442,1.026318976,1.051904729
IVH_7d-[COA_HYL]up--(Calm1_Scn4a.csv),1,1,1,1
IVH_7d-[COA_HYL]up--(Calm1_Sell.csv),1,1.03221256,1.024301509,1.018838023
IVH_7d-[COA_HYL]up--(Calm1_Trpc5.csv),1.042468894,1.033563245,1.022445568,1.032825902
IVH_7d-[COA_HYL]up--(Fyn_Thy1.csv),1.027127269,1.054803472,0.987763839,1.023231527
IVH_7d-[COA_HYL]up--(Gnas_Gcgr.csv),1,1,1,1
IVH_7d-[COA_HYL]up--(Gnas_Htr6.csv),0.999531607,1.023361331,0.972889101,0.998594013
IVH_7d-[COA_HYL]up--(Gnas_Lhcgr.csv),0.977554296,1.018874499,0.983650903,0.993359899
IVH_7d-[COA_HYL]up--(Gnas_Ptgdr.csv),0.995623329,1.005861351,1.023221888,1.008235523
IVH_7d-[COA_HYL]up--(Gnas_Pth1r.csv),1.09064246,1.08900039,1.066098569,1.081913806
IVH_7d-[COA_HYL]up--(Ptpn11_Ros1.csv),1,1,1,1
IVH_7d-[COA_HYL]up--(Rtn3_Rtn4r.csv),0.915470934,0.964821489,0.830974444,0.903755622
COA_MB,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[COA_MB]up--(Agt_Agtr1a.csv),0.997955978,0.998947758,0.989486989,0.995463575
IVH_7d-[COA_MB]up--(Agt_Agtr1b.csv),0.927259061,0.936846276,1,0.954701779
IVH_7d-[COA_MB]up--(Agt_Agtr2.csv),0.937158109,1.006724466,1.004798324,0.982893633
IVH_7d-[COA_MB]up--(Agt_Lrp2.csv),0.935629446,1.014441777,0.999908995,0.983326739
IVH_7d-[COA_MB]up--(Agt_Mas1.csv),1.133030656,1.07110593,1.049249922,1.084462169
IVH_7d-[COA_MB]up--(Podxl2_Sell.csv),1,1.002149963,0.968013907,0.990054623
IVH_7d-[COA_MB]up--(Prnd_Rpsa.csv),1,1,1,1
fxs_CA1,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[fxs_CA1]up--(C3_Cd81.csv),1.220912429,1.023281198,1.111219025,1.118470884
IVH_7d-[fxs_CA1]up--(Col2a1_Mag.csv),1.092262464,0.968390373,1.018791548,1.026481461
IVH_7d-[fxs_CA1]up--(Col3a1_Mag.csv),1.127454445,1.095705405,1.075460713,1.099540188
IVH_7d-[fxs_CA1]up--(Col9a1_Mag.csv),1.036978841,0.960171468,1.070616246,1.022588852
IVH_7d-[fxs_CA1]up--(Col9a2_Mag.csv),1.164316036,1.053164505,1.053096896,1.090192479
IVH_7d-[fxs_CA1]up--(Col9a3_Mag.csv),1.61261289,1.086326921,1.429692848,1.376210886
IVH_7d-[fxs_CA1]up--(Gpc3_Cd81.csv),0.997721293,0.96457027,0.948814525,0.970368696
IVH_7d-[fxs_CA1]up--(Lgals3_Mag.csv),1.36956216,1.065434126,1.458562669,1.297852985
IVH_7d-[fxs_CA1]up--(Nppc_Npr1.csv),1.024732641,1.023963197,1.011606717,1.020100852
IVH_7d-[fxs_CA1]up--(Nppc_Npr2.csv),0.991692181,0.964756394,1.015034591,0.990494389
IVH_7d-[fxs_CA1]up--(Nppc_Npr3.csv),0.992993369,1.003874491,0.989620618,0.995496159
IVH_7d-[fxs_CA1]up--(Ptma_Vipr1.csv),1.00752617,1.014897757,1.034858862,1.019094263
IVH_7d-[fxs_CA1]up--(Trf_Tfr2.csv),1.017091191,1.015819165,1.038125746,1.023678701
IVH_7d-[fxs_CA1]up--(Trf_Tfrc.csv),1.411714699,1.159090257,1.36360728,1.311470746
IVH_7d-[fxs_CA1]up--(Vim_Cd44.csv),1.305414237,1.17307304,1.253541514,1.244009597
fxs_CA3,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[fxs_CA3]up--(Agrn_Atp1a3.csv),0.89496966,0.796286913,0.834711435,0.841989336
IVH_7d-[fxs_CA3]up--(Calm1_Adcy8.csv),0.825103943,0.838090448,0.840361093,0.834518494
IVH_7d-[fxs_CA3]up--(Calm1_Cacna1c.csv),0.85753778,0.844244286,0.885755117,0.862512394
IVH_7d-[fxs_CA3]up--(Calm1_Cnga2.csv),1.010621343,0.946950938,1.006789015,0.988120432
IVH_7d-[fxs_CA3]up--(Calm1_Fas.csv),0.982807717,1.025866111,0.980394479,0.996356102
IVH_7d-[fxs_CA3]up--(Calm1_Grm4.csv),0.87198914,0.872767964,0.883306437,0.876021181
IVH_7d-[fxs_CA3]up--(Calm1_Kcnn4.csv),1.03512523,0.960205083,1.014682314,1.003337542
IVH_7d-[fxs_CA3]up--(Calm1_Kcnq1.csv),1.0265618,0.960510643,0.98091636,0.989329601
IVH_7d-[fxs_CA3]up--(Calm1_Kcnq3.csv),0.870915251,0.809933765,0.863636131,0.848161715
IVH_7d-[fxs_CA3]up--(Calm1_Mip.csv),1,0.950619933,1,0.983539978
IVH_7d-[fxs_CA3]up--(Calm1_Mylk.csv),0.937049431,0.920433101,0.946099362,0.934527298
IVH_7d-[fxs_CA3]up--(Calm1_Oprm1.csv),1,0.959564657,1,0.986521552
IVH_7d-[fxs_CA3]up--(Calm1_Scn10a.csv),0.982896247,0.972182057,0.966683052,0.973920452
IVH_7d-[fxs_CA3]up--(Calm1_Scn4a.csv),1,1,1,1
IVH_7d-[fxs_CA3]up--(Calm1_Sell.csv),1,0.966160141,0.995833268,0.987331136
IVH_7d-[fxs_CA3]up--(Calm1_Trpc5.csv),1.008954601,0.949831997,0.998355913,0.985714171
IVH_7d-[fxs_CA3]up--(Calm2_Adcy8.csv),0.858081647,0.839866642,0.859022426,0.852323572
IVH_7d-[fxs_CA3]up--(Calm2_Cacna1c.csv),0.922536568,0.827042005,0.917011264,0.888863279
IVH_7d-[fxs_CA3]up--(Calm2_Grm7.csv),0.937527446,0.873188695,0.910975817,0.907230653
IVH_7d-[fxs_CA3]up--(Calm2_Kcnq3.csv),0.959206796,0.820601168,0.90843326,0.896080408
IVH_7d-[fxs_CA3]up--(Calm2_Mylk.csv),0.963887253,0.910363569,0.981678083,0.951976302
IVH_7d-[fxs_CA3]up--(Calm2_Scn10a.csv),0.992605039,0.971709757,0.973010952,0.979108583
IVH_7d-[fxs_CA3]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[fxs_CA3]up--(Calm2_Trpc5.csv),1.01627527,0.950458129,1.004434406,0.990389268
IVH_7d-[fxs_CA3]up--(Cck_Cckar.csv),1.007256345,0.939648615,0.968628774,0.971844578
IVH_7d-[fxs_CA3]up--(Cck_Cckbr.csv),0.874795829,0.908573024,0.882566365,0.888645073
HYL_TH,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[HYL_TH]up--(Adcyap1_Ramp3.csv),1.093169977,1.036841435,1.062584006,1.064198473
IVH_7d-[HYL_TH]up--(Adm2_Ramp3.csv),1,1,1,1
IVH_7d-[HYL_TH]up--(Cck_Cckar.csv),1.059020274,1.050036252,1.072568135,1.060541554
IVH_7d-[HYL_TH]up--(Cck_Cckbr.csv),0.742106975,0.721859756,0.769255113,0.744407282
IVH_7d-[HYL_TH]up--(Fyn_Thy1.csv),1.078045653,1.192511085,1.146718252,1.139091664
IVH_7d-[HYL_TH]up--(Iapp_Ramp3.csv),1,1,1,1
IVH_7d-[HYL_TH]up--(Ntng1_Lrrc4c.csv),1.162054653,1.241066697,1.173738956,1.192286769
IVH_7d-[HYL_TH]up--(Vip_Ramp3.csv),1.011551544,0.954219536,0.921745124,0.962505402
I_II-III-IV,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[I_II-III-IV]up--(App_Adra2a.csv),0.874798619,0.82113831,0.85544221,0.850459713
IVH_7d-[I_II-III-IV]up--(App_Casr.csv),1.053020778,1.062224235,1.048562397,1.05460247
IVH_7d-[I_II-III-IV]up--(App_Cav1.csv),0.907969656,0.873975907,0.918695308,0.900213624
IVH_7d-[I_II-III-IV]up--(App_Cd47.csv),0.61832682,0.456182473,0.645780812,0.573430035
IVH_7d-[I_II-III-IV]up--(App_Cd74.csv),0.987332521,0.899533163,1.086013415,0.9909597
IVH_7d-[I_II-III-IV]up--(App_Dcc.csv),1.064591188,1,1.062254046,1.042281745
IVH_7d-[I_II-III-IV]up--(App_Drd3.csv),1,1,1,1
IVH_7d-[I_II-III-IV]up--(App_Fpr2.csv),1.060933977,1.05983965,1.185527566,1.102100398
